#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       1.500750  -2.6941374033250519E-06   2.5892012129955795E-06   6.9352683043340635E-01   7.2043078622701284E-01  -4.6184531893311842E-12  -5.4539289751076581E-12  -1.5267219160428880E-06   1.3236979908582274E-06
       1.600800  -4.1490791536859890E-06   8.5412614027578182E-07  -8.2077777969270249E-01   5.7124759103449174E-01   7.9507806588496877E-12  -4.5890357486255695E-12   1.3505071699157814E-06  -1.8543922129936094E-06
       1.700850  -4.4939049935958598E-06  -1.6888579300342094E-06  -4.3467474804558726E-01  -9.0058748929429167E-01   4.0010295423997810E-12   1.0925935503558470E-11  -9.9236202273409434E-07   2.3720518154830925E-06
       1.800900  -3.2949451040376681E-06  -4.3152250013247069E-06   9.5786293739792405E-01  -2.8722559127557118E-01  -1.4350331686840967E-11   2.7544286296254938E-12   4.4381566662955333E-07  -2.8272347133645675E-06
       1.900950  -5.9491222700289855E-07  -6.0823204661745816E-06   1.3258955502849426E-01   9.9117099270912856E-01  -6.9221299699162575E-13  -1.8209735802576787E-11   2.8476583957693211E-07   3.1655456498125396E-06
       2.001001   2.9902542825102577E-06  -6.1414167820914417E-06  -9.9967822979378906E-01  -2.5364097904405213E-02   2.2420426626368339E-11   2.4483010562480201E-12  -1.1628147778041896E-06  -3.3313102918974707E-06
       2.101051   6.3762858929606619E-06  -4.0814701312865182E-06   1.8268309189513629E-01  -9.8317178294145446E-01  -6.9888140413754130E-12   2.6724039647874065E-11   2.1402928939630163E-06   3.2723829514822039E-06
       2.201101   8.3167275220881524E-06  -1.7689569793178443E-07   9.4206467256739101E-01   3.3543103128488105E-01  -3.0659235566998788E-11  -1.3180256365485921E-11  -3.1503808711756387E-06  -2.9458786185273366E-06
       2.301151   7.8313158694106583E-06   4.5743104630499528E-06  -4.7978589588486742E-01   8.7738547087105612E-01   2.1087138112052539E-11  -3.3657566317346621E-11   4.1137739766285009E-06   2.3243374644253841E-06
       2.401201   4.6166175257059231E-06   8.6752426032210807E-06  -7.9075256532474447E-01  -6.1213567465108509E-01   3.5201470210965979E-11   3.0588764160510706E-11  -4.9441295981335998E-06  -1.4015815601639094E-06
       2.501251  -7.1818571358114201E-07   1.0579921382708524E-05   7.2916874461799686E-01  -6.8433366395263617E-01  -4.1503094364014892E-11   3.4911995169806254E-11   5.5542190992873475E-06   1.9738374934748580E-07
       2.601301  -6.7076757359543189E-06   9.2398788004378673E-06   5.6079155563365057E-01   8.2795673365687039E-01  -3.2480960629466260E-11  -5.3717006537334910E-11  -5.8624145583396726E-06   1.2399109951765458E-06
       2.701351  -1.1406097870144681E-05   4.5626480415873414E-06  -9.0602779368788677E-01   4.2321748258309311E-01   6.7177629778369941E-11  -2.7502032769188833E-11   5.7992339213762487E-06  -2.8334779485660227E-06
       2.801401  -1.2996657647550323E-05  -2.3987150972856123E-06  -2.7505379213129172E-01  -9.6142845091854068E-01   1.9366007061871748E-11   8.1708197499641422E-11  -5.3137204681027813E-06   4.4811491108429662E-06
       2.901451  -1.0450017726315463E-05  -9.6347143747749768E-06   9.9277248549833097E-01  -1.2000780316747149E-01  -9.6777001343251179E-11   7.3540238568897687E-12   4.3794097125494191E-06  -6.0615124416810687E-06
       3.001501  -4.0033592453303267E-06  -1.4735432077325806E-05  -3.8040957556891027E-02   9.9927561752044036E-01   9.1025577917194789E-12  -1.1141735797859376E-10  -2.9995380556694122E-06   7.4424894665971642E-06
       3.101551   4.7361418095261182E-06  -1.5668249701204842E-05  -9.8077513144583717E-01  -1.9513782817076403E-01   1.2439130628316697E-10   3.0188593812263687E-11   1.2110071630150236E-06  -8.4915921680798580E-06
       3.201601   1.3152116731732413E-05  -1.1533128616023857E-05   3.4735196455493622E-01  -9.3773394788694031E-01  -5.5693360513642265E-11   1.3448123170611836E-10   9.1350400543921521E-07   9.0868876163627556E-06
       3.301651   1.8379751671069397E-05  -3.0270545917377093E-06   8.7122904083764985E-01   4.9087469737328954E-01  -1.4066659122236036E-10  -8.5233914544347034E-11  -3.2659249520606897E-06  -9.1276837593529289E-06
       3.401701   1.8252837343182690E-05   7.5825786241912596E-06  -6.2211483219893582E-01   7.8292449013763821E-01   1.1850539473334809E-10  -1.4202680004293811E-10   5.7062242016208130E-06   8.5440674237513472E-06
       3.501751   1.2131504529722755E-05   1.7028582480086933E-05  -6.7502984340987293E-01  -7.3778850815054620E-01   1.3745881863314047E-10   1.5529313251994026E-10  -8.0691797340355400E-06  -7.3046217548351070E-06
       3.601801   1.3096115408116059E-06   2.2028110025516645E-05   8.3500136660102153E-01  -5.5024482929259033E-01  -1.9516738225533459E-10   1.2549727923527598E-10   1.0174403199840353E-05   5.4218604069873747E-06
       3.701851  -1.1188801636088429E-05   2.0390841225970200E-05   4.1169180530303034E-01   9.1132097392626099E-01  -1.0448084064584862E-10  -2.3707179101772891E-10  -1.1839084216999725E-05  -2.9550857973288249E-06
       3.801901  -2.1425281498569774E-05   1.1885586998524006E-05  -9.6483768611264753E-01   2.6283763057560516E-01   2.7915193941130401E-10  -7.3025805021054158E-11   1.2892493137491250E-05   1.0482093167536598E-08
       3.901951  -2.5765631149683496E-05  -1.4581102407191466E-06  -1.0740691833169111E-01  -9.9421243223745503E-01   3.0481480837660224E-11   3.1900295772990805E-10  -1.3190959815172090E-05   3.2617015885995234E-06
       4.002001  -2.2131152852066042E-05  -1.5778398027760233E-05   9.9871022114030905E-01   5.0711161357137914E-02  -3.5416358734607911E-10  -2.2981412454471661E-11   1.2631897794545341E-05  -6.6729978728394776E-06
       4.102051  -1.0861544903434160E-05  -2.6472782035197721E-05  -2.0756019655664196E-01   9.7821853282858517E-01   8.6704208916710268E-11  -3.8245451944307618E-10  -1.1165495170253942E-05   1.0005660412348494E-05
       4.202101   5.1430517910851853E-06  -2.9653546399224767E-05  -9.3325013436565085E-01  -3.5921553120477984E-01   4.0187761105037190E-10   1.5997649819438076E-10   8.8029279034900146E-06  -1.3024619938613940E-05
       4.302151   2.1122566905076307E-05  -2.3513592276533472E-05   5.0188246846977835E-01  -8.6493024971641752E-01  -2.4213891915841890E-10   4.1018596158570730E-10  -5.6203134985313343E-06   1.5492138079397319E-05
       4.402201   3.1848886897764706E-05  -9.1346616045488842E-06   7.7496840451776106E-01   6.3199122246797723E-01  -4.0456701877467083E-10  -3.3218960221459426E-10   1.7580364845962063E-06  -1.7184505499721217E-05
       4.502251   3.3310102556199662E-05   9.5874561182675959E-06  -7.4628624242163832E-01   6.6561565020753932E-01   4.2818178690173792E-10  -3.8184019141018766E-10   2.5845331350071557E-06   1.7909756250460428E-05
       4.602301   2.4151918013487086E-05   2.6960062066534461E-05  -5.3960823778941192E-01  -8.4190767413249790E-01   3.3915583362575941E-10   5.2693460879382759E-10  -7.1585954397652058E-06  -1.7525032914644361E-05
       4.702351   6.3727733710258797E-06   3.7201793696451470E-05   9.1646292036835419E-01  -4.0009915057929052E-01  -6.2436261195897291E-10   2.7473328386568019E-10   1.1679203318749259E-05   1.5952021312145736E-05
       4.802401  -1.5026840137313195E-05   3.6336673039676446E-05   2.5057920908671710E-01   9.6808650949016417E-01  -1.8809463405225491E-10  -7.1621446447178716E-10  -1.5841594905594960E-05  -1.3188846554516765E-05
       4.902451  -3.3417979349430751E-05   2.3661652084158865E-05  -9.9548677418529197E-01   9.4789722130339982E-02   7.9863395410773030E-10  -7.9647829347509469E-11   1.9339811044067811E-05   9.3170154179808288E-06
       5.002501  -4.2574202557573703E-05   2.2639907452405460E-06   6.3371130159502520E-02  -9.9797817220158247E-01  -4.9962857961126372E-11   8.6807406575462043E-10  -2.1886742719222733E-05  -4.5023886134542303E-06
       5.102551  -3.8744611991914089E-05  -2.1664189249601980E-05   9.7549844023952004E-01   2.1994583893213907E-01  -9.2065085589843054E-10  -2.0008452316852554E-10   2.3234626496347301E-05  -1.0102875058955836E-06
       5.202601  -2.2088198540538623E-05  -4.0589081507860154E-05  -3.7101659402837767E-01   9.2861015166613081E-01   3.6954482356132967E-10  -9.5155702761751115E-10  -2.3194837959386235E-05   6.9091540296100965E-06
