#  Guess pulse generated by entanglement.pyc
#  Blackman pulse with E0 = 425 MHz
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  2.65132566283141591E+00  2.66037308107114678E-01  0.00000000000000000E+00
  2.75137568784392217E+00  2.86549330002927261E-01  0.00000000000000000E+00
  2.85142571285642843E+00  3.07829324321950981E-01  0.00000000000000000E+00
  2.95147573786893469E+00  3.29878190103745361E-01  0.00000000000000000E+00
  3.05152576288144095E+00  3.52696857976627864E-01  0.00000000000000000E+00
  3.15157578789394721E+00  3.76286290103099164E-01  0.00000000000000000E+00
  3.25162581290645347E+00  4.00647480123375255E-01  0.00000000000000000E+00
  3.35167583791895973E+00  4.25781453097126228E-01  0.00000000000000000E+00
  3.45172586293146599E+00  4.51689265443292576E-01  0.00000000000000000E+00
  3.55177588794397225E+00  4.78372004878132084E-01  0.00000000000000000E+00
  3.65182591295647851E+00  5.05830790351343595E-01  0.00000000000000000E+00
  3.75187593796898478E+00  5.34066771980356791E-01  0.00000000000000000E+00
  3.85192596298149104E+00  5.63081130982911682E-01  0.00000000000000000E+00
  3.95197598799399730E+00  5.92875079607502520E-01  0.00000000000000000E+00
  4.05202601300650400E+00  6.23449861062359445E-01  0.00000000000000000E+00
  4.15207603801900937E+00  6.54806749442200409E-01  0.00000000000000000E+00
  4.25212606303151652E+00  6.86947049653620745E-01  0.00000000000000000E+00
  4.35217608804402190E+00  7.19872097338099648E-01  0.00000000000000000E+00
  4.45222611305652904E+00  7.53583258793692035E-01  0.00000000000000000E+00
  4.55227613806903442E+00  7.88081930894637961E-01  0.00000000000000000E+00
  4.65232616308154157E+00  8.23369541009078332E-01  0.00000000000000000E+00
  4.75237618809404694E+00  8.59447546915255822E-01  0.00000000000000000E+00
  4.85242621310655409E+00  8.96317436715585503E-01  0.00000000000000000E+00
  4.95247623811905946E+00  9.33980728749175482E-01  0.00000000000000000E+00
  5.05252626313156661E+00  9.72438971502334937E-01  0.00000000000000000E+00
  5.15257628814407198E+00  1.01169374351737895E+00  0.00000000000000000E+00
  5.25262631315657913E+00  1.05174665329975703E+00  0.00000000000000000E+00
  5.35267633816908450E+00  1.09259933922314190E+00  0.00000000000000000E+00
  5.45272636318159165E+00  1.13425346943292582E+00  0.00000000000000000E+00
  5.55277638819409702E+00  1.17671074174781665E+00  0.00000000000000000E+00
  5.65282641320660417E+00  1.21997288355983025E+00  0.00000000000000000E+00
