#    E0[MHz]    concurrence       pop_loss     n_q     n_c
    0.000000       0.205850   1.975087E-13       4      15
   50.000000       0.176980   1.426940E-05       5      15
  100.000000       0.090760   5.752795E-05       5      20
  125.000000       0.026740   9.039943E-05       5      25
  150.000000       0.050330   1.310811E-04       5      25
  175.000000       0.139240   1.797553E-04       5      30
  200.000000       0.238120   2.390094E-04       6      30
  225.000000       0.344540   3.040552E-04       6      35
  250.000000       0.455260   3.794918E-04       6      40
  275.000000       0.566470   4.636223E-04       6      45
  300.000000       0.673860   5.597553E-04       6      50
  325.000000       0.772820   6.689844E-04       6      55
  350.000000       0.858700   7.955977E-04       6      60
  375.000000       0.927170   9.503430E-04       6      65
  400.000000       0.972620   2.207444E-03       6      65
X 425.000000       0.996810   3.602988E-03       6      70
  450.000000       0.999850   2.256083E-02       6      70
  500.000000       0.998380   6.980753E-02       6      70
