#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00  -1.1914119538221819E-32   0.0000000000000000E+00  -4.4766726027492196E-32   0.0000000000000000E+00   1.0000000000000022E+00   0.0000000000000000E+00
       0.100050  -3.0856107773647895E-18  -2.5217193493188472E-18  -1.4741555378283740E-09  -9.2838968578165495E-10  -1.8455345894753805E-09  -1.5049313234822248E-09  -8.4671061023607264E-01  -5.3205370265947838E-01
       0.200100   1.3312472031131705E-16  -3.5795193101889371E-16   1.6814041078783544E-08  -1.9842992108537983E-09   2.3473001589452936E-08   5.8274508511894434E-10   4.3383771497266238E-01   9.0099103051429585E-01
       0.300150   4.2541068103512243E-15  -5.2668387148129875E-16  -3.5413453189458549E-08   4.3210971970333544E-08  -6.1214770553923835E-08   5.1265097375353039E-08   1.1204061746011894E-01  -9.9370362786801836E-01
       0.400200   1.2565140237751369E-14   1.7815026239227417E-14  -1.0430334107146627E-08  -1.2288432660967933E-07   2.6471085783753389E-08  -1.8199912576284207E-07  -6.2356967413255060E-01   7.8176777977601530E-01
       0.500250  -3.2883104722629044E-14   6.3747459218161556E-14   1.6301271279022435E-07   1.4440690560295472E-07   1.8886340970948937E-07   2.8591130900713385E-07   9.4392550115063178E-01  -3.3015851988591843E-01
       0.600300  -1.7794767391440737E-13  -3.3270094952300378E-15  -3.3247615268900851E-07   5.9392822170989731E-09  -5.3776693701458208E-07  -1.4498614083110476E-07  -9.7489380004306125E-01  -2.2267033606851933E-01
       0.700350  -1.4313624970503558E-13  -3.3260852437394059E-13   3.4024149665980437E-07  -3.0775225095826282E-07   7.3890827783230430E-07  -3.5995912434538361E-07   7.0698034753433625E-01   7.0723319210608637E-01
       0.800400   4.4888973496210246E-13  -4.5375214416048498E-13  -8.7622444441365693E-08   5.8339114775469012E-07  -4.4973219904489023E-07   1.0344529441081864E-06  -2.2232172296142530E-01  -9.7497335916939221E-01
       0.900450   9.1998718865915387E-13   4.3416265264143827E-13  -3.5064479299731580E-07  -6.3550129829903285E-07  -4.1245622802073442E-07  -1.4037673635222137E-06  -3.3049602394431687E-01   9.4380738359423078E-01
       1.000500  -2.1913892088755385E-13   1.5029488258028465E-12   7.9014006404345779E-07   3.7384835890946563E-07   1.4955615499850852E-06   1.0292398389446051E-06   7.8199070285535022E-01  -6.2329009224134702E-01
       1.100550  -2.1650821090376723E-12   2.5884521986403994E-13  -1.0323690658233007E-06   1.7300808026732686E-07  -2.1722896799525786E-06   1.3938115655950325E-07  -9.9374362601937694E-01   1.1168528542317471E-01
       1.200600  -1.0873747558378493E-12  -2.8509301251829672E-12   8.9751409215336936E-07  -8.7330281364200863E-07   1.9223775167283083E-06  -1.6672942150471871E-06   9.0083584081932988E-01   4.3415985907809551E-01
       1.300650   3.4430092875472788E-12  -2.3629325737768941E-12  -2.7573524612260121E-07   1.4641068599686945E-06  -6.4426449628179016E-07   2.8530935201355719E-06  -5.3175090325348007E-01  -8.4690080254853550E-01
       1.400700   4.1382401917183728E-12   3.7560969208228695E-12  -7.3822699297155871E-07  -1.5866849234812287E-06  -1.2914471596178046E-06  -3.0698609210063223E-06  -3.5757583796946113E-04   9.9999993019699540E-01
       1.500750  -3.5750303790691545E-12   6.3911226031485364E-12   1.7642066734722689E-06   9.8520606634327057E-07   3.1966085536777509E-06   2.0139220930832662E-06   5.3235642697313523E-01  -8.4652029916463956E-01
       1.600800  -9.0343668776145869E-12  -2.6895718482276424E-12  -2.2788732775697731E-06   2.6339453354707810E-07  -4.2792923686201917E-06   1.8580215420912930E-07  -9.0114609075788787E-01   4.3351550947905920E-01
       1.700850   8.9579455367108286E-13  -1.1937757697808554E-11   1.9104199362148307E-06  -1.7209613205042726E-06   3.8674731254776229E-06  -2.9340922665185524E-06   9.9366348276130501E-01   1.1239593148910415E-01
       1.800900   1.4924933631772608E-11  -2.0318559514692790E-12  -6.4302000135783304E-07   2.7886831566197401E-06  -1.6895734283663075E-06   5.2238066376633599E-06  -7.8154473680082581E-01  -6.2384915757243087E-01
       1.900950   6.3631375645492504E-12   1.7714565976899009E-11  -1.1770728964455040E-06  -2.9523330165332026E-06  -1.8304858572286971E-06  -5.9025916273819410E-06   3.2982096446278453E-01   9.4404346200782274E-01
       2.001001  -1.9816236065479596E-11   1.2356849965393352E-11   2.9395222243815601E-06   1.9516596937426680E-06   5.4880605589970233E-06   4.1941705331811695E-06   2.2301890503511809E-01  -9.7481406863640885E-01
       2.101051  -2.0081553290697790E-11  -2.0485350696690734E-11  -3.9092186834491806E-06   8.5750435921097323E-08  -7.6511951892730190E-06  -2.5038721604614161E-07  -7.0748589450250110E-01   7.0672737013433862E-01
       2.201101   1.8866187644133373E-11  -2.9210778800154901E-11   3.4758560474236265E-06  -2.5537277076968930E-06   7.0019615623638516E-06  -4.6607321971019937E-06   9.7505270607005101E-01  -2.2197307079286671E-01
       2.301151   3.8999650129076623E-11   1.4287063254676580E-11  -1.5011247350706878E-06   4.4802126632206934E-06  -3.2760685274555976E-06   8.5650368901183406E-06  -9.4368904171936085E-01  -3.3083343631123818E-01
       2.401201  -6.4694931974476659E-12   4.8517542672805130E-11  -1.4698066571344260E-06  -4.9242782965569314E-06  -2.4550436018459516E-06  -9.6281613897034507E-06   6.2301035221576828E-01   7.8221340078103951E-01
       2.501251  -5.6941716006738014E-11   4.5439915349821902E-12   4.3561869032479930E-06   3.4513686864336938E-06   8.1320928515561856E-06   6.9878301299940962E-06  -1.1132994026720769E-01  -9.9378330919939450E-01
       2.601301  -1.8663033661937908E-11  -6.3635105384676581E-11  -5.9803830222267761E-06  -3.7456993476294261E-07  -1.1484885719254710E-05  -1.1746136929446953E-06  -4.3448181956496107E-01   9.0068033705051076E-01
       2.701351   6.7934141236130284E-11  -3.5944618245359565E-11   5.5266415296952336E-06  -3.3340583021695278E-06   1.0878076695095314E-05  -5.9970899242615816E-06   8.4709061876305347E-01  -5.3144791222494903E-01
       2.801401   5.6493693963331507E-11   6.8830866242167728E-11  -2.8512803151266704E-06   6.3392841184590442E-06  -5.9551411317497887E-06   1.1963501660520361E-05  -9.9999937131628991E-01  -7.1510306305529886E-04
       2.901451  -6.4835829735293650E-11   8.0076301114239885E-11  -1.3698449267465877E-06  -7.3515091917736331E-06  -2.0618171648665146E-06  -1.4224074363250547E-05   8.4632953827544655E-01   5.3265879559873108E-01
       3.001501  -1.0568089294887650E-10  -5.4219598268566295E-11   5.7174867719560930E-06   5.6301174978364518E-06   1.0540662938330429E-05   1.1282877448850515E-05  -4.3319308571146609E-01  -9.0130051798588251E-01
       3.101551   3.5572912828378642E-11  -1.3137304697088874E-10  -8.4571322444593497E-06  -1.4319881749759839E-06  -1.6187676564280900E-05  -3.4515809499981537E-06  -1.1275106176904021E-01   9.9362257796442421E-01
       3.201601   1.5462449586134650E-10   8.3254289356200061E-12   8.2556391240081656E-06  -3.9051810247927814E-06   1.6286871654527772E-05  -6.8996613554231420E-06   6.2412798326216623E-01  -7.8132106311961169E-01
       3.301651   2.7163210280963700E-11   1.7288896663016211E-10  -4.8249147786562424E-06   8.4083930738449912E-06  -9.9831720804019577E-06   1.5971763278973070E-05  -9.4416038254384271E-01   3.2948320290345978E-01
       3.401701  -1.8395177713359971E-10   6.9934018205746576E-11  -8.7492674206136161E-07  -1.0237020374121327E-05  -1.0491283912818282E-06  -1.9957636354465845E-05   9.7473319045004447E-01   2.2336702531767438E-01
       3.501751  -1.1875904202209269E-10  -1.8584056123985620E-10   6.9318416402145930E-06   8.3915869947291330E-06   1.3004438572307892E-05   1.6667494090976552E-05  -7.0647355315279237E-01  -7.0773744418734885E-01
       3.601801   1.7656903974878264E-10  -1.7211391854316426E-10  -1.1095546880808111E-05  -3.1311165015896294E-06  -2.1317307254375723E-05  -6.5886159225489433E-06   2.2162431768609953E-01   9.7513040939906848E-01
