#    E0[MHz]    concurrence       pop_loss     n_q     n_c
    0.000000       0.347280  -6.425971E-13       4      15
   50.000000       0.513650   4.735188E-05       5      15
  100.000000       0.915570   2.451782E-03       9      20
  125.000000       0.998440   1.695483E-02       9      20
  150.000000       0.990950   1.545612E-02      10      25
  175.000000       0.994590   4.083278E-02      11      25
  200.000000       0.994970   2.151618E-01      11      35
  225.000000       0.949430   2.297201E-01      13      65
