   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
   5.0000000000000003E-02   3.5140162145135610E-03   3.5138734617644420E-03   1.4275274911215044E-07
   1.0000000000000001E-01   1.1374994355319516E-02   1.1370152893155284E-02   4.8414621642464837E-06
   1.5000000000000002E-01   1.7252386005412030E-02   1.7235497232024628E-02   1.6888773387360333E-05
   2.0000000000000001E-01   1.9706331257450145E-02   1.9681164407540367E-02   2.5166849909827903E-05
   2.5000000000000000E-01   2.7258702848270415E-02   2.7192118266104345E-02   6.6584582166070218E-05
   3.0000000000000004E-01   3.0175083134109680E-02   3.0084774180148866E-02   9.0308953960827545E-05
   3.5000000000000003E-01   3.1018218090034532E-02   3.0920130632300119E-02   9.8087457734412979E-05
   4.0000000000000002E-01   3.5391340609048999E-02   3.5245684964726125E-02   1.4565564432288757E-04
   4.5000000000000001E-01   3.7303754398770782E-02   3.7133211724127320E-02   1.7054267464344423E-04
   5.0000000000000000E-01   3.8046942587117237E-02   3.7866012752137232E-02   1.8092983497999395E-04
   5.5000000000000004E-01   4.2373374194957340E-02   4.2123525500780946E-02   2.4984869417641822E-04
   6.0000000000000009E-01   4.8037285932142716E-02   4.7673449047446519E-02   3.6383688469608389E-04
   6.5000000000000002E-01   5.4436120676263855E-02   5.3907017805561459E-02   5.2910287070238502E-04
   7.0000000000000007E-01   5.5108468690680201E-02   5.4559559396828494E-02   5.4890929385168256E-04
   7.5000000000000000E-01   6.2712213237140171E-02   6.1904054023266583E-02   8.0815921387349815E-04
   8.0000000000000004E-01   6.3000610615791236E-02   6.2181281632273933E-02   8.1932898351736794E-04
   8.5000000000000009E-01   6.9666516483668853E-02   6.8559660512453019E-02   1.1068559712158828E-03
   9.0000000000000002E-01   7.3020385121865358E-02   7.1746501471938395E-02   1.2738836499268983E-03
   9.5000000000000007E-01   7.5691461325444603E-02   7.4273210160998901E-02   1.4182511644456925E-03
   1.0000000000000000E+00   7.8922637927809333E-02   7.7315758784045174E-02   1.6068791437642779E-03
   1.0500000000000000E+00   8.3081132445476394E-02   8.1208004315822258E-02   1.8731281296541079E-03
   1.1000000000000001E+00   8.5550004566643675E-02   8.3505809744805176E-02   2.0441948218384532E-03
   1.1500000000000001E+00   8.6358479772202970E-02   8.4256101977202569E-02   2.1023777950003727E-03
   1.2000000000000002E+00   9.4217703519264881E-02   9.1491812627947020E-02   2.7258908913178293E-03
   1.2500000000000000E+00   9.6980907820787748E-02   9.4009847768784932E-02   2.9710600520028193E-03
   1.3000000000000000E+00   1.0351858251445728E-01   9.9910642093182525E-02   3.6079404212748332E-03
   1.3500000000000001E+00   1.0585853827839316E-01   1.0200253835698303E-01   3.8559999214100899E-03
   1.4000000000000001E+00   1.1150563407583629E-01   1.0700546080655809E-01   4.5001732692779798E-03
   1.4500000000000002E+00   1.1303968245860743E-01   1.0835310522923881E-01   4.6865772293686490E-03
   1.5000000000000000E+00   1.1803956152199130E-01   1.1271049952990078E-01   5.3290619920905464E-03
   1.5500000000000000E+00   1.1861223119245827E-01   1.1320610582159119E-01   5.4061253708671412E-03
   1.6000000000000001E+00   1.2015914078637151E-01   1.1454121619246034E-01   5.6179245939111310E-03
   1.6500000000000001E+00   1.2050820511047444E-01   1.1484174962113897E-01   5.6664554893356388E-03
   1.7000000000000002E+00   1.2358707611818028E-01   1.1748065486557649E-01   6.1064212526037885E-03
   1.7500000000000000E+00   1.2776014024293558E-01   1.2102265023407394E-01   6.7374900088616229E-03
   1.8000000000000000E+00   1.2776965510963154E-01   1.2103067977797120E-01   6.7389753316602985E-03
   1.8500000000000001E+00   1.2831463467257997E-01   1.2149022869973396E-01   6.8244059728459969E-03
   1.9000000000000001E+00   1.3011981062313183E-01   1.2300739805229484E-01   7.1124125708370680E-03
   1.9500000000000002E+00   1.3445692937636225E-01   1.2662052502230664E-01   7.8364043540556701E-03
   2.0000000000000000E+00   1.4187057018875576E-01   1.3268894858489919E-01   9.1816216038565889E-03
   2.0500000000000003E+00   1.4360295892412447E-01   1.3408689259967335E-01   9.5160663244512351E-03
   2.1000000000000001E+00   1.5109692682939607E-01   1.4004371224902462E-01   1.1053214580371335E-02
   2.1499999999999999E+00   1.5611322686584925E-01   1.4394700972442476E-01   1.2166217141424497E-02
   2.2000000000000002E+00   1.6241973098534798E-01   1.4875568174510684E-01   1.3664049240241090E-02
   2.2500000000000000E+00   1.7035355623148574E-01   1.5464480195730443E-01   1.5708754274181485E-02
   2.3000000000000003E+00   1.7395385554040516E-01   1.5725686130986841E-01   1.6696994230536822E-02
   2.3500000000000001E+00   1.7431800153570107E-01   1.5751892330405903E-01   1.6799078231642024E-02
   2.4000000000000004E+00   1.7970372839852639E-01   1.6134862790780444E-01   1.8355100490721952E-02
   2.4500000000000002E+00   1.8160433105573698E-01   1.6267927911824531E-01   1.8925051937491711E-02
   2.5000000000000000E+00   1.8757119585296078E-01   1.6678517412903598E-01   2.0786021723924811E-02
   2.5500000000000003E+00   1.9234188719448977E-01   1.6998883049684738E-01   2.2353056697642360E-02
   2.6000000000000001E+00   2.0029186225902981E-01   1.7516864519676953E-01   2.5123217062260270E-02
   2.6500000000000004E+00   2.0272527673682472E-01   1.7671397967552790E-01   2.6011297061296776E-02
   2.7000000000000002E+00   2.0874725138000899E-01   1.8045636084123742E-01   2.8290890538771464E-02
   2.7500000000000000E+00   2.1482100879761035E-01   1.8411177412443197E-01   3.0709234673178414E-02
   2.8000000000000003E+00   2.2191320086979743E-01   1.8822719456044071E-01   3.3686006309356781E-02
