# OCT iter        615;   J_T =   9.481897831316E-03;   pulse_id =          3                                                                                                                                                                                   
#               time [ns]              abs(E) [au]          arg(E) [rad/pi]
   3.1012404961984799E+00   4.3054774288552984E-02  -3.8125781821317273E-01
   3.1412565026010406E+00   4.5397177707615977E-02  -2.7662107077268605E-01
   3.1812725090036018E+00   4.7456649262292677E-02  -1.7393699296571966E-01
   3.2212885154061630E+00   4.9132374812660765E-02  -7.2405945164304458E-02
   3.2613045218087238E+00   5.0356543804252620E-02   2.8782089871495647E-02
   3.3013205282112845E+00   5.1100143140978251E-02   1.3043364529120649E-01
   3.3413365346138457E+00   5.1377805097541543E-02   2.3334325529798317E-01
   3.3813525410164065E+00   5.1251372792898098E-02   3.3827343421527928E-01
   3.4213685474189681E+00   5.0831095773038015E-02   4.4590579029265587E-01
   3.4613845538215289E+00   5.0272364648815904E-02   5.5674713389392838E-01
   3.5014005602240901E+00   4.9764852761700035E-02   6.7098609320382641E-01
   3.5414165666266508E+00   4.9510827798258411E-02   7.8832910013578816E-01
   3.5814325730292120E+00   4.9692051619460109E-02   9.0789723471224815E-01
   3.6214485794317728E+00   5.0431175717686128E-02  -9.7170551489756629E-01
   3.6614645858343344E+00   5.1760743823707898E-02  -8.5210588683864619E-01
   3.7014805922368947E+00   5.3613347011329353E-02  -7.3476068662693139E-01
   3.7414965986394564E+00   5.5836658810695196E-02  -6.2064107784845435E-01
   3.7815126050420171E+00   5.8224674925668476E-02  -5.1012894115996943E-01
   3.8215286114445783E+00   6.0551972186380358E-02  -4.0309879280357319E-01
   3.8615446178471391E+00   6.2602070280509861E-02  -2.9907695764116787E-01
   3.9015606242497003E+00   6.4187445956773254E-02  -1.9738819367953622E-01
   3.9415766306522610E+00   6.5162632464217496E-02  -9.7252815107272017E-02
   3.9815926370548227E+00   6.5432819689736438E-02   2.1655445350238492E-03
   4.0216086434573830E+00   6.4959925738484470E-02   1.0174710350098737E-01
   4.0616246498599446E+00   6.3767346603373895E-02   2.0242114110619155E-01
   4.1016406562625054E+00   6.1943853911653766E-02   3.0517130299706530E-01
   4.1416566626650670E+00   5.9646240634898422E-02   4.1101748940011523E-01
   4.1816726690676278E+00   5.7098861570884181E-02   5.2093895563629411E-01
   4.2216886754701886E+00   5.4585689935329570E-02   6.3569183255867401E-01
   4.2617046818727493E+00   5.2427250358602705E-02   7.5549077157884437E-01
   4.3017206882753110E+00   5.0934032325438174E-02   8.7962072543495706E-01
   4.3417366946778717E+00   5.0336987118077818E-02  -9.9377140221013738E-01
   4.3817527010804334E+00   5.0717574256475363E-02  -8.6737633071537035E-01
   4.4217687074829932E+00   5.1976400667711121E-02  -7.4390427322495645E-01
   4.4617847138855549E+00   5.3861925837502815E-02  -6.2525314696088463E-01
   4.5018007202881156E+00   5.6039306574044524E-02  -5.1218155800723431E-01
   4.5418167266906764E+00   5.8160451323983162E-02  -4.0449895855151419E-01
   4.5818327330932380E+00   5.9912061994420243E-02  -3.0144742969448768E-01
   4.6218487394957988E+00   6.1040518352215745E-02  -2.0201650350460579E-01
   4.6618647458983595E+00   6.1361909957340699E-02  -1.0511659457301593E-01
   4.7018807523009203E+00   6.0765025829557243E-02  -9.6358873271641544E-03
   4.7418967587034819E+00   5.9212039662561222E-02   8.5577688130788379E-02
   4.7819127651060427E+00   5.6739403125300153E-02   1.8178095872252617E-01
   4.8219287715086043E+00   5.3460514735535272E-02   2.8043075613170454E-01
   4.8619447779111651E+00   4.9571517780723294E-02   3.8329216500503682E-01
   4.9019607843137258E+00   4.5361048498538586E-02   4.9250653764062680E-01
   4.9419767907162866E+00   4.1221400765340047E-02   6.1045852262017486E-01
   4.9819927971188482E+00   3.7646703828303686E-02   7.3907887135604977E-01
   5.0220088035214090E+00   3.5180683881005377E-02   8.7817952807671129E-01
   5.0620248099239706E+00   3.4265824552526400E-02  -9.7652172870905962E-01
   5.1020408163265314E+00   3.5009582874152512E-02  -8.3288231703552262E-01
   5.1420568227290921E+00   3.7115104850689772E-02  -6.9811761251875815E-01
   5.1820728291316529E+00   4.0040369951338001E-02  -5.7532453724619959E-01
   5.2220888355342145E+00   4.3217291369634800E-02  -4.6392932572531176E-01
   5.2621048419367753E+00   4.6170488108780744E-02  -3.6177764670188922E-01
   5.3021208483393369E+00   4.8541972711171298E-02  -2.6653625820756471E-01
   5.3421368547418968E+00   5.0079004633610501E-02  -1.7619015455210116E-01
   5.3821528611444585E+00   5.0617084223660215E-02  -8.9084978035515003E-02
   5.4221688675470192E+00   5.0067272131837925E-02  -3.8146662029568254E-03
   5.4621848739495809E+00   4.8408549515729350E-02   8.0934889012996503E-02
   5.5022008803521416E+00   4.5684470554719650E-02   1.6657156993418598E-01
   5.5422168867547024E+00   4.2004348851116639E-02   2.5484501563936990E-01
   5.5822328931572631E+00   3.7551569052606697E-02   3.4822852778635116E-01
   5.6222488995598248E+00   3.2606081129220227E-02   4.5054394260822278E-01
   5.6622649059623855E+00   2.7595842361518734E-02   5.6785722982256281E-01
   5.7022809123649472E+00   2.3193733320488366E-02   7.0873451405284504E-01
   5.7422969187675079E+00   2.0393342117175983E-02   8.7904124925613814E-01
   5.7823129251700687E+00   2.0170821330584961E-02  -9.3412821350714970E-01
   5.8223289315726294E+00   2.2564044570979092E-02  -7.6200223113244447E-01
   5.8623449379751902E+00   2.6608254507891616E-02  -6.2026800278399286E-01
   5.9023609443777518E+00   3.1265438114765329E-02  -5.0419687682839331E-01
   5.9423769507803126E+00   3.5827696732054680E-02  -4.0513521335066688E-01
   5.9823929571828742E+00   3.9849470610442493E-02  -3.1680455484328762E-01
   6.0224089635854341E+00   4.3041005924558555E-02  -2.3529828972995384E-01
   6.0624249699879957E+00   4.5209285494843009E-02  -1.5818611096949189E-01
   6.1024409763905565E+00   4.6230522503028094E-02  -8.3868761656217955E-02
   6.1424569827931181E+00   4.6037823139569348E-02  -1.1188328655193518E-02
   6.1824729891956789E+00   4.4615670558197505E-02   6.0821405365839028E-02
   6.2224889955982396E+00   4.1997538372428485E-02   1.3313593248752881E-01
   6.2625050020008004E+00   3.8265475328475400E-02   2.0697543445349928E-01
   6.3025210084033620E+00   3.3552695573746086E-02   2.8420306109397658E-01
   6.3425370148059228E+00   2.8054392365633011E-02   3.6819117624838421E-01
   6.3825530212084844E+00   2.2065253712655632E-02   4.6605237793640575E-01
   6.4225690276110452E+00   1.6115129276506993E-02   5.9498631171265715E-01
   6.4625850340136060E+00   1.1469165742077800E-02   7.9524948860144917E-01
   6.5026010404161676E+00   1.0819659229086887E-02  -9.2211115689366541E-01
   6.5426170468187275E+00   1.4763371169068293E-02  -6.9772941030494751E-01
   6.5826330532212891E+00   2.0563281338231487E-02  -5.5790511089661021E-01
   6.6226490596238508E+00   2.6620970270539605E-02  -4.5758180906391949E-01
   6.6626650660264115E+00   3.2300294887057351E-02  -3.7513802746279851E-01
   6.7026810724289723E+00   3.7270953072911880E-02  -3.0187718386228685E-01
   6.7426970788315330E+00   4.1317577098088074E-02  -2.3389067029178578E-01
   6.7827130852340947E+00   4.4286671632134351E-02  -1.6919625820071654E-01
   6.8227290916366563E+00   4.6070421134230766E-02  -1.0668112705277517E-01
   6.8627450980392162E+00   4.6601731790080154E-02  -4.5663157882792939E-02
   6.9027611044417778E+00   4.5852927868350393E-02   1.4314368474542640E-02
   6.9427771108443386E+00   4.3835391476087004E-02   7.3593794209721494E-02
   6.9827931172469002E+00   4.0598973897603016E-02   1.3247949619774371E-01
   7.0228091236494601E+00   3.6230618693937539E-02   1.9131743030512943E-01
   7.0628251300520217E+00   3.0852022739832216E-02   2.5062990752781972E-01
   7.1028411364545834E+00   2.4616685240196459E-02   3.1145116818854057E-01
   7.1428571428571432E+00   1.7708359025136001E-02   3.7648411210254279E-01
   7.1828731492597040E+00   1.0354386980757977E-02   4.5631515646587911E-01
   7.2228891556622656E+00   3.1345934485941052E-03   6.6429041755365192E-01
   7.2629051620648273E+00   5.6877160209719965E-03  -6.0825729335483869E-01
   7.3029211684673871E+00   1.3139380539558763E-02  -4.9105200321659748E-01
   7.3429371748699488E+00   2.0394061565377847E-02  -4.2150794111006695E-01
   7.3829531812725095E+00   2.7138617508845296E-02  -3.6180310281756173E-01
   7.4229691876750712E+00   3.3176763392425784E-02  -3.0599081022973668E-01
   7.4629851940776311E+00   3.8345065507714257E-02  -2.5229277572076259E-01
   7.5030012004801927E+00   4.2506631206331733E-02  -2.0001101661613371E-01
   7.5430172068827543E+00   4.5551919566977656E-02  -1.4884417710627079E-01
   7.5830332132853151E+00   4.7400794750668107E-02  -9.8682413829816948E-02
   7.6230492196878750E+00   4.8004783032123410E-02  -4.9539960436727842E-02
   7.6630652260904366E+00   4.7349188252183018E-02  -1.5421567358861689E-03
   7.7030812324929983E+00   4.5454853073935854E-02   4.5052785010402871E-02
   7.7430972388955599E+00   4.2379476932525882E-02   8.9790316039388696E-02
   7.7831132452981198E+00   3.8218748968018225E-02   1.3187824392464167E-01
   7.8231292517006805E+00   3.3108533985399202E-02   1.6986476213842627E-01
   7.8631452581032422E+00   2.7232378875322687E-02   2.0082863867844841E-01
   7.9031612645058038E+00   2.0850061734126693E-02   2.1802204291296201E-01
   7.9431772709083637E+00   1.4418781602411401E-02   2.0267770706386248E-01
   7.9831932773109253E+00   9.2019970280564703E-03   9.6042967402928184E-02
   8.0232092837134861E+00   8.8018868018816202E-03  -1.3794724975853928E-01
   8.0632252901160477E+00   1.3659373861128881E-02  -2.6333465872930933E-01
   8.1032412965186076E+00   2.0011572614016919E-02  -2.8735475330455557E-01
   8.1432573029211692E+00   2.6406157922851756E-02  -2.7586121464062896E-01
   8.1832733093237309E+00   3.2362595876090187E-02  -2.5036158907351530E-01
   8.2232893157262925E+00   3.7631569159073106E-02  -2.1842699228971851E-01
   8.2633053221288524E+00   4.2045638727418566E-02  -1.8331092396740248E-01
   8.3033213285314140E+00   4.5483044958106345E-02  -1.4667509049334770E-01
   8.3433373349339757E+00   4.7857738721914851E-02  -1.0952090750225565E-01
   8.3833533413365355E+00   4.9117286812346228E-02  -7.2572013138494471E-02
   8.4233693477390954E+00   4.9243688282970828E-02  -3.6465278730323451E-02
   8.4633853541416570E+00   4.8255469555119244E-02  -1.8749748969842711E-03
   8.5034013605442187E+00   4.6210580196861480E-02   3.0373196078520140E-02
   8.5434173669467786E+00   4.3210424909522656E-02   5.9157850889087815E-02
   8.5834333733493402E+00   3.9406552572115429E-02   8.2840668876303813E-02
   8.6234493797519018E+00   3.5013741802583140E-02   9.8902593703824218E-02
   8.6634653861544635E+00   3.0337302324671835E-02   1.0337732624381274E-01
   8.7034813925570234E+00   2.5827231443068470E-02   9.0265896337034121E-02
   8.7434973989595850E+00   2.2158504261295463E-02   5.2465232387476364E-02
   8.7835134053621466E+00   2.0220194908288316E-02  -1.1070893445921560E-02
   8.8235294117647065E+00   2.0680945319929395E-02  -8.3315760799784908E-02
   8.8635454181672682E+00   2.3342220483820866E-02  -1.3889828906801743E-01
   8.9035614245698280E+00   2.7361141733104877E-02  -1.6877761558345697E-01
   8.9435774309723897E+00   3.1934130160860684E-02  -1.7787158616685084E-01
   8.9835934373749513E+00   3.6518289984379615E-02  -1.7319517692067810E-01
   9.0236094437775112E+00   4.0769125663763874E-02  -1.5989148159617844E-01
   9.0636254501800728E+00   4.4461833317260620E-02  -1.4128165713285901E-01
   9.1036414565826345E+00   4.7445992948993543E-02  -1.1951847387851935E-01
   9.1436574629851961E+00   4.9623637940573388E-02  -9.6078737905891970E-02
   9.1836734693877560E+00   5.0939624618656303E-02  -7.2067954619504243E-02
   9.2236894757903176E+00   5.1378083049117000E-02  -4.8406418298530998E-02
   9.2637054821928793E+00   5.0961752974849533E-02  -2.5949684467128208E-02
   9.3037214885954391E+00   4.9752607503068147E-02  -5.5749010113596079E-03
   9.3437374949979990E+00   4.7853103829214073E-02   1.1750543203949707E-02
   9.3837535014005606E+00   4.5408011671953165E-02   2.4914482223104426E-02
   9.4237695078031223E+00   4.2607011615969685E-02   3.2634461277113634E-02
   9.4637855142056839E+00   3.9687631508616351E-02   3.3510491619099025E-02
   9.5038015206082438E+00   3.6935466909579967E-02   2.6260792623359428E-02
   9.5438175270108054E+00   3.4672731289741320E-02   1.0282454063686663E-02
   9.5838335334133671E+00   3.3219390385438002E-02  -1.3468738299342970E-02
   9.6238495398159269E+00   3.2817507003294395E-02  -4.1824749644301600E-02
   9.6638655462184886E+00   3.3546328156760404E-02  -6.9989960744680377E-02
   9.7038815526210502E+00   3.5292484502130440E-02  -9.3455835421694472E-02
   9.7438975590236101E+00   3.7804018894848516E-02  -1.0965667148686516E-01
   9.7839135654261700E+00   4.0779806182135822E-02  -1.1813557799662881E-01
   9.8239295718287316E+00   4.3935238110573815E-02  -1.1973624307373615E-01
   9.8639455782312933E+00   4.7030185695480335E-02  -1.1578797283189636E-01
   9.9039615846338549E+00   4.9873744531802530E-02  -1.0764578132076161E-01
   9.9439775910364148E+00   5.2320584291727999E-02  -9.6516132173231850E-02
   9.9839935974389764E+00   5.4266125648058827E-02  -8.3427049013816340E-02
   1.0024009603841538E+01   5.5642599298662887E-02  -6.9252697020765239E-02
   1.0064025610244100E+01   5.6415972466880071E-02  -5.4751804598047842E-02
   1.0104041616646660E+01   5.6583321524635001E-02  -4.0605704375131467E-02
   1.0144057623049221E+01   5.6170470168794756E-02  -2.7452743879875761E-02
   1.0184073629451781E+01   5.5230097560281667E-02  -1.5918872445110928E-02
   1.0224089635854343E+01   5.3840793955679603E-02  -6.6430171824375696E-03
   1.0264105642256903E+01   5.2107530389974635E-02  -2.9141884166786414E-04
   1.0304121648659464E+01   5.0163548375153105E-02   2.4527672725855941E-03
   1.0344137655062026E+01   4.8172576171709378E-02   9.4892005990122115E-04
   1.0384153661464588E+01   4.6328404935273911E-02  -5.2608113055333519E-03
   1.0424169667867147E+01   4.4846557808794034E-02  -1.6213177457745656E-02
   1.0464185674269709E+01   4.3941889492143067E-02  -3.1237146487896710E-02
   1.0504201680672271E+01   4.3790316108115838E-02  -4.8788629631507187E-02
   1.0544217687074832E+01   4.4484711133097106E-02  -6.6633725080295636E-02
   1.0584233693477392E+01   4.6006517953260231E-02  -8.2420847977120182E-02
   1.0624249699879954E+01   4.8230182140469861E-02  -9.4336995451620664E-02
   1.0664265706282514E+01   5.0956473131379229E-02  -1.0145648148224520E-01
   1.0704281712685075E+01   5.3954767313656955E-02  -1.0368330653305854E-01
   1.0744297719087635E+01   5.6997050422040840E-02  -1.0147503385013933E-01
   1.0784313725490197E+01   5.9878172239900711E-02  -9.5560914000882347E-02
   1.0824329731892758E+01   6.2424948301321150E-02  -8.6750442627489321E-02
   1.0864345738295320E+01   6.4498695808332909E-02  -7.5835842890846994E-02
   1.0904361744697880E+01   6.5994879983163626E-02  -6.3559843397834270E-02
   1.0944377751100442E+01   6.6842234213854074E-02  -5.0621156087115260E-02
   1.0984393757503003E+01   6.7002779931792864E-02  -3.7699317494262675E-02
   1.1024409763905563E+01   6.6473571938464426E-02  -2.5487949209357878E-02
   1.1064425770308125E+01   6.5290542753888528E-02  -1.4728831021890437E-02
   1.1104441776710685E+01   6.3534364714091990E-02  -6.2382151457500614E-03
   1.1144457783113246E+01   6.1337630594031231E-02  -9.1081854250258710E-04
   1.1184473789515806E+01   5.8891577867015078E-02   3.2509835207953416E-04
   1.1224489795918368E+01   5.6448565265181903E-02  -3.3563943035175002E-03
   1.1264505802320929E+01   5.4313284100653433E-02  -1.2408400230485414E-02
   1.1304521808723491E+01   5.2812813237456832E-02  -2.6519732542302291E-02
   1.1344537815126051E+01   5.2239003753817730E-02  -4.4276474094845440E-02
   1.1384553821528613E+01   5.2773900524823128E-02  -6.3217533245129201E-02
   1.1424569827931174E+01   5.4433112237154045E-02  -8.0484150057507406E-02
   1.1464585834333736E+01   5.7062940720768514E-02  -9.3737291965304864E-02
   1.1504601840736296E+01   6.0390950161839638E-02  -1.0172560410970684E-01
   1.1544617847138857E+01   6.4094884219544665E-02  -1.0426289281515588E-01
   1.1584633853541417E+01   6.7857034222754950E-02  -1.0186689969757474E-01
   1.1624649859943979E+01   7.1394336405141826E-02  -9.5385621463961928E-02
   1.1664665866346539E+01   7.4470254932118410E-02  -8.5754812175920736E-02
   1.1704681872749100E+01   7.6897478330977917E-02  -7.3885007154688931E-02
   1.1744697879151662E+01   7.8537776160428910E-02  -6.0631890358901187E-02
   1.1784713885554224E+01   7.9302320250228431E-02  -4.6809857672983832E-02
   1.1824729891956784E+01   7.9153811228949322E-02  -3.3224251940800066E-02
   1.1864745898359345E+01   7.8110695872423516E-02  -2.0708621060277245E-02
   1.1904761904761907E+01   7.6253189292213197E-02  -1.0157282478359994E-02
   1.1944777911164469E+01   7.3730344187072527E-02  -2.5405343437965122E-03
