# OCT iter        615;   J_T =   9.481897831316E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]          arg(E) [rad/pi]
   2.0008003201280513E-02   3.8938992670236543E-06   4.1576870696756235E-01
   6.0024009603841535E-02   3.3507163856891349E-05   5.1616333133014591E-01
   1.0004001600640258E-01   8.8867513940365676E-05   6.2132038181492544E-01
   1.4005602240896359E-01   1.6697501675997940E-04   7.3154793280412012E-01
   1.8007202881152465E-01   2.6734189720745025E-04   8.4639554149286977E-01
   2.2008803521408568E-01   3.9306307895186070E-04   9.6441270230037401E-01
   2.6010404161664669E-01   5.5082127368119918E-04  -9.1671968596028985E-01
   3.0012004801920772E-01   7.4950307791718919E-04  -7.9957621276789637E-01
   3.4013605442176875E-01   9.9787049946953635E-04  -6.8620925366170593E-01
   3.8015206082432978E-01   1.3022471394144748E-03  -5.7769604512579276E-01
   4.2016806722689082E-01   1.6649337510369296E-03  -4.7417106393769398E-01
   4.6018407362945185E-01   2.0834803139857137E-03  -3.7513094805199837E-01
   5.0020008003201277E-01   2.5506143470578899E-03  -2.7975149979055813E-01
   5.4021608643457386E-01   3.0546249437108830E-03  -1.8709902717066826E-01
   5.8023209283713495E-01   3.5801112217810896E-03  -9.6233415607744718E-02
   6.2024809923969593E-01   4.1090881756422597E-03  -6.2385534558801652E-03
   6.6026410564225702E-01   4.6224848225330292E-03   8.3786758227918784E-02
   7.0028011204481799E-01   5.1020881642349931E-03   1.7475543265801891E-01
   7.4029611844737908E-01   5.5329938378718777E-03   2.6762131540652606E-01
   7.8031212484994006E-01   5.9066112458300542E-03   3.6339564059801804E-01
   8.2032813125250115E-01   6.2241921906174792E-03   4.6312642208676735E-01
   8.6034413765506212E-01   6.5005995641451994E-03   5.6779984509373704E-01
   9.0036014405762321E-01   6.7674281840707593E-03   6.7810982254815677E-01
   9.4037615046018430E-01   7.0735400186735520E-03   7.9407251665340084E-01
   9.8039215686274517E-01   7.4801434304307976E-03   9.1460177148215283E-01
   1.0204081632653061E+00   8.0486007820086657E-03  -9.6261659826009438E-01
   1.0604241696678671E+00   8.8238371508965602E-03  -8.4060949789770578E-01
   1.1004401760704283E+00   9.8213285574274591E-03  -7.2211999125027204E-01
