# OCT iter        615;   J_T =   9.481897831316E-03;   pulse_id =          4                                                                                                                                                                                   
#               time [ns]              abs(E) [au]          arg(E) [rad/pi]
   2.0008003201280513E-02   1.4223615063535533E-07   0.0000000000000000E+00
   6.0024009603841535E-02   1.2801865629870801E-06   4.1740843781075057E-06
   1.0004001600640258E-01   3.5575649493492192E-06  -1.4493051093124029E-06
   1.4005602240896359E-01   6.9802660204403850E-06  -1.5670994544287847E-04
   1.8007202881152465E-01   1.1557117038907472E-05  -7.0176915470432540E-04
   2.2008803521408568E-01   1.7287812941999713E-05  -1.8788407311568752E-03
   2.6010404161664669E-01   2.4139947638612306E-05  -3.8018424829080158E-03
   3.0012004801920772E-01   3.2022469678619821E-05  -6.3323530082118997E-03
   3.4013605442176875E-01   4.0769447964481436E-05  -8.9905289185740877E-03
   3.8015206082432978E-01   5.0151740307760665E-05  -1.0912719700424773E-02
   4.2016806722689082E-01   5.9935235907744384E-05  -1.0865033032913033E-02
   4.6018407362945185E-01   7.0002593423672437E-05  -7.3520913114718577E-03
   5.0020008003201277E-01   8.0545022719811921E-05   1.0750548165992201E-03
   5.4021608643457386E-01   9.2294364776332994E-05   1.5162461339670962E-02
   5.8023209283713495E-01   1.0668327165527717E-04   3.3972384456215719E-02
   6.2024809923969593E-01   1.2573325618141595E-04   5.4217691375824557E-02
   6.6026410564225702E-01   1.5155274901519991E-04   7.1007968615105457E-02
   7.0028011204481799E-01   1.8566051363994238E-04   7.9944435923799781E-02
   7.4029611844737908E-01   2.2853254887102926E-04   7.8736343203274148E-02
   7.8031212484994006E-01   2.7949568067868951E-04   6.7183750155097338E-02
   8.2032813125250115E-01   3.3679452830322936E-04   4.6247329937388032E-02
   8.6034413765506212E-01   3.9767337447607160E-04   1.7205524578588382E-02
   9.0036014405762321E-01   4.5844143095344033E-04  -1.8803262495390868E-02
   9.4037615046018430E-01   5.1455250535220858E-04  -6.0969011943227312E-02
   9.8039215686274517E-01   5.6073825892596668E-04  -1.0889403072579863E-01
   1.0204081632653061E+00   5.9123369876075340E-04  -1.6269359217170673E-01
   1.0604241696678671E+00   6.0015238777507589E-04  -2.2322915556477968E-01
   1.1004401760704283E+00   5.8214765328245275E-04  -2.9268777567089943E-01
   1.1404561824729893E+00   5.3377902306392226E-04  -3.7607848429745450E-01
   1.1804721888755503E+00   4.5711125285394151E-04  -4.8531283877127612E-01
   1.2204881952781113E+00   3.7157494482539777E-04  -6.4881559384290699E-01
   1.2605042016806725E+00   3.4600958828349173E-04  -8.9933035323279209E-01
   1.3005202080832334E+00   4.7285829637979879E-04   8.5035600882242290E-01
   1.3405362144857944E+00   7.3492329454782370E-04   6.8395680915769697E-01
   1.3805522208883556E+00   1.0838153199582161E-03   5.6761582559827606E-01
   1.4205682272909166E+00   1.4956678953161465E-03   4.7323532822603820E-01
   1.4605842336934776E+00   1.9561519795040661E-03   3.8886198930719440E-01
   1.5006002400960385E+00   2.4523832072252867E-03   3.0917328928561499E-01
   1.5406162464985997E+00   2.9705923947202202E-03   2.3146673366132692E-01
   1.5806322529011607E+00   3.4957053339129155E-03   1.5415978667899710E-01
   1.6206482593037215E+00   4.0117180593390155E-03   7.6173366422557537E-02
   1.6606642657062827E+00   4.5025779363022950E-03  -3.3543983891024640E-03
   1.7006802721088436E+00   4.9535235067318887E-03  -8.5218928795968069E-02
   1.7406962785114046E+00   5.3529256229083661E-03  -1.7023703213669686E-01
   1.7807122849139658E+00   5.6947085193042556E-03  -2.5929511915323783E-01
   1.8207282913165268E+00   5.9814063322632220E-03  -3.5335233586513154E-01
   1.8607442977190878E+00   6.2277435882078531E-03  -4.5336647252253420E-01
   1.9007603041216488E+00   6.4641367052255356E-03  -5.6008653737415981E-01
   1.9407763105242100E+00   6.7385055330230030E-03  -6.7366697748190252E-01
   1.9807923169267709E+00   7.1135448285958251E-03  -7.9317912474428198E-01
   2.0208083233293319E+00   7.6567978773876963E-03  -9.1634822759777235E-01
   2.0608243297318931E+00   8.4248627223135041E-03   9.6004401614942592E-01
   2.1008403361344539E+00   9.4490896828216004E-03   8.3911388122129571E-01
   2.1408563425370151E+00   1.0730549062039263E-02   7.2289996148884494E-01
   2.1808723489395763E+00   1.2244694519407589E-02   6.1208853077214431E-01
   2.2208883553421370E+00   1.3950036973109224E-02   5.0634667146733425E-01
   2.2609043617446982E+00   1.5795894817136186E-02   4.0481049860486606E-01
