# OCT iter        615;   J_T =   9.481897831316E-03;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]              abs(E) [au]          arg(E) [rad/pi]
   2.0008003201280513E-02   5.3944443645370654E-07   0.0000000000000000E+00
   6.0024009603841535E-02   4.8549730438406733E-06  -1.5377639848542282E-06
   1.0004001600640258E-01   1.3483904875320001E-05   9.4494765150738447E-06
   1.4005602240896359E-01   2.6417626965376535E-05   1.1629950645447090E-04
   1.8007202881152465E-01   4.3647405687366632E-05   4.5255313721971667E-04
   2.2008803521408568E-01   6.5194124097402208E-05   1.1421541996290416E-03
   2.6010404161664669E-01   9.1160870739207884E-05   2.2179841329714200E-03
   3.0012004801920772E-01   1.2178917379725374E-04   3.5424122813973026E-03
   3.4013605442176875E-01   1.5748233985166937E-04   4.7618099684499935E-03
   3.8015206082432978E-01   1.9875376913899034E-04   5.3257409289896697E-03
   4.2016806722689082E-01   2.4607347591173973E-04   4.5818270665826796E-03
   4.6018407362945185E-01   2.9962121802642452E-04   1.9229630892521471E-03
   5.0020008003201277E-01   3.5899358697292203E-04  -3.0626090876443661E-03
   5.4021608643457386E-01   4.2293469597928064E-04  -1.0483189377316194E-02
   5.8023209283713495E-01   4.8915909813128063E-04  -2.0089866898862177E-02
   6.2024809923969593E-01   5.5432344922070936E-04  -3.1254201954305429E-02
   6.6026410564225702E-01   6.1419955742069983E-04  -4.2935055793465585E-02
   7.0028011204481799E-01   6.6412244469995585E-04  -5.3588000577573264E-02
   7.4029611844737908E-01   6.9985099193147187E-04  -6.0973841429265201E-02
   7.8031212484994006E-01   7.1911587174408609E-04  -6.1849025062799358E-02
   8.2032813125250115E-01   7.2435638175940154E-04  -5.1681226720577164E-02
   8.6034413765506212E-01   7.2719688005904587E-04  -2.5199759442532534E-02
   9.0036014405762321E-01   7.5344298526753499E-04   1.9933840524368071E-02
   9.4037615046018430E-01   8.4086337329220343E-04   7.5637375297673975E-02
   9.8039215686274517E-01   1.0209605607175778E-03   1.2366533790156420E-01
   1.0204081632653061E+00   1.3017481879469379E-03   1.5090833596848277E-01
   1.0604241696678671E+00   1.6726406622097176E-03   1.5645273124866141E-01
   1.1004401760704283E+00   2.1160390683638147E-03   1.4495199959810018E-01
   1.1404561824729893E+00   2.6118333424655152E-03   1.2113270767074122E-01
   1.1804721888755503E+00   3.1375199553097706E-03   8.8393404594881653E-02
   1.2204881952781113E+00   3.6675969412864992E-03   4.8936489266120750E-02
   1.2605042016806725E+00   4.1733653687806814E-03   4.1157233180783535E-03
   1.3005202080832334E+00   4.6232967300066825E-03  -4.5310377554292069E-02
   1.3405362144857944E+00   4.9839594629992020E-03  -9.9045212558085030E-02
   1.3805522208883556E+00   5.2215439632283481E-03  -1.5722841163691703E-01
   1.4205682272909166E+00   5.3041672288592400E-03  -2.2052906257681718E-01
   1.4605842336934776E+00   5.2054735989193407E-03  -2.9042427310680069E-01
   1.5006002400960385E+00   4.9109536299933639E-03  -3.6984594274909793E-01
   1.5406162464985997E+00   4.4310855372011780E-03  -4.6462721140892660E-01
   1.5806322529011607E+00   3.8334417958118092E-03  -5.8641451111453580E-01
   1.6206482593037215E+00   3.3217793941486499E-03  -7.5449363759823074E-01
   1.6606642657062827E+00   3.3263777259892593E-03  -9.7181282039103800E-01
   1.7006802721088436E+00   4.2139265379419434E-03   8.2069961800593816E-01
   1.7406962785114046E+00   5.8640972362200032E-03   6.6494204378971644E-01
   1.7807122849139658E+00   8.0101603294622670E-03   5.4730388519015560E-01
   1.8207282913165268E+00   1.0475871482439555E-02   4.5016956943968606E-01
   1.8607442977190878E+00   1.3142437808144830E-02   3.6380196253873825E-01
   1.9007603041216488E+00   1.5909880269865000E-02   2.8318191830784623E-01
