#   iter         1-F_avg
       0    8.244882E-01
       1    7.136596E-01
       2    4.890865E-01
       3    2.775095E-01
       4    1.658696E-01
       5    1.091068E-01
       6    7.848111E-02
       7    6.027554E-02
       8    4.836759E-02
       9    3.984380E-02
      10    3.328048E-02
      11    2.798382E-02
      12    2.361098E-02
      13    1.997726E-02
      14    1.696219E-02
      15    1.446900E-02
      16    1.241113E-02
      17    1.071047E-02
      18    9.298741E-03
      19    8.118554E-03
      20    7.123312E-03
      21    6.276113E-03
      22    5.548220E-03
      23    4.917450E-03
      24    4.366720E-03
      25    3.882826E-03
      26    3.455483E-03
      27    3.076582E-03
      28    2.739634E-03
      29    2.439360E-03
      30    2.171393E-03
      31    1.932056E-03
      32    1.718209E-03
      33    1.527130E-03
      34    1.356436E-03
      35    1.204017E-03
      36    1.067995E-03
      37    9.466910E-04
      38    8.385923E-04
      39    7.423387E-04
      40    6.567025E-04
      41    5.805758E-04
      42    5.129586E-04
      43    4.529486E-04
      44    3.997323E-04
      45    3.525772E-04
      46    3.108240E-04
      47    2.738806E-04
      48    2.412153E-04
      49    2.123517E-04
      50    1.868634E-04
      51    1.643690E-04
      52    1.445281E-04
      53    1.270372E-04
      54    1.116256E-04
      55    9.805269E-05
      56    8.610456E-05
      57    7.559119E-05
      58    6.634401E-05
      59    5.821362E-05
      60    5.106770E-05
      61    4.478915E-05
      62    3.927445E-05
      63    3.443210E-05
      64    3.018131E-05
      65    2.645080E-05
      66    2.317769E-05
      67    2.030657E-05
      68    1.778861E-05
      69    1.558082E-05
