# OCT iter         41;   J_T =   9.081251971854E-06;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   1.9269269269269271E+00   9.0213275310971584E-03  -8.1849506408594941E-01
   1.9769769769769772E+00   9.5198150957651623E-03  -8.8634453643644029E-01
   2.0270270270270276E+00   1.0039300209652314E-02  -9.5395583816494300E-01
   2.0770770770770777E+00   1.0582277532012695E-02   9.7892179243575506E-01
   2.1271271271271277E+00   1.1150161531927218E-02   9.1250179645749807E-01
   2.1771771771771777E+00   1.1743071108986921E-02   8.4695008695214802E-01
   2.2272272272272278E+00   1.2359670452398656E-02   7.8237925609944214E-01
   2.2772772772772778E+00   1.2997047791822605E-02   7.1884766461765537E-01
   2.3273273273273278E+00   1.3650615517526596E-02   6.5636308730519222E-01
   2.3773773773773779E+00   1.4314025960323787E-02   5.9488998664236459E-01
   2.4274274274274279E+00   1.4979112388690163E-02   5.3435914974402399E-01
   2.4774774774774779E+00   1.5651834421836330E-02   4.7470990681521763E-01
   2.5275275275275280E+00   1.6338325036482269E-02   4.1586316782847788E-01
   2.5775775775775780E+00   1.7028181457453453E-02   3.5769365244331874E-01
   2.6276276276276280E+00   1.7709456534500900E-02   3.0007089202477649E-01
   2.6776776776776781E+00   1.8368996434847951E-02   2.4286655004319391E-01
   2.7277277277277285E+00   1.8992876802307244E-02   1.8595935949403825E-01
   2.7777777777777786E+00   1.9566929009519049E-02   1.2923778163463578E-01
   2.8278278278278286E+00   2.0077336974406834E-02   7.2600700163251555E-02
   2.8778778778778786E+00   2.0511276485627995E-02   1.5956559571305269E-02
   2.9279279279279282E+00   2.0857563844642605E-02  -4.0778633573884920E-02
   2.9779779779779783E+00   2.1107278937988336E-02  -9.7684066337530781E-02
   3.0280280280280283E+00   2.1254329222867702E-02  -1.5483730593809342E-01
   3.0780780780780788E+00   2.1295924949559539E-02  -2.1231763232328973E-01
   3.1281281281281288E+00   2.1232941571324482E-02  -2.7020923931129115E-01
   3.1781781781781788E+00   2.1070151955748948E-02  -3.2860398310061384E-01
   3.2282282282282289E+00   2.0816317848449010E-02  -3.8760324994594464E-01
   3.2782782782782789E+00   2.0484136000296572E-02  -4.4731833972560725E-01
   3.3283283283283294E+00   2.0090038167351998E-02  -5.0786853159350864E-01
   3.3783783783783790E+00   1.9653844397424621E-02  -5.6937576198650186E-01
   3.4284284284284290E+00   1.9198264462586642E-02  -6.3195472286447640E-01
   3.4784784784784790E+00   1.8748233062225825E-02  -6.9569739990353074E-01
   3.5285285285285291E+00   1.8330053521085760E-02  -7.6065193790052021E-01
   3.5785785785785786E+00   1.7970320030563609E-02  -8.2679755639791519E-01
   3.6286286286286291E+00   1.7694603132935541E-02  -8.9402003997976331E-01
   3.6786786786786796E+00   1.7525930743002641E-02  -9.6209530413632249E-01
   3.7287287287287292E+00   1.7483179406528427E-02   9.6931015743100724E-01
   3.7787787787787797E+00   1.7579582890502814E-02   9.0061574061421701E-01
   3.8288288288288292E+00   1.7821615113734614E-02   8.3228111573388341E-01
   3.8788788788788797E+00   1.8208461015608756E-02   7.6474862739815852E-01
   3.9289289289289293E+00   1.8732149927030348E-02   6.9838948006202217E-01
   3.9789789789789798E+00   1.9378255180108720E-02   6.3346784940623380E-01
   4.0290290290290303E+00   2.0126948831497193E-02   5.7012921818846674E-01
   4.0790790790790794E+00   2.0954187048667711E-02   5.0841023937332530E-01
   4.1291291291291303E+00   2.1832868603203662E-02   4.4826192889004268E-01
   4.1791791791791795E+00   2.2733899529653864E-02   3.8957723449810738E-01
   4.2292292292292304E+00   2.3627165164086517E-02   3.3221639452996676E-01
   4.2792792792792795E+00   2.4482440595910523E-02   2.7602669699964172E-01
   4.3293293293293305E+00   2.5270269419177739E-02   2.2085580306513886E-01
   4.3793793793793805E+00   2.5962823784368635E-02   1.6655927277022933E-01
   4.4294294294294296E+00   2.6534738902861576E-02   1.1300349971265690E-01
   4.4794794794794806E+00   2.6963899566053721E-02   6.0065274401966774E-02
   4.5295295295295297E+00   2.7232147556780353E-02   7.6289504251394018E-03
   4.5795795795795806E+00   2.7325877120830108E-02  -4.4418132277131421E-02
   4.6296296296296298E+00   2.7236490000974539E-02  -9.6191616230724628E-02
   4.6796796796796807E+00   2.6960690875493572E-02  -1.4781739123165694E-01
   4.7297297297297307E+00   2.6500617610351582E-02  -1.9944025970057661E-01
   4.7797797797797807E+00   2.5863818090795250E-02  -2.5123425443259506E-01
   4.8298298298298308E+00   2.5063106359942595E-02  -3.0341494339287739E-01
   4.8798798798798808E+00   2.4116355192295279E-02  -3.5625403000935274E-01
   4.9299299299299308E+00   2.3046309387708300E-02  -4.1009630515812834E-01
   4.9799799799799809E+00   2.1880531544425864E-02  -4.6537826297256191E-01
   5.0300300300300309E+00   2.0651612739471890E-02  -5.2264590382711740E-01
   5.0800800800800809E+00   1.9397776125550301E-02  -5.8256537457215252E-01
   5.1301301301301310E+00   1.8163929699222332E-02  -6.4591252204778160E-01
   5.1801801801801810E+00   1.7003000505588613E-02  -7.1351478583754790E-01
   5.2302302302302310E+00   1.5976876129938870E-02  -7.8610403003527796E-01
   5.2802802802802811E+00   1.5155419488323990E-02  -8.6403974000052530E-01
   5.3303303303303311E+00   1.4611189973075823E-02  -9.4692254019420219E-01
   5.3803803803803811E+00   1.4408113317151630E-02   9.6672430228813144E-01
   5.4304304304304312E+00   1.4586174111713725E-02   8.7937719874495890E-01
   5.4804804804804812E+00   1.5149641494524149E-02   7.9386679953226391E-01
   5.5305305305305312E+00   1.6066525888559956E-02   7.1249892000973192E-01
   5.5805805805805813E+00   1.7279048807982932E-02   6.3652810077715305E-01
   5.6306306306306313E+00   1.8717539436430199E-02   5.6619613631759591E-01
   5.6806806806806813E+00   2.0310920925365530E-02   5.0108841817940308E-01
   5.7307307307307314E+00   2.1992032644400260E-02   4.4049985179578455E-01
   5.7807807807807823E+00   2.3699304978322080E-02   3.8367637158483070E-01
   5.8308308308308314E+00   2.5376756630194036E-02   3.2993453322915611E-01
   5.8808808808808823E+00   2.6973575920964242E-02   2.7870338499270836E-01
   5.9309309309309315E+00   2.8443840964008791E-02   2.2952698586562126E-01
   5.9809809809809824E+00   2.9746519317015545E-02   1.8205068938479962E-01
   6.0310310310310316E+00   3.0845702328151814E-02   1.3600276533600944E-01
   6.0810810810810825E+00   3.1710967542534794E-02   9.1176337300827984E-02
   6.1311311311311325E+00   3.2317756256738321E-02   4.7413340322808924E-02
   6.1811811811811816E+00   3.2647668933027063E-02   4.5907296976863644E-03
   6.2312312312312326E+00   3.2688604315893127E-02  -3.7391430580805227E-02
   6.2812812812812817E+00   3.2434693333451982E-02  -7.8620593876957301E-02
   6.3313313313313326E+00   3.1886004554642716E-02  -1.1918175565539647E-01
   6.3813813813813818E+00   3.1048023821744170E-02  -1.5916765204617483E-01
   6.4314314314314327E+00   2.9930936818243180E-02  -1.9869009903021909E-01
   6.4814814814814827E+00   2.8548770069101146E-02  -2.3789385786029132E-01
   6.5315315315315328E+00   2.6918473968740503E-02  -2.7697528725959220E-01
   6.5815815815815828E+00   2.5059063252478034E-02  -3.1620985206981350E-01
   6.6316316316316328E+00   2.2990972968438897E-02  -3.5599637556472163E-01
   6.6816816816816820E+00   2.0735861903865886E-02  -3.9693432718248967E-01
   6.7317317317317329E+00   1.8317259362588250E-02  -4.3997008363822926E-01
   6.7817817817817829E+00   1.5762882416958560E-02  -4.8669756808502179E-01
   6.8318318318318330E+00   1.3110731982617373E-02  -5.4003395449353409E-01
   6.8818818818818839E+00   1.0425346850305347E-02  -6.0588749911357220E-01
   6.9319319319319321E+00   7.8464011576976807E-03  -6.9752868462999318E-01
   6.9819819819819831E+00   5.7458517283370857E-03  -8.4442791236656822E-01
   7.0320320320320331E+00   5.0243623772740055E-03   9.3010123565344016E-01
   7.0820820820820840E+00   6.3314572767667913E-03   7.2008808200936891E-01
   7.1321321321321323E+00   8.8807102371401079E-03   5.8988371170478593E-01
   7.1821821821821832E+00   1.1926304597822908E-02   5.0634935892763555E-01
   7.2322322322322332E+00   1.5166226678798127E-02   4.4459082295590857E-01
   7.2822822822822832E+00   1.8467052367120596E-02   3.9380277977488626E-01
   7.3323323323323342E+00   2.1749179850611079E-02   3.4913520783483581E-01
   7.3823823823823833E+00   2.4951921458027618E-02   3.0819675073345665E-01
   7.4324324324324333E+00   2.8022298313632166E-02   2.6971088065072341E-01
   7.4824824824824834E+00   3.0911466600917814E-02   2.3295757222104155E-01
   7.5325325325325343E+00   3.3573941520415124E-02   1.9751839934224874E-01
   7.5825825825825843E+00   3.5967932038933684E-02   1.6314989462070570E-01
   7.6326326326326335E+00   3.8056094721590883E-02   1.2971596536005575E-01
   7.6826826826826835E+00   3.9806374562522152E-02   9.7149638106616615E-02
   7.7327327327327344E+00   4.1192750932074987E-02   6.5430395142193426E-02
   7.7827827827827845E+00   4.2195781665014830E-02   3.4570371045138923E-02
   7.8328328328328336E+00   4.2802884632666752E-02   4.6059829765807770E-03
   7.8828828828828836E+00   4.3008331549006594E-02  -2.4406741019463597E-02
   7.9329329329329337E+00   4.2812960364989668E-02  -5.2393908413371333E-02
   7.9829829829829846E+00   4.2223643364443161E-02  -7.9262706964313770E-02
   8.0330330330330355E+00   4.1252579313757802E-02  -1.0489711194869970E-01
   8.0830830830830838E+00   3.9916510752698600E-02  -1.2914928581044907E-01
   8.1331331331331338E+00   3.8236003742804794E-02  -1.5182470925732805E-01
   8.1831831831831838E+00   3.6234972248084640E-02  -1.7265765324192200E-01
   8.2332332332332356E+00   3.3940695456269793E-02  -1.9127112761958245E-01
   8.2832832832832857E+00   3.1384693310692109E-02  -2.0711098282029622E-01
   8.3333333333333339E+00   2.8605060473579438E-02  -2.1933570419719828E-01
   8.3833833833833840E+00   2.5651361909377342E-02  -2.2662911637297325E-01
   8.4334334334334340E+00   2.2594284910795452E-02  -2.2688214896164260E-01
   8.4834834834834858E+00   1.9544486379833411E-02  -2.1668354295970965E-01
   8.5335335335335341E+00   1.6688539415278501E-02  -1.9071706814604830E-01
   8.5835835835835841E+00   1.4347450741241247E-02  -1.4213997250857463E-01
   8.6336336336336341E+00   1.3013559152353993E-02  -6.7870977453545325E-02
   8.6836836836836859E+00   1.3178831892742453E-02   1.9459627955622286E-02
   8.7337337337337360E+00   1.4918045414625769E-02   9.4464943273095570E-02
   8.7837837837837842E+00   1.7843998035083949E-02   1.4388743505719670E-01
   8.8338338338338342E+00   2.1497930748165073E-02   1.7053935715428137E-01
   8.8838838838838861E+00   2.5551626684073389E-02   1.8134059404906314E-01
   8.9339339339339361E+00   2.9793565053352022E-02   1.8176880196916778E-01
   8.9839839839839861E+00   3.4080336112219826E-02   1.7539694084095137E-01
   9.0340340340340344E+00   3.8305389072127771E-02   1.6448631616184675E-01
   9.0840840840840844E+00   4.2383120690877789E-02   1.5049822898123802E-01
   9.1341341341341362E+00   4.6241385070359714E-02   1.3441380335751357E-01
   9.1841841841841863E+00   4.9818210432757304E-02   1.1692139670208047E-01
   9.2342342342342345E+00   5.3060561535835327E-02   9.8526383950288246E-02
   9.2842842842842845E+00   5.5924052127555482E-02   7.9616859360060646E-02
   9.3343343343343363E+00   5.8373035648168987E-02   6.0504168343537959E-02
   9.3843843843843864E+00   6.0380768330069161E-02   4.1448848957319678E-02
   9.4344344344344364E+00   6.1929484890351244E-02   2.2678018100015015E-02
   9.4844844844844847E+00   6.3010316672224398E-02   4.3977648220876724E-03
   9.5345345345345365E+00   6.3623044491842251E-02  -1.3197246528990604E-02
   9.5845845845845865E+00   6.3775726908844893E-02  -2.9915520326563874E-02
