#                  t [au]                       00                       01                       0i                       0r                       10                       11                       1i                       1r                       i0                       i1                       ii                       ir                       r0                       r1                       ri                       rr
  0.00000000000000000E+00  0.00000000000000000E+00  1.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
  2.06913780383216031E+06  0.00000000000000000E+00  9.99999998971726423E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.02827673097119772E-09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.66123817459304708E-19  0.00000000000000000E+00  0.00000000000000000E+00
  4.13827560766432062E+06  0.00000000000000000E+00  9.99999994319539565E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  5.68046634885344082E-09  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  5.20484661672025691E-18  0.00000000000000000E+00  0.00000000000000000E+00
  6.20741341149648093E+06  0.00000000000000000E+00  9.99999976070180208E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.39298287040977600E-08  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.81143910708839265E-17  0.00000000000000000E+00  0.00000000000000000E+00
  8.27655121532864124E+06  0.00000000000000000E+00  9.99999913430234200E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  8.65697776923357851E-08  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.97803097416119226E-16  0.00000000000000000E+00  0.00000000000000000E+00
  1.03456890191608015E+07  0.00000000000000000E+00  9.99999737706399938E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.62293614393438422E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  8.26912123388553668E-16  0.00000000000000000E+00  0.00000000000000000E+00
  1.24148268229929619E+07  0.00000000000000000E+00  9.99999321447998080E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  6.78552017012119939E-07  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.89250017282392870E-15  0.00000000000000000E+00  0.00000000000000000E+00
  1.44839646268251222E+07  0.00000000000000000E+00  9.99998454848796459E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.54515121597815365E-06  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  8.69424243778693297E-15  0.00000000000000000E+00  0.00000000000000000E+00
  1.65531024306572825E+07  0.00000000000000000E+00  9.99996820630443262E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.17936955810545847E-06  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.29803224687547237E-14  0.00000000000000000E+00  0.00000000000000000E+00
  1.86222402344894409E+07  0.00000000000000000E+00  9.99993968774704367E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  6.03122526868525106E-06  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  5.44220293625373844E-14  0.00000000000000000E+00  0.00000000000000000E+00
  2.06913780383216031E+07  0.00000000000000000E+00  9.99989292562572851E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.07074373402857928E-05  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.17162706272894788E-13  0.00000000000000000E+00  0.00000000000000000E+00
  2.27605158421537653E+07  0.00000000000000000E+00  9.99982007404010775E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.79925957905443208E-05  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.31934155630327195E-13  0.00000000000000000E+00  0.00000000000000000E+00
  2.48296536459859237E+07  0.00000000000000000E+00  9.99971133894953512E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.88661046562927714E-05  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  4.26444166169721435E-13  0.00000000000000000E+00  0.00000000000000000E+00
  2.68987914498180822E+07  0.00000000000000000E+00  9.99955486415108674E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  4.45135841940048088E-05  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  7.36318176544183730E-13  0.00000000000000000E+00  0.00000000000000000E+00
  2.89679292536502443E+07  0.00000000000000000E+00  9.99933668382906760E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  6.63316159227971659E-05  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.21246662395440135E-12  0.00000000000000000E+00  0.00000000000000000E+00
  3.10370670574824065E+07  0.00000000000000000E+00  9.99904075019986460E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.59249781074332210E-05  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.95074692444669835E-12  0.00000000000000000E+00  0.00000000000000000E+00
  3.31062048613145649E+07  0.00000000000000000E+00  9.99864904159308732E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.35095837560838698E-04  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.17815341608888595E-12  0.00000000000000000E+00  0.00000000000000000E+00
  3.51753426651467234E+07  0.00000000000000000E+00  9.99814175275410388E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.85824719180823389E-04  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  5.45947622894744918E-12  0.00000000000000000E+00  0.00000000000000000E+00
  3.72444804689788818E+07  0.00000000000000000E+00  9.99749756543086177E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.50243446835632551E-04  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.01315379442857821E-11  0.00000000000000000E+00  0.00000000000000000E+00
  3.93136182728110477E+07  0.00000000000000000E+00  9.99669399364473965E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.30600615453300369E-04  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.01289064443200541E-11  0.00000000000000000E+00  0.00000000000000000E+00
  4.13827560766432062E+07  0.00000000000000000E+00  9.99570779467039650E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  4.29220491587091739E-04  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  4.14325106585223767E-11  0.00000000000000000E+00  0.00000000000000000E+00
  4.34518938804753646E+07  0.00000000000000000E+00  9.99451543387435692E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  5.48456527182281236E-04  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  8.54441396584982546E-11  0.00000000000000000E+00  0.00000000000000000E+00
  4.55210316843075305E+07  0.00000000000000000E+00  9.99309358936132375E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  6.90640891278043625E-04  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.72654665861726742E-10  0.00000000000000000E+00  0.00000000000000000E+00
  4.75901694881396890E+07  0.00000000000000000E+00  9.99141968097219668E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  8.58031564830303174E-04  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.38017992624346741E-10  0.00000000000000000E+00  0.00000000000000000E+00
  4.96593072919718474E+07  0.00000000000000000E+00  9.98947240762363520E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.05275859925685463E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  6.38450726633996583E-10  0.00000000000000000E+00  0.00000000000000000E+00
  5.17284450958040059E+07  0.00000000000000000E+00  9.98723227725765383E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.27677111147290545E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.16283559758870620E-09  0.00000000000000000E+00  0.00000000000000000E+00
  5.37975828996361643E+07  0.00000000000000000E+00  9.98468211469230593E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.53178648603919830E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.04480678938208498E-09  0.00000000000000000E+00  0.00000000000000000E+00
  5.58667207034683302E+07  0.00000000000000000E+00  9.98180753427891365E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.81924309374687193E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.47844061399300458E-09  0.00000000000000000E+00  0.00000000000000000E+00
  5.79358585073004887E+07  0.00000000000000000E+00  9.97859736628070149E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.14025763522771723E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  5.73678387415443252E-09  0.00000000000000000E+00  0.00000000000000000E+00
  6.00049963111326471E+07  0.00000000000000000E+00  9.97504402807107726E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.49558800001566149E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.19296128491677602E-09  0.00000000000000000E+00  0.00000000000000000E+00
  6.20741341149648130E+07  0.00000000000000000E+00  9.97114383339010701E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.88560231761197938E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.43434648594202090E-08  0.00000000000000000E+00  0.00000000000000000E+00
  6.41432719187969714E+07  0.00000000000000000E+00  9.96689723480538747E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.31025468634920002E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.18332022467891365E-08  0.00000000000000000E+00  0.00000000000000000E+00
  6.62124097226291299E+07  0.00000000000000000E+00  9.96230899606191711E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.76906791188091287E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  3.24820202805606575E-08  0.00000000000000000E+00  0.00000000000000000E+00
  6.82815475264612883E+07  0.00000000000000000E+00  9.95738829210488841E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  4.26112347685694576E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  4.73127500598049809E-08  0.00000000000000000E+00  0.00000000000000000E+00
  7.03506853302934468E+07  0.00000000000000000E+00  9.95214873522584531E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  4.78505889619413628E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  6.75813200444012132E-08  0.00000000000000000E+00  0.00000000000000000E+00
  7.24198231341256052E+07  0.00000000000000000E+00  9.94660832609506773E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  5.33907258051985901E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  9.48100749319815146E-08  0.00000000000000000E+00  0.00000000000000000E+00
  7.44889609379577637E+07  0.00000000000000000E+00  9.94078932854051356E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  5.92093632006784280E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.30825985213466843E-07  0.00000000000000000E+00  0.00000000000000000E+00
  7.65580987417899370E+07  0.00000000000000000E+00  9.93471806699506521E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  6.52801549483783029E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  1.77805762926295228E-07  0.00000000000000000E+00  0.00000000000000000E+00
  7.86272365456220955E+07  0.00000000000000000E+00  9.92842464575125594E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  7.15729709514690247E-03  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  2.38329838044200494E-07  0.00000000000000000E+00  0.00000000000000000E+00
