#   iter         1-F_avg
       0    8.244882E-01
       1    6.891831E-01
       2    5.066569E-01
       3    3.398008E-01
       4    2.213888E-01
       5    1.473856E-01
       6    1.001407E-01
       7    6.954707E-02
       8    4.972903E-02
       9    3.664982E-02
      10    2.766770E-02
      11    2.120540E-02
      12    1.637305E-02
      13    1.266982E-02
      14    9.797966E-03
      15    7.563099E-03
      16    5.825762E-03
      17    4.479176E-03
      18    3.438964E-03
      19    2.637870E-03
      20    2.022427E-03
      21    1.550439E-03
      22    1.188871E-03
      23    9.120473E-04
      24    7.001294E-04
      25    5.378618E-04
      26    4.135508E-04
      27    3.182530E-04
      28    2.451381E-04
      29    1.889927E-04
      30    1.458382E-04
      31    1.126373E-04
      32    8.706991E-05
      33    6.736258E-05
      34    5.215828E-05
      35    4.041768E-05
      36    3.134389E-05
      37    2.432533E-05
      38    1.889211E-05
      39    1.468284E-05
      40    1.141934E-05
