# OCT iter         41;   J_T =   9.081251971854E-06;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   2.5025025025025027E-02   3.4040332326956343E-04  -8.0936985206486262E-02
   7.5075075075075076E-02   5.0657290012533533E-04  -2.3811635737567047E-01
   1.2512512512512516E-01   9.3231487602304876E-04  -2.9860700274471824E-01
   1.7517517517517520E-01   1.5688088811135340E-03  -2.9229597034944826E-01
   2.2522522522522526E-01   2.3848793921470083E-03  -2.5964853313621378E-01
   2.7527527527527529E-01   3.3649978376486776E-03  -2.1549949373006930E-01
   3.2532532532532538E-01   4.4974851241809857E-03  -1.6553355878695428E-01
   3.7537537537537541E-01   5.7710647132652986E-03  -1.1225083319554982E-01
   4.2542542542542550E-01   7.1738393202296444E-03  -5.6885140446378206E-02
   4.7547547547547553E-01   8.6929815547696094E-03  -1.0179160115702642E-04
   5.2552552552552556E-01   1.0314681427852400E-02   5.7715040975161523E-02
   5.7557557557557559E-01   1.2024208790620447E-02   1.1633115667863896E-01
   6.2562562562562574E-01   1.3806038562505904E-02   1.7559724812291183E-01
   6.7567567567567566E-01   1.5644015507824332E-02   2.3541432224254413E-01
   7.2572572572572580E-01   1.7521545423625037E-02   2.9571424161515952E-01
   7.7577577577577583E-01   1.9421803243045509E-02   3.5644822247291374E-01
   8.2582582582582598E-01   2.1327949834743658E-02   4.1757973649169444E-01
   8.7587587587587601E-01   2.3223349717016933E-02   4.7907995850501506E-01
   9.2592592592592604E-01   2.5091782142210219E-02   5.4092474448360162E-01
   9.7597597597597607E-01   2.6917638340214961E-02   6.0309256377338227E-01
   1.0260260260260261E+00   2.8686098290160063E-02   6.6556304936612842E-01
   1.0760760760760761E+00   3.0383281292248050E-02   7.2831596596966763E-01
   1.1261261261261262E+00   3.1996365862431514E-02   7.9133047548371582E-01
   1.1761761761761762E+00   3.3513676054226914E-02   8.5458462770922805E-01
   1.2262262262262265E+00   3.4924733166710541E-02   9.1805503377525377E-01
   1.2762762762762765E+00   3.6220273828335862E-02   9.8171669799514283E-01
   1.3263263263263265E+00   3.7392237519536124E-02  -9.5445700532264044E-01
   1.3763763763763766E+00   3.8433728552445486E-02  -8.9049421783679228E-01
   1.4264264264264266E+00   3.9338959188851809E-02  -8.2642435148079874E-01
   1.4764764764764766E+00   4.0103181777662020E-02  -7.6227771708127290E-01
   1.5265265265265267E+00   4.0722618387015581E-02  -6.9808503533921651E-01
   1.5765765765765769E+00   4.1194396298339986E-02  -6.3387684122070354E-01
   1.6266266266266267E+00   4.1516496891367022E-02  -5.6968279594983218E-01
   1.6766766766766772E+00   4.1687723929293319E-02  -5.0553092338935735E-01
   1.7267267267267272E+00   4.1707695178858840E-02  -4.4144678902823559E-01
   1.7767767767767773E+00   4.1576858865062551E-02  -3.7745263962825321E-01
   1.8268268268268273E+00   4.1296533903567162E-02  -3.1356651958746756E-01
   1.8768768768768773E+00   4.0868970430378383E-02  -2.4980137627376720E-01
   1.9269269269269271E+00   4.0297425096720130E-02  -1.8616416122779958E-01
   1.9769769769769772E+00   3.9586244110106486E-02  -1.2265492770801667E-01
   2.0270270270270276E+00   3.8740946205470042E-02  -5.9265918212022171E-02
   2.0770770770770777E+00   3.7768297667649012E-02   4.0193708169698264E-03
   2.1271271271271277E+00   3.6676372161527124E-02   6.7227164883246440E-02
   2.1771771771771777E+00   3.5474589347348227E-02   1.3039444795710634E-01
   2.2272272272272278E+00   3.4173727894096707E-02   1.9357007728511699E-01
   2.2772772772772778E+00   3.2785910335878944E-02   2.5681598443581360E-01
   2.3273273273273278E+00   3.1324558994696113E-02   3.2020844917039343E-01
   2.3773773773773779E+00   2.9804323640425168E-02   3.8383939314007842E-01
   2.4274274274274279E+00   2.8240982365462471E-02   4.4781757262621352E-01
   2.4774774774774779E+00   2.6678784153198212E-02   5.1228800195954072E-01
   2.5275275275275280E+00   2.5156467247576888E-02   5.7742383466734926E-01
   2.5775775775775780E+00   2.3682827174081173E-02   6.4339792667486961E-01
   2.6276276276276280E+00   2.2268096656337791E-02   7.1038493960664184E-01
   2.6776776776776781E+00   2.0923626995474856E-02   7.7855015099842761E-01
   2.7277277277277285E+00   1.9661443265936530E-02   8.4803313422417193E-01
   2.7777777777777786E+00   1.8493633073404264E-02   9.1892576613549104E-01
   2.8278278278278286E+00   1.7431534911469884E-02   9.9124543555570788E-01
   2.8778778778778786E+00   1.6484720712110226E-02  -9.3509318855237011E-01
   2.9279279279279282E+00   1.5659826774966346E-02  -8.6030126221216163E-01
   2.9779779779779783E+00   1.4959374460961581E-02  -7.8472463290576855E-01
   3.0280280280280283E+00   1.4380809041547796E-02  -7.0882980932616901E-01
   3.0780780780780788E+00   1.3916019653567237E-02  -6.3316371810952321E-01
   3.1281281281281288E+00   1.3551536040880656E-02  -5.5829326142403057E-01
   3.1781781781781788E+00   1.3269428370661480E-02  -4.8473938970798608E-01
   3.2282282282282289E+00   1.3048735174247659E-02  -4.1292291158336192E-01
   3.2782782782782789E+00   1.2867112078238176E-02  -3.4313382535252046E-01
   3.3283283283283294E+00   1.2702387665555146E-02  -2.7552627906750249E-01
   3.3783783783783790E+00   1.2533810699822472E-02  -2.1013309794234886E-01
   3.4284284284284290E+00   1.2342905667976899E-02  -1.4689043651985162E-01
   3.4784784784784790E+00   1.2113960014718532E-02  -8.5664070861600800E-02
   3.5285285285285291E+00   1.1834222551097678E-02  -2.6271812131680169E-02
   3.5785785785785786E+00   1.1493905283087958E-02   3.1500571230341154E-02
   3.6286286286286291E+00   1.1086068995977047E-02   8.7890667749804113E-02
   3.6786786786786796E+00   1.0606452870784461E-02   1.4315802036691458E-01
   3.7287287287287292E+00   1.0053290133777966E-02   1.9759034504392942E-01
   3.7787787787787797E+00   9.4271398224600612E-03   2.5151890494255552E-01
   3.8288288288288292E+00   8.7307613959171082E-03   3.0534696883900941E-01
   3.8788788788788797E+00   7.9690672438935874E-03   3.5959991360261262E-01
   3.9289289289289293E+00   7.1492167725176487E-03   4.1501506764415874E-01
   3.9789789789789798E+00   6.2809891237675698E-03   4.7271052504375272E-01
   4.0290290290290303E+00   5.3777603863927187E-03   5.3452216602902947E-01
   4.0790790790790794E+00   4.4589312274060369E-03   6.0372181107375222E-01
   4.1291291291291303E+00   3.5561930911315750E-03   6.8662352400858895E-01
   4.1791791791791795E+00   2.7305821184515377E-03   7.9596198869182855E-01
   4.2292292292292304E+00   2.1148052786142311E-03   9.5346968159200474E-01
