#   iter         1-F_avg
       0    8.244882E-01
       1    7.376014E-01
       2    4.946073E-01
       3    3.726893E-01
       4    3.143359E-01
       5    2.696789E-01
       6    2.320545E-01
       7    2.003931E-01
       8    1.741065E-01
       9    1.524474E-01
      10    1.345636E-01
      11    1.196296E-01
      12    1.069322E-01
      13    9.589929E-02
      14    8.609555E-02
      15    7.720364E-02
      16    6.900376E-02
      17    6.135594E-02
      18    5.418527E-02
      19    4.746835E-02
      20    4.121908E-02
      21    3.547294E-02
      22    3.027050E-02
      23    2.564270E-02
      24    2.160042E-02
      25    1.813047E-02
      26    1.519738E-02
      27    1.274940E-02
      28    1.072590E-02
      29    9.064103E-03
      30    7.704147E-03
      31    6.592062E-03
      32    5.681153E-03
      33    4.932202E-03
      34    4.312989E-03
      35    3.797470E-03
      36    3.364842E-03
      37    2.998631E-03
      38    2.685866E-03
      39    2.416363E-03
      40    2.182144E-03
      41    1.976947E-03
      42    1.795847E-03
      43    1.634955E-03
      44    1.491182E-03
      45    1.362055E-03
      46    1.245581E-03
      47    1.140134E-03
      48    1.044379E-03
      49    9.572054E-04
      50    8.776795E-04
      51    8.050088E-04
      52    7.385129E-04
      53    6.776023E-04
      54    6.217612E-04
      55    5.705352E-04
      56    5.235202E-04
      57    4.803551E-04
      58    4.407152E-04
      59    4.043072E-04
      60    3.708649E-04
      61    3.401462E-04
      62    3.119301E-04
      63    2.860143E-04
      64    2.622136E-04
      65    2.403579E-04
      66    2.202910E-04
      67    2.018693E-04
      68    1.849607E-04
      69    1.694433E-04
      70    1.552053E-04
      71    1.421434E-04
      72    1.301626E-04
      73    1.191754E-04
      74    1.091011E-04
      75    9.986555E-05
      76    9.140027E-05
      77    8.364237E-05
      78    7.653389E-05
      79    7.002154E-05
      80    6.405624E-05
      81    5.859288E-05
      82    5.358997E-05
      83    4.900935E-05
      84    4.481596E-05
      85    4.097759E-05
      86    3.746463E-05
      87    3.424991E-05
      88    3.130845E-05
      89    2.861734E-05
