#    E0[MHz]    concurrence       pop_loss     n_q     n_c
    0.000000       0.347280  -6.081802E-13       4      15
   50.000000       0.336370   1.545274E-07       4      15
  100.000000       0.302850   1.781881E-05       5      15
  125.000000       0.276950   1.516084E-04       5      15
  150.000000       0.244570   1.052080E-04       5      15
  175.000000       0.204580   1.047298E-04       5      15
  200.000000       0.156790   4.212933E-05       5      15
  225.000000       0.096610   4.664182E-04       8      15
  250.000000       0.026420   7.801564E-04       9      20
  275.000000       0.056750   2.903047E-03       9      35
  300.000000       0.154690   3.472822E-03       9      35
  325.000000       0.263270   5.496855E-03       9      35
  350.000000       0.381370   1.859887E-02       9      35
  375.000000       0.541120   7.798243E-02      10      35
  400.000000       0.682450   9.437119E-02      10      35
  425.000000       0.714970   7.369079E-02      10      35
  450.000000       0.842610   1.671341E-01      10      35
  500.000000       0.941680   2.549180E-01      10      50
