#  sigma(detuning) [kHz]             avg fid (jz)         avg fid (stirap)          avg fid (mixed)
0.000000000000000000e+00 9.991440000000000321e-01 9.953170000000000073e-01 9.989500000000000046e-01
1.670000000000000095e-01 9.991440000000000321e-01 9.953170000000000073e-01 9.989500000000000046e-01
3.330000000000000182e-01 9.991440000000000321e-01 9.953170000000000073e-01 9.989500000000000046e-01
5.000000000000000000e-01 9.991440000000000321e-01 9.953130000000000033e-01 9.989500000000000046e-01
6.670000000000000373e-01 9.991440000000000321e-01 9.952969999999999873e-01 9.989500000000000046e-01
8.329999999999999627e-01 9.991430000000000033e-01 9.952710000000000168e-01 9.989489999999999759e-01
1.000000000000000000e+00 9.991419999999999746e-01 9.952400000000000135e-01 9.989489999999999759e-01
1.167000000000000037e+00 9.991400000000000281e-01 9.952029999999999488e-01 9.989479999999999471e-01
1.332999999999999963e+00 9.991389999999999993e-01 9.951600000000000446e-01 9.989479999999999471e-01
1.500000000000000000e+00 9.991370000000000529e-01 9.951119999999999965e-01 9.989470000000000294e-01
1.667000000000000037e+00 9.991349999999999953e-01 9.950569999999999693e-01 9.989460000000000006e-01
1.832999999999999963e+00 9.991330000000000489e-01 9.949980000000000491e-01 9.989449999999999719e-01
2.000000000000000000e+00 9.991299999999999626e-01 9.949320000000000386e-01 9.989440000000000541e-01
2.166999999999999815e+00 9.991280000000000161e-01 9.948609999999999953e-01 9.989430000000000254e-01
2.333000000000000185e+00 9.991250000000000409e-01 9.947840000000000016e-01 9.989419999999999966e-01
2.500000000000000000e+00 9.991219999999999546e-01 9.947009999999999463e-01 9.989409999999999679e-01
2.666999999999999815e+00 9.991179999999999506e-01 9.946129999999999693e-01 9.989390000000000214e-01
2.833000000000000185e+00 9.991149999999999753e-01 9.945190000000000419e-01 9.989379999999999926e-01
3.000000000000000000e+00 9.991109999999999713e-01 9.944190000000000529e-01 9.989360000000000461e-01
3.166999999999999815e+00 9.991069999999999673e-01 9.943140000000000311e-01 9.989350000000000174e-01
3.333000000000000185e+00 9.991029999999999633e-01 9.942029999999999479e-01 9.989329999999999599e-01
3.500000000000000000e+00 9.990989999999999593e-01 9.940870000000000539e-01 9.989310000000000134e-01
3.666999999999999815e+00 9.990940000000000376e-01 9.939639999999999587e-01 9.989289999999999559e-01
3.833000000000000185e+00 9.990900000000000336e-01 9.938369999999999704e-01 9.989270000000000094e-01
4.000000000000000000e+00 9.990850000000000009e-01 9.937030000000000030e-01 9.989249999999999519e-01
4.166999999999999815e+00 9.990790000000000504e-01 9.935640000000000027e-01 9.989230000000000054e-01
4.333000000000000185e+00 9.990740000000000176e-01 9.934190000000000520e-01 9.989209999999999479e-01
4.500000000000000000e+00 9.990679999999999561e-01 9.932689999999999575e-01 9.989190000000000014e-01
4.666999999999999815e+00 9.990630000000000344e-01 9.931130000000000235e-01 9.989160000000000261e-01
4.833000000000000185e+00 9.990569999999999729e-01 9.929510000000000280e-01 9.989139999999999686e-01
5.000000000000000000e+00 9.990499999999999936e-01 9.927839999999999998e-01 9.989109999999999934e-01
5.166999999999999815e+00 9.990440000000000431e-01 9.926110000000000211e-01 9.989090000000000469e-01
5.333000000000000185e+00 9.990369999999999528e-01 9.924330000000000096e-01 9.989059999999999606e-01
5.500000000000000000e+00 9.990299999999999736e-01 9.922490000000000476e-01 9.989029999999999854e-01
5.666999999999999815e+00 9.990229999999999944e-01 9.920600000000000529e-01 9.989000000000000101e-01
5.833000000000000185e+00 9.990160000000000151e-01 9.918649999999999967e-01 9.988970000000000349e-01
6.000000000000000000e+00 9.990080000000000071e-01 9.916639999999999899e-01 9.988939999999999486e-01
6.166999999999999815e+00 9.990010000000000279e-01 9.914579999999999504e-01 9.988909999999999734e-01
6.333000000000000185e+00 9.989930000000000199e-01 9.912469999999999892e-01 9.988869999999999694e-01
6.500000000000000000e+00 9.989850000000000119e-01 9.910299999999999665e-01 9.988839999999999941e-01
6.666999999999999815e+00 9.989759999999999751e-01 9.908069999999999933e-01 9.988810000000000189e-01
6.833000000000000185e+00 9.989679999999999671e-01 9.905789999999999873e-01 9.988770000000000149e-01
7.000000000000000000e+00 9.989590000000000414e-01 9.903459999999999486e-01 9.988730000000000109e-01
7.166999999999999815e+00 9.989500000000000046e-01 9.901069999999999593e-01 9.988700000000000356e-01
7.333000000000000185e+00 9.989409999999999679e-01 9.898620000000000196e-01 9.988660000000000316e-01
7.500000000000000000e+00 9.989310000000000134e-01 9.896120000000000472e-01 9.988620000000000276e-01
7.666999999999999815e+00 9.989219999999999766e-01 9.893570000000000420e-01 9.988580000000000236e-01
7.833000000000000185e+00 9.989120000000000221e-01 9.890959999999999752e-01 9.988540000000000196e-01
8.000000000000000000e+00 9.989019999999999566e-01 9.888299999999999867e-01 9.988500000000000156e-01
8.166999999999999815e+00 9.988920000000000021e-01 9.885589999999999655e-01 9.988449999999999829e-01
8.333000000000000185e+00 9.988810000000000189e-01 9.882819999999999938e-01 9.988409999999999789e-01
8.500000000000000000e+00 9.988709999999999534e-01 9.879999999999999893e-01 9.988369999999999749e-01
8.666999999999999815e+00 9.988599999999999701e-01 9.877120000000000344e-01 9.988320000000000531e-01
8.833000000000000185e+00 9.988489999999999869e-01 9.874190000000000467e-01 9.988270000000000204e-01
9.000000000000000000e+00 9.988369999999999749e-01 9.871210000000000262e-01 9.988230000000000164e-01
9.166999999999999815e+00 9.988259999999999916e-01 9.868170000000000552e-01 9.988179999999999836e-01
9.333000000000000185e+00 9.988139999999999796e-01 9.865089999999999693e-01 9.988129999999999509e-01
