# OCT iter        711;   J_T =   9.957421717913E-04;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   2.5025025025025027E-02   3.4087592608722143E-04   0.0000000000000000E+00
   7.5075075075075076E-02   3.5345097092873877E-04  -1.3921681333925553E-03
   1.2512512512512516E-01   3.7619630545631327E-04  -1.7672803095289274E-02
   1.7517517517517520E-01   4.2904777776809217E-04  -8.5512490842188954E-02
   2.2522522522522526E-01   5.9224393773264826E-04  -2.3401376278363306E-01
   2.7527527527527529E-01   1.0999131874497665E-03  -4.0186535172019966E-01
   3.2532532532532538E-01   2.2739275309964667E-03  -5.2493810846343791E-01
   3.7537537537537541E-01   4.4845534882488160E-03  -6.1481545372868596E-01
   4.2542542542542550E-01   8.2038418509528255E-03  -6.8943220501012803E-01
   4.7547547547547553E-01   1.4015889848164230E-02  -7.5735936370004187E-01
   5.2552552552552556E-01   2.2606960764102194E-02  -8.2235800518855728E-01
   5.7557557557557559E-01   3.4744676345342965E-02  -8.8622234179386394E-01
   6.2562562562562574E-01   5.1239526528959585E-02  -9.4993128872492538E-01
   6.7567567567567566E-01   7.2879544490958126E-02   9.8590451597320850E-01
   7.2572572572572580E-01   1.0033179082897017E-01   9.2087749738226488E-01
   7.7577577577577583E-01   1.3401374539543529E-01   8.5473424585289648E-01
   8.2582582582582598E-01   1.7395299798066008E-01   7.8737176689204769E-01
   8.7587587587587601E-01   2.1966888692065298E-01   7.1884455661541602E-01
   9.2592592592592604E-01   2.7011653416409470E-01   6.4936551690485989E-01
   9.7597597597597607E-01   3.2372650960348792E-01   5.7929300139388573E-01
   1.0260260260260261E+00   3.7855256633322137E-01   5.0910108767207896E-01
   1.0760760760760761E+00   4.3251029386005119E-01   4.3933325097304177E-01
   1.1261261261261262E+00   4.8365823309083833E-01   3.7054378497047297E-01
   1.1761761761761762E+00   5.3045153771514120E-01   3.0323730019170725E-01
   1.2262262262262265E+00   5.7190254130588181E-01   2.3782112311224715E-01
   1.2762762762762765E+00   6.0761960040218133E-01   1.7458302906211801E-01
   1.3263263263263265E+00   6.3774700467215173E-01   1.1369611227663298E-01
   1.3763763763763766E+00   6.6285990217519275E-01   5.5239959816725810E-02
   1.4264264264264266E+00   6.8386136256541363E-01  -7.7863654356916123E-04
   1.4764764764764766E+00   7.0189876365355042E-01  -5.4418447671778600E-02
   1.5265265265265267E+00   7.1829051380845887E-01  -1.0581362426030753E-01
   1.5765765765765769E+00   7.3444524003185174E-01  -1.5519460367186697E-01
   1.6266266266266267E+00   7.5176123355553870E-01  -2.0290778014399816E-01
   1.6766766766766772E+00   7.7150618081123168E-01  -2.4941972836739729E-01
   1.7267267267267272E+00   7.9469002431265590E-01  -2.9529536857904259E-01
   1.7767767767767773E+00   8.2195291990679653E-01  -3.4114862740704893E-01
   1.8268268268268273E+00   8.5349174105821168E-01  -3.8757584332598305E-01
   1.8768768768768773E+00   8.8904064709784381E-01  -4.3509021379257923E-01
   1.9269269269269271E+00   9.2790700419531058E-01  -4.8407491260626040E-01
   1.9769769769769772E+00   9.6905040066418258E-01  -5.3476381355182268E-01
   2.0270270270270276E+00   1.0111855614296983E+00  -5.8724795130653784E-01
   2.0770770770770777E+00   1.0528907503048697E+00  -6.4149883434959531E-01
   2.1271271271271277E+00   1.0927087242236924E+00  -6.9739835877886702E-01
   2.1771771771771777E+00   1.1292335787487178E+00  -7.5476756628279840E-01
   2.2272272272272278E+00   1.1611815290986880E+00  -8.1339010101312115E-01
   2.2772772772772778E+00   1.1874462728620616E+00  -8.7302916265401409E-01
   2.3273273273273278E+00   1.2071405744721251E+00  -9.3343849379004318E-01
   2.3773773773773779E+00   1.2196258103617645E+00  -9.9436867944629603E-01
   2.4274274274274279E+00   1.2245309494469352E+00   9.4442981958882899E-01
   2.4774774774774779E+00   1.2230199590015776E+00   8.8320573537993530E-01
   2.5275275275275280E+00   1.2164967255354808E+00   8.2220637866901047E-01
   2.5775775775775780E+00   1.2053010996733888E+00   7.6167718470656887E-01
   2.6276276276276280E+00   1.1899624065618004E+00   7.0186104524520354E-01
   2.6776776776776781E+00   1.1711941457390378E+00   6.4299464988597055E-01
   2.7277277277277285E+00   1.1498853389390780E+00   5.8530138311057212E-01
   2.7777777777777786E+00   1.1270859077161131E+00   5.2897962766635542E-01
   2.8278278278278286E+00   1.1039823969123266E+00   4.7418564695623949E-01
   2.8778778778778786E+00   1.0818595651245662E+00   4.2101116807175243E-01
   2.9279279279279282E+00   1.0620435016292917E+00   3.6945764745146914E-01
   2.9779779779779783E+00   1.0458239446427280E+00   3.1941194615671165E-01
   3.0280280280280283E+00   1.0343581861375699E+00   2.7063099073337243E-01
   3.0780780780780788E+00   1.0285661496501546E+00   2.2274417177635661E-01
   3.1281281281281288E+00   1.0290337191141876E+00   1.7527960267012183E-01
   3.1781781781781788E+00   1.0359450988012302E+00   1.2771326352130813E-01
   3.2282282282282289E+00   1.0490611795478251E+00   7.9531074477534144E-02
   3.2782782782782789E+00   1.0677495743461511E+00   3.0288182063990244E-02
   3.3283283283283294E+00   1.0910580561148109E+00  -2.0348975366888778E-02
   3.3783783783783790E+00   1.1178132913673331E+00  -7.2584813924655212E-02
   3.4284284284284290E+00   1.1467247542793892E+00  -1.2649911732354469E-01
   3.4784784784784790E+00   1.1764783556153491E+00  -1.8206639462615457E-01
   3.5285285285285291E+00   1.2058116318061312E+00  -2.3918142623158739E-01
   3.5785785785785786E+00   1.2335687302153175E+00  -2.9768433742775935E-01
   3.6286286286286291E+00   1.2587373361442762E+00  -3.5738150093322152E-01
   3.6786786786786796E+00   1.2804712661366042E+00  -4.1806104934964960E-01
