# OCT iter        711;   J_T =   9.957421717913E-04;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   6.2812812812812817E+00   3.0438374971119862E-02  -2.0647211164721463E-01
   6.3313313313313326E+00   3.9961844727526466E-02  -1.9121580401378888E-01
   6.3813813813813818E+00   4.8498009198482135E-02  -1.4254758858170569E-01
   6.4314314314314327E+00   5.5204806175967375E-02  -7.5246344514320426E-02
   6.4814814814814827E+00   5.9784552094111952E-02   5.4407878781747967E-03
   6.5315315315315328E+00   6.2283404888379634E-02   9.8083335863923385E-02
   6.5815815815815828E+00   6.3070439937449235E-02   2.0303433828239301E-01
   6.6316316316316328E+00   6.2862850349821697E-02   3.2133049009614439E-01
   6.6816816816816820E+00   6.2723271802701999E-02   4.5334804350279762E-01
   6.7317317317317329E+00   6.3920223703917256E-02   5.9686996243664081E-01
   6.7817817817817829E+00   6.7557875473721038E-02   7.4589270066501923E-01
   6.8318318318318330E+00   7.4125036666730315E-02   8.9257564387516919E-01
   6.8818818818818839E+00   8.3355456383816334E-02  -9.6873803523700841E-01
   6.9319319319319321E+00   9.4496521902873651E-02  -8.3977655890299585E-01
   6.9819819819819831E+00   1.0666544162074282E-01  -7.1959217423325095E-01
   7.0320320320320331E+00   1.1905897755970134E-01  -6.0632288325067230E-01
   7.0820820820820840E+00   1.3102388689432670E-01  -4.9816153094432913E-01
   7.1321321321321323E+00   1.4206078031423303E-01  -3.9366006193378905E-01
   7.1821821821821832E+00   1.5180644090594539E-01  -2.9173745139340640E-01
   7.2322322322322332E+00   1.6001258218996242E-01  -1.9160009600394282E-01
   7.2822822822822832E+00   1.6652662016708680E-01  -9.2655339957187222E-02
   7.3323323323323342E+00   1.7127497968694158E-01   5.5577394148429377E-03
   7.3823823823823833E+00   1.7424704411240088E-01   1.0341645331718539E-01
   7.4324324324324333E+00   1.7547699749547921E-01   2.0124505462891901E-01
   7.4824824824824834E+00   1.7502167636408569E-01   2.9933491976998572E-01
   7.5325325325325343E+00   1.7293509358277065E-01   3.9796402498045852E-01
   7.5825825825825843E+00   1.6924374582750537E-01   4.9742672129556104E-01
   7.6326326326326335E+00   1.6392988977915723E-01   5.9808493339152868E-01
   7.6826826826826835E+00   1.5693151902916103E-01   7.0045193759463109E-01
   7.7327327327327344E+00   1.4816752015540929E-01   8.0532289772619814E-01
   7.7827827827827845E+00   1.3759562978374609E-01   9.1397700377546476E-01
   7.8328328328328336E+00   1.2531232604340026E-01  -9.7150269861657845E-01
   7.8828828828828836E+00   1.1171229235080254E-01  -8.4772953995038813E-01
   7.9329329329329337E+00   9.7743000861430493E-02  -7.0938177777182077E-01
   7.9829829829829846E+00   8.5283935430870927E-02  -5.4929649596697194E-01
   8.0330330330330355E+00   7.7427183646596606E-02  -3.6287309342410612E-01
   8.0830830830830838E+00   7.7555661253865399E-02  -1.6003786201554115E-01
   8.1331331331331338E+00   8.6579158468160208E-02   3.4094242715577844E-02
   8.1831831831831838E+00   1.0203537152426341E-01   2.0412188216917104E-01
   8.2332332332332356E+00   1.2052557296911137E-01   3.5212116237672614E-01
   8.2832832832832857E+00   1.3940789205370840E-01   4.8559439824407624E-01
   8.3333333333333339E+00   1.5697401769217453E-01   6.1087374329679689E-01
   8.3833833833833840E+00   1.7227901173757421E-01   7.3234965104214611E-01
   8.4334334334334340E+00   1.8503524274753341E-01   8.5301472525610278E-01
   8.4834834834834858E+00   1.9556695945496699E-01   9.7489974815020208E-01
   8.5335335335335341E+00   2.0476040027187162E-01  -9.0078633937755737E-01
   8.5835835835835841E+00   2.1394419330774270E-01  -7.7374398601714101E-01
   8.6336336336336341E+00   2.2464719791941332E-01  -6.4472492142866167E-01
   8.6836836836836859E+00   2.3823449318121501E-01  -5.1546342354923225E-01
   8.7337337337337360E+00   2.5552369699769772E-01  -3.8820871086122932E-01
   8.7837837837837842E+00   2.7655086838521736E-01  -2.6500364665643095E-01
   8.8338338338338342E+00   3.0058664198124652E-01  -1.4712496728387783E-01
   8.8838838838838861E+00   3.2634980199052982E-01  -3.4949526139439552E-02
   8.9339339339339361E+00   3.5228340093005051E-01   7.1845609889801362E-02
   8.9839839839839861E+00   3.7679094523233475E-01   1.7398968387840452E-01
   9.0340340340340344E+00   3.9839785692200891E-01   2.7238805208412048E-01
   9.0840840840840844E+00   4.1584508158263295E-01   3.6799231660274812E-01
   9.1341341341341362E+00   4.2813462226624072E-01   4.6174953837734450E-01
   9.1841841841841863E+00   4.3454721081104269E-01   5.5460049053708016E-01
   9.2342342342342345E+00   4.3465010254809233E-01   6.4750615969397851E-01
   9.2842842842842845E+00   4.2831061966262463E-01   7.4149224056597385E-01
   9.3343343343343363E+00   4.1572858402979035E-01   8.3770804130550891E-01
   9.3843843843843864E+00   3.9749795298159041E-01   9.3749706472883687E-01
   9.4344344344344364E+00   3.7470384985192973E-01  -9.5753324899881154E-01
   9.4844844844844847E+00   3.4905122645325304E-01  -8.4548876526066430E-01
   9.5345345345345365E+00   3.2299145969358756E-01  -7.2434035199411007E-01
   9.5845845845845865E+00   2.9973399902989412E-01  -5.9250635996242063E-01
   9.6346346346346365E+00   2.8288929913542737E-01  -4.5010719915353042E-01
   9.6846846846846866E+00   2.7545304962700090E-01  -3.0040216235543549E-01
   9.7347347347347366E+00   2.7836287926892261E-01  -1.4956061281335395E-01
   9.7847847847847866E+00   2.8976457153047896E-01  -3.7436434176789514E-03
   9.8348348348348367E+00   3.0579240166678295E-01   1.3385739470302507E-01
   9.8848848848848867E+00   3.2209564241230970E-01   2.6332671646164624E-01
   9.9349349349349350E+00   3.3498944389264840E-01   3.8664712673117602E-01
   9.9849849849849868E+00   3.4199114506406408E-01   5.0650311910118928E-01
   1.0035035035035037E+01   3.4201291684059615E-01   6.2576812602384235E-01
   1.0085085085085087E+01   3.3544874719497242E-01   7.4740509189254778E-01
   1.0135135135135137E+01   3.2425372817319975E-01   8.7441367885752952E-01
   1.0185185185185187E+01   3.1198460829594304E-01  -9.9056742944011689E-01
   1.0235235235235237E+01   3.0356866409157118E-01  -8.4643569070380964E-01
   1.0285285285285287E+01   3.0432246115413880E-01  -6.9544757384110500E-01
   1.0335335335335337E+01   3.1801977836087847E-01  -5.4379189303788944E-01
   1.0385385385385387E+01   3.4513110120963880E-01  -3.9875317524730824E-01
   1.0435435435435437E+01   3.8289434104954695E-01  -2.6473913927125858E-01
   1.0485485485485487E+01   4.2691718415815089E-01  -1.4231784451005322E-01
   1.0535535535535537E+01   4.7267822168147217E-01  -2.9818095858076460E-02
   1.0585585585585587E+01   5.1624567604391480E-01   7.5051345710696771E-02
   1.0635635635635637E+01   5.5447154460946269E-01   1.7443669131387166E-01
   1.0685685685685687E+01   5.8499449244447355E-01   2.7014983193929665E-01
   1.0735735735735737E+01   6.0620601222824433E-01   3.6370818159084400E-01
   1.0785785785785787E+01   6.1722378691181778E-01   4.5643307375556708E-01
   1.0835835835835837E+01   6.1787826924126721E-01   5.4954760569709471E-01
   1.0885885885885887E+01   6.0871075921229878E-01   6.4425813923115305E-01
   1.0935935935935937E+01   5.9098097061842214E-01   7.4181269008057649E-01
   1.0985985985985987E+01   5.6667945349874604E-01   8.4352075008132743E-01
   1.1036036036036037E+01   5.3852769672142875E-01   9.5069646593287127E-01
   1.1086086086086089E+01   5.0991635144062719E-01  -9.3554432642708318E-01
   1.1136136136136138E+01   4.8467538869335142E-01  -8.1470833174771218E-01
   1.1186186186186188E+01   4.6652644783653602E-01  -6.8752696912742806E-01
   1.1236236236236238E+01   4.5816518269860584E-01  -5.5636975493614194E-01
   1.1286286286286288E+01   4.6027460971404804E-01  -4.2486471291950090E-01
   1.1336336336336338E+01   4.7110115594561897E-01  -2.9663676022122842E-01
   1.1386386386386388E+01   4.8694692895484304E-01  -1.7405410161998564E-01
   1.1436436436436438E+01   5.0321632944147532E-01  -5.7854729717379608E-02
   1.1486486486486488E+01   5.1539953641460279E-01   5.2460311272674906E-02
   1.1536536536536540E+01   5.1970624831601209E-01   1.5807400396596738E-01
   1.1586586586586588E+01   5.1339529876721690E-01   2.6050408717847473E-01
   1.1636636636636638E+01   4.9493253141508425E-01   3.6151077596833309E-01
   1.1686686686686688E+01   4.6407816127425355E-01   4.6322019342412746E-01
   1.1736736736736740E+01   4.2198395913592823E-01   5.6846468146377704E-01
