#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.205850       4      15
   50.000000       0.217370       5      15
  100.000000       0.251540       5      15
  125.000000       0.276750       5      15
  150.000000       0.307050       5      20
  175.000000       0.342120       5      20
  200.000000       0.381550       5      20
  225.000000       0.424870       5      25
  250.000000       0.471470       5      25
  275.000000       0.520760       5      30
  300.000000       0.571810       6      30
  325.000000       0.624080       6      35
  350.000000       0.676310       6      35
  375.000000       0.728030       6      40
  400.000000       0.777910       6      45
  425.000000       0.824780       6      45
  450.000000       0.868230       6      50
  500.000000       0.939420       6      55
