#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.101870       4      15
   50.000000       0.104970       4      15
  100.000000       0.114240       5      15
  125.000000       0.121170       5      15
  150.000000       0.129600       5      20
  175.000000       0.139510       5      20
  200.000000       0.150880       6      20
  225.000000       0.163700       6      25
  250.000000       0.177890       6      25
  275.000000       0.193480       6      30
  300.000000       0.210370       6      35
  325.000000       0.228520       6      35
  350.000000       0.247920       6      40
  375.000000       0.268380       6      40
  400.000000       0.290070       6      45
  425.000000       0.312750       6      50
  450.000000       0.336120       6      50
  500.000000       0.386070       6      60
