#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.059680       4      15
   50.000000       0.062480       4      15
  100.000000       0.070840       5      15
  125.000000       0.077090       5      15
  150.000000       0.084690       5      15
  175.000000       0.093630       5      15
  200.000000       0.103890       5      20
  225.000000       0.115430       5      20
  250.000000       0.128220       5      20
  275.000000       0.142230       5      20
  300.000000       0.157430       5      25
  325.000000       0.173760       5      25
  350.000000       0.191180       5      25
  375.000000       0.209660       5      30
  400.000000       0.229110       5      30
  425.000000       0.249450       6      30
  450.000000       0.270700       6      35
  500.000000       0.315420       6      35
