#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.205850       4      15
   50.000000       0.199670       4      15
  100.000000       0.181190       5      15
  125.000000       0.167370       5      15
  150.000000       0.150530       5      15
  175.000000       0.130710       5      20
  200.000000       0.107960       5      20
  225.000000       0.082340       5      25
  250.000000       0.053930       5      25
  275.000000       0.022830       5      30
  300.000000       0.010840       6      30
  325.000000       0.046950       6      35
  350.000000       0.085320       6      35
  375.000000       0.125760       6      35
  400.000000       0.168100       6      40
  425.000000       0.212020       6      40
  450.000000       0.257400       6      45
  500.000000       0.351060       6      50
