#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.080270       4      15
   50.000000       0.081180       4      15
  100.000000       0.083900       5      15
  125.000000       0.085950       5      15
  150.000000       0.088450       5      15
  175.000000       0.091420       5      15
  200.000000       0.094850       5      20
  225.000000       0.098750       5      20
  250.000000       0.103120       5      20
  275.000000       0.107950       5      20
  300.000000       0.113280       5      25
  325.000000       0.119060       5      25
  350.000000       0.125380       5      30
  375.000000       0.132110       5      30
  400.000000       0.139490       6      35
  425.000000       0.147310       6      40
  450.000000       0.155610       6      40
  500.000000       0.173790       6      45
