#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.205850       4      15
   50.000000       0.210070       4      15
  100.000000       0.222680       5      15
  125.000000       0.232070       5      15
  150.000000       0.243470       5      15
  175.000000       0.256830       5      15
  200.000000       0.272090       5      15
  225.000000       0.289190       5      20
  250.000000       0.308050       5      20
  275.000000       0.328580       5      20
  300.000000       0.350680       5      25
  325.000000       0.374250       5      25
  350.000000       0.399160       5      25
  375.000000       0.425310       5      30
  400.000000       0.452530       5      30
  425.000000       0.480610       6      30
  450.000000       0.509560       6      35
  500.000000       0.568930       6      35
