#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.216030       4      15
   50.000000       0.212090       5      15
  100.000000       0.200210       5      15
  125.000000       0.191240       5      15
  150.000000       0.180220       5      15
  175.000000       0.167120       5      20
  200.000000       0.151890       5      20
  225.000000       0.134510       6      20
  250.000000       0.114880       6      25
  275.000000       0.093020       6      25
  300.000000       0.068790       6      30
  325.000000       0.042200       6      35
  350.000000       0.013190       6      40
  375.000000       0.018300       6      40
  400.000000       0.052310       6      45
  425.000000       0.088860       6      45
  450.000000       0.127990       6      50
  500.000000       0.213870       6      55
