#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.347280       4      15
   50.000000       0.336370       4      15
  100.000000       0.302850       5      15
  125.000000       0.276950       5      15
  150.000000       0.244570       5      15
  175.000000       0.204580       5      15
  200.000000       0.156790       5      15
  225.000000       0.096610       8      15
  250.000000       0.026420       9      20
  275.000000       0.056750       9      35
  300.000000       0.154690       9      35
  325.000000       0.263270       9      35
  350.000000       0.381370       9      35
  375.000000       0.541120      10      35
  400.000000       0.682450      10      35
  425.000000       0.714970      10      35
  450.000000       0.842610      10      35
  500.000000       0.941680      10      50
