#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.205850       4      15
   50.000000       0.176980       5      15
  100.000000       0.090760       5      20
  125.000000       0.026740       5      25
  150.000000       0.050330       5      25
  175.000000       0.139240       5      30
  200.000000       0.238120       6      30
  225.000000       0.344540       6      35
  250.000000       0.455260       6      40
  275.000000       0.566470       6      45
  300.000000       0.673860       6      50
  325.000000       0.772820       6      55
  350.000000       0.858700       6      60
  375.000000       0.927170       6      65
  400.000000       0.972620       6      65
  425.000000       0.996810       6      70
  450.000000       0.999850       6      70
  500.000000       0.998380       6      70
