#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.080270       4      15
   50.000000       0.084150       5      15
  100.000000       0.095820       5      15
  125.000000       0.104610       5      20
  150.000000       0.115400       5      20
  175.000000       0.128200       5      25
  200.000000       0.143020       5      25
  225.000000       0.159950       5      30
  250.000000       0.179040       6      35
  275.000000       0.200240       6      40
  300.000000       0.223610       6      45
  325.000000       0.249180       6      50
  350.000000       0.276980       6      55
  375.000000       0.307000       6      60
  400.000000       0.339230       6      65
  425.000000       0.373620       6      70
  450.000000       0.410010       6      75
  500.000000       0.490560       7      90
