#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.080270       4      15
   50.000000       0.079620       4      15
  100.000000       0.077670       5      15
  125.000000       0.076200       5      15
  150.000000       0.074410       5      15
  175.000000       0.072290       5      15
  200.000000       0.069830       5      15
  225.000000       0.067050       5      15
  250.000000       0.063920       5      20
  275.000000       0.060460       5      20
  300.000000       0.056650       5      25
  325.000000       0.052500       5      25
  350.000000       0.048010       5      25
  375.000000       0.043150       5      30
  400.000000       0.037950       5      30
  425.000000       0.032390       6      30
  450.000000       0.026450       6      35
  500.000000       0.013470       6      40
