#    E0[MHz]    concurrence       pop_loss     n_q     n_c
    0.000000       0.205850   2.561285E-13       4      15
   50.000000       0.210070   2.156108E-07       4      15
  100.000000       0.222680   8.639312E-07       5      15
  125.000000       0.232070   1.351628E-06       5      15
  150.000000       0.243470   1.949578E-06       5      15
  175.000000       0.256830   2.713959E-06       5      15
  200.000000       0.272090   3.658476E-06       5      15
  225.000000       0.289190   4.415282E-06       5      20
  250.000000       0.308050   5.529007E-06       5      20
  275.000000       0.328580   7.497583E-06       5      20
  300.000000       0.350680   7.919125E-06       5      25
  325.000000       0.374250   9.826925E-06       5      25
  350.000000       0.399160   1.326830E-05       5      25
  375.000000       0.425310   1.255037E-05       5      30
  400.000000       0.452530   1.678335E-05       5      30
  425.000000       0.480610   2.164754E-05       6      30
  450.000000       0.509560   1.897224E-05       6      35
  500.000000       0.568930   8.169413E-05       6      35
