#    E0[MHz]    concurrence       pop_loss     n_q     n_c
    0.000000       0.205850  -6.883383E-15       4      15
   50.000000       0.199670   9.425420E-07       4      15
  100.000000       0.181190   3.779950E-06       5      15
  125.000000       0.167370   5.918642E-06       5      15
  150.000000       0.150530   8.548218E-06       5      15
  175.000000       0.130710   1.165911E-05       5      20
  200.000000       0.107960   1.528229E-05       5      20
  225.000000       0.082340   1.940413E-05       5      25
  250.000000       0.053930   2.409238E-05       5      25
  275.000000       0.022830   2.923021E-05       5      30
  300.000000       0.010840   3.502061E-05       6      30
  325.000000       0.046950   4.122898E-05       6      35
  350.000000       0.085320   4.817151E-05       6      35
  375.000000       0.125760   5.711784E-05       6      35
  400.000000       0.168100   6.386524E-05       6      40
  425.000000       0.212020   7.654019E-05       6      40
  450.000000       0.257400   8.303806E-05       6      45
  500.000000       0.351060   1.096116E-04       6      50
