# population in each left-qubit level over  time for $\ket{\Psi(t=0)} = \ket{00}$ (integrated over all cavity levels)
#        t [ns]            0            1            2            3            4            5            6            7            8            9
       3.102585  9.99970E-01  2.99605E-05  5.70453E-10  7.95029E-15  3.51646E-20  1.58268E-23  5.11035E-27  5.62980E-31  2.26316E-35  3.81405E-40
       3.202669  9.99960E-01  4.00565E-05  1.11047E-09  2.72968E-14  4.68221E-19  2.48309E-24  8.39252E-27  1.59490E-30  8.36086E-35  1.70977E-39
       3.302752  9.99950E-01  5.01927E-05  1.90715E-09  7.49426E-14  3.12680E-18  7.42468E-23  4.80304E-27  2.83287E-30  2.24928E-34  5.93504E-39
       3.402836  9.99942E-01  5.76876E-05  2.73946E-09  1.53642E-13  1.11596E-17  7.61163E-22  9.12165E-27  2.21623E-30  4.52537E-34  1.75312E-38
       3.502919  9.99939E-01  6.08718E-05  3.25179E-09  2.37811E-13  2.70982E-17  3.57837E-21  2.24603E-25  7.63683E-30  1.27508E-33  6.43847E-38
       3.603003  9.99939E-01  6.05108E-05  3.20501E-09  2.75770E-13  4.84109E-17  1.14370E-20  1.62970E-24  1.33345E-28  1.03386E-32  4.34434E-37
       3.703086  9.99940E-01  6.01980E-05  2.73329E-09  2.22752E-13  6.36590E-17  2.78559E-20  7.42184E-24  1.04885E-27  8.56628E-32  3.51149E-36
       3.803169  9.99935E-01  6.52226E-05  2.47145E-09  9.67105E-14  5.65317E-17  5.36875E-20  2.51644E-23  5.35433E-27  5.20380E-31  2.35862E-35
       3.903253  9.99920E-01  8.02547E-05  3.55069E-09  4.71580E-14  2.96345E-17  8.40374E-20  6.70005E-23  2.00023E-26  2.33822E-30  1.21329E-34
       4.003336  9.99893E-01  1.06963E-04  7.36835E-09  4.15366E-13  5.61980E-17  1.21348E-19  1.43528E-22  5.65702E-26  7.88539E-30  4.72202E-34
       4.103420  9.99857E-01  1.42873E-04  1.49309E-08  1.70837E-12  3.42631E-16  2.37617E-19  2.59254E-22  1.20506E-25  1.97089E-29  1.37098E-33
       4.203503  9.99818E-01  1.82177E-04  2.59512E-08  4.37361E-12  1.24346E-15  7.15083E-19  4.66446E-22  1.85705E-25  3.36767E-29  2.77306E-33
       4.303586  9.99782E-01  2.18118E-04  3.84464E-08  8.38500E-12  3.14740E-15  2.24568E-18  1.13875E-21  2.12792E-25  2.81999E-29  2.94460E-33
       4.403670  9.99754E-01  2.45638E-04  4.94097E-08  1.28914E-11  6.18179E-15  6.06438E-18  3.77320E-21  5.05079E-25  7.56752E-30  5.32780E-34
       4.503753  9.99737E-01  2.62900E-04  5.62289E-08  1.62809E-11  9.77758E-15  1.37258E-17  1.26506E-20  3.23955E-24  3.71359E-28  3.16530E-32
       4.603837  9.99729E-01  2.71082E-04  5.79490E-08  1.68860E-11  1.23712E-14  2.61207E-17  3.70901E-20  1.65419E-23  3.31157E-27  3.52361E-31
       4.703920  9.99727E-01  2.73114E-04  5.57360E-08  1.42132E-11  1.18855E-14  4.17522E-17  9.24405E-20  6.16396E-23  1.62181E-26  1.99480E-30
       4.804003  9.99727E-01  2.72755E-04  5.24429E-08  9.93505E-12  7.50898E-15  5.57389E-17  1.96449E-19  1.80124E-22  5.74879E-26  8.01257E-30
       4.904087  9.99725E-01  2.74979E-04  5.15947E-08  7.43462E-12  1.82645E-15  6.24191E-17  3.58906E-19  4.32790E-22  1.63197E-25  2.57458E-29
       5.004170  9.99713E-01  2.87231E-04  5.65409E-08  9.61434E-12  5.67775E-16  6.28671E-17  5.67617E-19  8.73423E-22  3.86738E-25  6.96056E-29
       5.104254  9.99680E-01  3.19718E-04  7.08962E-08  1.69303E-11  8.20979E-15  7.29356E-17  7.82489E-19  1.47365E-21  7.65796E-25  1.58895E-28
       5.204337  9.99617E-01  3.82765E-04  1.00942E-07  2.88677E-11  2.22207E-14  1.20695E-16  9.61784E-19  2.01076E-21  1.22102E-24  2.95270E-28
       5.304420  9.99519E-01  4.80981E-04  1.58146E-07  5.03416E-11  3.36187E-14  2.20940E-16  1.14086E-18  2.07479E-21  1.44020E-24  4.14549E-28
       5.404504  9.99393E-01  6.06674E-04  2.55972E-07  9.96687E-11  4.28069E-14  3.33006E-16  1.51747E-18  1.47078E-21  1.02215E-24  3.82186E-28
       5.504587  9.99263E-01  7.36979E-04  3.95924E-07  2.06916E-10  9.06610E-14  3.57970E-16  2.40598E-18  9.83631E-22  1.52521E-25  1.71395E-28
       5.604671  9.99161E-01  8.38613E-04  5.49664E-07  3.88438E-10  2.76686E-13  2.69597E-16  4.04323E-18  2.94539E-21  6.40199E-25  2.82002E-28
