#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   1.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
       0.100083  -1.9187034047676281E-08   3.2887434158682254E-08  -1.5229730981836653E-01   9.8740421635813391E-01   4.5719984220336010E-04  -8.3911368270674796E-04  -4.4505000196686583E-09   3.8106436807719565E-08
       0.200167  -6.3161241148694139E-08   1.0827208267837898E-06  -9.5092747446167691E-01  -2.9912739459752363E-01   1.9928674062391879E-03   3.0779872109355662E-03   4.5445490338354832E-07  -1.4531989587584808E-07
       0.300250   1.7858870428969888E-06   5.7368991370165220E-06   4.3680677054812778E-01  -8.9362372827146319E-01  -7.6675504762354204E-03   6.1929279246083439E-04  -1.7817879424730070E-06  -1.6008994298911320E-06
       0.400334   1.0162705203302883E-05   1.5514791998572848E-05   8.1837953225904669E-01   5.6380407291981294E-01   4.9100191196145265E-03  -1.1362975539195909E-02  -1.1920946440755952E-06   7.7229846507570548E-06
       0.500417   2.8610920013633973E-05   2.7578431473684892E-05  -6.7944956272992263E-01   7.2653986794358549E-01   1.0707439781895058E-02   1.3160875177188084E-02   1.7587132061581132E-05  -8.6950052433755281E-06
       0.600500   5.3975861849399502E-05   3.5448592489121916E-05  -6.1818576610666387E-01  -7.8211445669812929E-01  -2.0243994390042385E-02   4.4395542150994548E-03  -3.6232543267526737E-05  -1.8937732782556766E-05
       0.700584   7.5421635217864333E-05   3.5136230361551039E-05   8.6842374828914792E-01  -4.9380078093080559E-01   5.2994572128511139E-03  -2.2469625558740214E-02   1.1172452802708822E-05   7.2710931011912123E-05
       0.800667   8.1910287510363804E-05   3.2241283295825362E-05   3.5590411377132725E-01   9.3420342560472180E-01   1.8941159416316050E-02   1.4364414843743583E-02   8.3274743688306944E-05  -8.2301451116223868E-05
       0.900751   7.4273287874052394E-05   4.2633240840530661E-05  -9.7641799398036366E-01   2.0924921923637402E-01  -1.9508407882317627E-02   1.2014009354900533E-02  -1.6512386791106334E-04  -3.0343874101025052E-05
       1.000834   7.1695339038466773E-05   8.3108711990774069E-05  -5.9370795353270139E-02  -9.9452534969949358E-01  -5.2875369134087261E-03  -2.0465213820768116E-02   8.5638880728853843E-05   2.0385614275512110E-04
       1.100917   1.0407971179900857E-04   1.5686592557862545E-04   9.9015088253309713E-01   8.9371592720466186E-02   1.9580656219633431E-02  -8.0700851244448323E-04   1.6367631731324011E-04  -2.2037218549867901E-04
       1.201001   1.9177321389747919E-04   2.4504452824522017E-04  -2.3469053565771858E-01   9.6536765570235794E-01  -2.2306146194315535E-03   1.9391115689539062E-02  -3.2921812011433411E-04  -5.3121809213176727E-05
       1.301084   3.2566392703339630E-04   3.1393532649075500E-04  -9.2101634920043829E-01  -3.7552576662831305E-01  -2.0232074873894279E-02  -6.2541216659127447E-03   1.1238889372249354E-04   3.9761998007244496E-04
       1.401168   4.6440935232811481E-04   3.3721328733416796E-04   5.1021922461007141E-01  -8.5645656242292900E-01   1.2677142282226937E-02  -1.9905480858947645E-02   4.0403056566995390E-04  -3.4475877909199217E-04
       1.501251   5.5646693900963365E-04   3.1983315041056660E-04   7.7094506235648519E-01   6.3528371809660245E-01   1.5691015386816550E-02   2.0124708070679807E-02  -6.3702484411062247E-04  -2.7171268572862207E-04
       1.601334   5.7666295057728900E-04   3.0483767420274623E-04  -7.4584370973934699E-01   6.6547887429148134E-01  -2.5089806916314749E-02   7.0045964154694888E-03   8.3409933391307605E-05   8.8079019066417716E-04
       1.701418   5.5256123591724269E-04   3.5280858797081464E-04  -5.4354830034740464E-01  -8.3743645768709107E-01   3.5625686200452568E-03  -2.4548861767589563E-02   8.8591299068479926E-04  -6.2574002503955350E-04
       1.801501   5.5764337997960120E-04   5.0266282359274865E-04   9.0773021892686057E-01  -4.1014211014539997E-01   1.8411011298869621E-02   1.1771697071417892E-02  -1.1562134034432867E-03  -5.3161958107228804E-04
       1.901585   6.6869216444139911E-04   7.3895823637047079E-04   2.6978886675158564E-01   9.5678109080935292E-01  -1.4660467487595171E-02   9.7770752379291170E-03   1.1683773324987234E-04   1.4407756328809480E-03
       2.001668   9.1154239009284311E-04   9.9127016375716651E-04  -9.8565581091429211E-01   1.2520967698128599E-01  -2.7616511965083690E-03  -1.2529874694070929E-02   1.3676990284185637E-03  -8.7478600056487465E-04
       2.101751   1.2330079922910028E-03   1.1723406335013360E-03   2.2356080139171119E-02  -9.9459466838031474E-01   8.4170025447583164E-03   3.7996918363442014E-04  -1.5862094572639369E-03  -9.3892907734959095E-04
       2.201835   1.5245620386712283E-03   1.2346121859617006E-03   9.8225993304736781E-01   1.7148292549661009E-01  -5.2324184179144756E-04   5.5317364534079507E-03  -1.5034708173492303E-04   2.1283859327000895E-03
       2.301918   1.6899251926078842E-03   1.2082996144912954E-03  -3.1899460387538325E-01   9.4670292931119537E-01  -4.7883471264794997E-03  -3.8595502763101672E-04   2.2829879123318340E-03  -9.8898007647622247E-04
       2.402002   1.7155588877962313E-03   1.1919323769967820E-03  -8.8724822467380227E-01  -4.5985839671938394E-01   1.8401990208468959E-03  -4.4442268709443903E-03  -2.2560648650045197E-03  -1.7556714794240329E-03
       2.502085   1.6946789560223648E-03   1.2955915101783896E-03   5.8868193961616055E-01  -8.0573009272609697E-01   2.0762731368578098E-03   4.1221242026133614E-03  -4.6668329711381084E-04   3.1484277407699767E-03
       2.602168   1.7809850154892992E-03   1.5693093354082891E-03   7.0604950757528340E-01   7.0163257080098207E-01  -4.4590004991746975E-03  -2.8313374633069598E-03   3.1960642310254602E-03  -1.2164416875249529E-03
       2.702252   2.0935563734761002E-03   1.9627279225200075E-03  -7.9725380155273040E-01   5.9239920297661852E-01   7.9281831870156323E-03  -5.9486594355456866E-04  -2.6941542806171465E-03  -2.3641133924039680E-03
       2.802335   2.6306960405088320E-03   2.3467558185462549E-03  -4.6759347287379938E-01  -8.7556402203905104E-01  -6.9175817552373595E-03   9.5538991805970124E-03  -1.0141778121525230E-03   3.6245972756327261E-03
       2.902419   3.2528815350054384E-03   2.5902795892317350E-03   9.3623980354308578E-01  -3.3284101612477113E-01  -5.5836338639843799E-03  -1.4635233671091850E-02   4.0545932129193753E-03  -5.7849637264525467E-04
       3.002502   3.7568529792862903E-03   2.6463978313712123E-03   1.8908914323152504E-01   9.7743417933083909E-01   1.8508563318097703E-02   2.7740194691101578E-03  -2.4781023498335855E-03  -3.9711667088815654E-03
       3.102585   4.0033040788062645E-03   2.5900449497343525E-03  -9.9623034448663406E-01   3.8758849666588380E-02  -1.1721121844603269E-02   1.6718841970610378E-02  -2.9203601863928225E-03   4.6470379638149069E-03
       3.202669   4.0182791490843235E-03   2.5763931819581874E-03   1.1361737813625555E-01  -9.9035768253151446E-01  -1.0801248976611309E-02  -1.7564913948009745E-02   6.3475534270034210E-03   4.1928624623525533E-04
       3.302752   3.9968469409784168E-03   2.7419674885814796E-03   9.5976188755183911E-01   2.6241899404783631E-01   1.9198447909327329E-02  -4.2015906513601809E-03  -3.1531985645902095E-03  -6.3686271428574012E-03
       3.402836   4.1965361691155452E-03   3.1108767374704699E-03  -4.0282632113016908E-01   9.0675548684480278E-01  -5.0532354205215686E-04   1.8415117783726936E-02  -4.1245022228839990E-03   6.3612580965776936E-03
       3.502919   4.7794555840403822E-03   3.5682813666044260E-03  -8.3463452890152212E-01  -5.3208424229649154E-01  -1.7889891886731457E-02  -3.4475169764766932E-03   7.7383184524633187E-03   4.1310832390250386E-04
       3.603003   5.6992365490738349E-03   3.9235495388073617E-03   6.4916483794170254E-01  -7.4589623548478046E-01   6.8554359711202398E-03  -1.8579060509219838E-02  -3.2035317480873099E-03  -7.0132645065051199E-03
       3.703086   6.7082780402069660E-03   4.0308528687608113E-03   6.4151756274059912E-01   7.5317729957498036E-01   1.8772384916107849E-02   1.2596006942556217E-02  -5.0821892218795685E-03   5.8021084640575990E-03
       3.803169   7.4920064202047641E-03   3.8949557636387411E-03  -8.4191767248241867E-01   5.2185532727058970E-01  -2.0004165665918477E-02   1.5617695679943346E-02   7.6201219825982602E-03   2.7264790221831134E-03
       3.903253   7.8567986256300546E-03   3.6898758646480858E-03  -3.8835630593562820E-01  -9.1181012895138869E-01  -7.8103528373444191E-03  -2.5916857163954296E-02  -3.0960499616589261E-04  -9.0485214737242772E-03
       4.003336   7.8559797838501332E-03   3.6666240339197401E-03   9.5930178802860300E-01  -2.4460875084739570E-01   2.6931418023157901E-02   2.8462169693037592E-03  -9.4005302877695571E-03   4.6368270816437643E-03
