#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       5.904921   2.7321849047539330E-04   5.8371023529233215E-04  -3.1713971032141502E-03   2.7682237121837715E-02  -1.5399451509241366E-02  -1.4442204629542712E-02  -3.4835635776963236E-01  -8.5957785778099860E-01
       6.005004   2.9564873420074081E-04   6.4745979726084976E-04  -2.7480850332898269E-02  -8.1293730705978857E-03   2.0414686417572832E-02  -9.3790013230177806E-03  -1.5394773022631675E-01   9.0718857535019781E-01
       6.105088   3.1864303471721052E-04   7.1703333257986941E-04   1.3578937796470410E-02  -2.6667691579745700E-02   1.2688785387087037E-03   2.3367929388218460E-02   6.0176586233107965E-01  -6.8695754234496631E-01
       6.205171   3.3749683144547769E-04   7.7800248203399439E-04   2.4949193238318526E-02   1.9133396318840725E-02  -2.2491683243036797E-02  -7.5419517985071413E-03  -8.6657901290195394E-01   2.6916190503940163E-01
       6.305254   3.5092651392709949E-04   8.2125396447668437E-04  -2.4189512691259435E-02   2.2259348396337062E-02   1.5436401601806071E-02  -1.7843061863539834E-02   8.7501387355316307E-01   2.2242912232796949E-01
       6.405338   3.6350485862906136E-04   8.4949525358552370E-04  -1.8848001532463396E-02  -2.8219330223638907E-02   1.0243771980020190E-02   2.1110532302173309E-02  -6.2688617826777704E-01  -6.4486148175936009E-01
       6.505421   3.8636708845609876E-04   8.7364274195198769E-04   3.1033376419853029E-02  -1.5121194022556059E-02  -2.3790485080795426E-02   8.6150599676463029E-04   1.9544672215595038E-01   8.7499338333990639E-01
       6.605505   4.3147415729818971E-04   9.0084743341771966E-04   1.1355850348098585E-02   3.2807734922397289E-02   9.0919560220321660E-03  -2.3085088376650846E-02   2.9203435880252293E-01  -8.4498755446823515E-01
       6.705588   5.0051751835321812E-04   9.2711974264225575E-04  -3.3867974100205742E-02   7.5289004913658177E-03   1.8817566012247759E-02   1.8331393947025331E-02  -6.9059855365556833E-01   5.6361529406905175E-01
       6.805671   5.7877186027568842E-04   9.4278707205864773E-04  -3.3899996894005413E-03  -3.4424952008211308E-02  -2.5362959802335876E-02   1.1166260681228368E-02   8.8082338933989390E-01  -1.1508395569302804E-01
       6.905755   6.4253009322156511E-04   9.4416817086426642E-04   3.4462232879282476E-02   1.3024571976227688E-03  -1.0193098101850505E-03  -2.8662001977066656E-02  -8.0546540398350752E-01  -3.6517163505434547E-01
       7.005838   6.7525877413782934E-04   9.3923995795175657E-04  -6.5685628879220380E-03   3.3826896617638449E-02   2.7236875293443208E-02   9.9295687346083322E-03   4.8829914420252890E-01   7.3112546947768386E-01
       7.105922   6.7840994740226866E-04   9.4384056958971441E-04  -3.2424379082070166E-02  -1.2166666401253268E-02  -1.9621629972269582E-02   2.1132085808403624E-02  -2.8248611936941503E-02  -8.7199046780507672E-01
       7.206005   6.6954568645278959E-04   9.7427108660470482E-04   1.7742353972923296E-02  -3.0346478758954354E-02  -1.1415614692018714E-02  -2.6312603878940723E-02  -4.3184163975963485E-01   7.4850244582346992E-01
       7.306088   6.7289164584692553E-04   1.0408067950999831E-03   2.7819444641393253E-02   2.3032001974854163E-02   2.8969420049710200E-02   2.8007020164899990E-04   7.5275068111178134E-01  -4.0499007038555679E-01
       7.406172   7.0934684091818927E-04   1.1413623835011017E-03  -2.7945796316039887E-02   2.5020814184872241E-02  -1.2206153715251633E-02   2.7233480514400672E-02  -8.4393481898772638E-01  -4.8991508112011223E-02
       7.506255   7.8707596487798245E-04   1.2568105212840777E-03  -2.1929998920445396E-02  -3.2477541919971792E-02  -2.1253495838305419E-02  -2.2658912041638911E-02   6.8725742093505693E-01   4.7779548227080915E-01
       7.606339   8.9414374852862777E-04   1.3554033987762668E-03   3.6544973169681014E-02  -1.8335893461574642E-02   3.0014242791044282E-02  -1.1684640906999066E-02  -3.3465602820070178E-01  -7.6024524368690316E-01
       7.706422   1.0008357234497368E-03   1.4098039365160664E-03   1.3991631373906032E-02   3.9906469179922799E-02  -2.0722752856445516E-04   3.2912279558676309E-02  -1.1096351039796232E-01   8.1891568743432885E-01
       7.806505   1.0763225477247230E-03   1.4157367255328451E-03  -4.2228145059481408E-02   8.8035263702999616E-03  -3.0605423906650699E-02  -1.2595063526931998E-02   5.2196083127629145E-01  -6.3718043069749664E-01
       7.906589   1.1089897088208788E-03   1.3951112850724766E-03  -2.9161874526486518E-03  -4.3259892266392500E-02   2.3405343802774863E-02  -2.3239863208917258E-02  -7.7690510249138256E-01   2.6586746664214556E-01
       8.006672   1.1121488267435682E-03   1.3809398498867687E-03   4.2984472660163135E-02   3.3747990389915153E-03   1.1872944672749748E-02   3.0760139241363969E-02   7.9608017176801726E-01   1.8447136276947390E-01
       8.106756   1.1109916021196646E-03   1.3987025082473131E-03  -9.8096521215793875E-03   4.1606703346815689E-02  -3.3325317614131440E-02  -1.7484559479339426E-03  -5.7280667319761158E-01  -5.7362745404833348E-01
       8.206839   1.1248546184080489E-03   1.4570244984178646E-03  -3.9381616396077769E-02  -1.6278655657094680E-02   1.5467724395654848E-02  -3.0497670881026187E-02   1.8081381334513147E-01   7.8090300601424867E-01
       8.306922   1.1587804226818794E-03   1.5474723573530994E-03   2.2758384808507021E-02  -3.6431541595539407E-02   2.2540458701936120E-02   2.6991573950100902E-02   2.5383214543871679E-01  -7.4924640606417536E-01
       8.407006   1.2056199594019988E-03   1.6487441987088601E-03   3.2704151960162089E-02   2.9139419941785392E-02  -3.4280342955925740E-02   1.0667990971597744E-02  -6.0066790564753536E-01   4.9908537315134516E-01
       8.507089   1.2526753690856925E-03   1.7349917431027900E-03  -3.5106080750023451E-02   2.8086866743645408E-02   3.1243772500878422E-03  -3.6038605186824453E-02   7.6467780380465444E-01  -1.1137492814716976E-01
       8.607173   1.2893829435935672E-03   1.7882450424229113E-03  -2.2576836837879977E-02  -4.0172875989506376E-02   3.2020549671032100E-02   1.6535086059972816E-02  -7.0540416763272373E-01  -3.0150163489616322E-01
       8.707256   1.3150787695376471E-03   1.8076362706978659E-03   4.3866971930310125E-02  -1.6383394109422529E-02  -2.7473661976557241E-02   2.2961479274008750E-02   4.4144628278097631E-01   6.2314602546591724E-01
       8.807339   1.3418335546512988E-03   1.8063614614387770E-03   9.8826942715290276E-03   4.5947440750612939E-02  -1.0266241562778201E-02  -3.4354113283007477E-02  -4.7708302255691212E-02  -7.5948302029086223E-01
       8.907423   1.3862058380535911E-03   1.7989622034495960E-03  -4.6506272451792410E-02   3.4353170786039396E-03   3.6143992370933110E-02   4.2783370742556469E-03  -3.5892136846570027E-01   6.6708620743034086E-01
       9.007506   1.4543557111749909E-03   1.7917966881083000E-03   2.8005778213734261E-03  -4.5858669025882676E-02  -1.8620039002958669E-02   3.2363479407280453E-02   6.5298571997044519E-01  -3.7354723562628822E-01
       9.107590   1.5342048882233698E-03   1.7839620787399597E-03   4.4306955021408800E-02   8.8940910099938597E-03  -2.3241230915165823E-02  -3.0506938564416171E-02  -7.4480216559332746E-01  -2.7789082352045025E-02
       9.207673   1.6024319678598648E-03   1.7740119942716616E-03  -1.4980915314225610E-02   4.1979319644217417E-02   3.7782840409353605E-02  -9.9649705916972451E-03   6.1193015204979861E-01   4.1181921547543299E-01
       9.307756   1.6407268077240677E-03   1.7644835247760410E-03  -3.8854683973693564E-02  -2.1062395941978070E-02  -5.3175649782819679E-03   3.8959933867574202E-02  -3.0128009187608185E-01  -6.6541645822057982E-01
       9.407840   1.6488990292595498E-03   1.7612040495626892E-03   2.6921711139070978E-02  -3.4911439631045531E-02  -3.3722620232755858E-02  -1.9946368894055391E-02  -9.2219247996986942E-02   7.1886796607611847E-01
