#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.347280       4      15
   50.000000       0.372790       5      15
  100.000000       0.450180       5      15
  125.000000       0.509190       5      15
  150.000000       0.582110       6      15
  175.000000       0.668730       6      20
  200.000000       0.768320       6      20
  225.000000       0.962030      10      25
  250.000000       0.985700      11      30
  275.000000       0.790130      11      30
  300.000000       0.342380      12      40
  325.000000       0.059100      13      45
  350.000000       0.433360      13      50
  375.000000       0.725690      13      50
  400.000000       0.853840      13      50
  425.000000       0.944270      13      50
  450.000000       0.999110      13      50
  500.000000       0.985430      13      60
