#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.059680       4      15
   50.000000       0.067280       4      15
  100.000000       0.089920       5      15
  125.000000       0.106740       5      15
  150.000000       0.127130       5      20
  175.000000       0.150950       5      20
  200.000000       0.178060       5      20
  225.000000       0.208300       5      25
  250.000000       0.241430       6      25
  275.000000       0.277270       6      30
  300.000000       0.315490       6      30
  325.000000       0.355870       6      35
  350.000000       0.397890       6      35
  375.000000       0.441510       6      40
  400.000000       0.486120       6      45
  425.000000       0.531150       6      45
  450.000000       0.576600       6      50
  500.000000       0.665750       6      55
