#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.216030       4      15
   50.000000       0.230780       5      15
  100.000000       0.275100       5      15
  125.000000       0.308350       5      20
  150.000000       0.348920       6      20
  175.000000       0.396760       6      25
  200.000000       0.451520       6      30
  225.000000       0.512710       6      35
  250.000000       0.579520       6      40
  275.000000       0.650630       6      45
  300.000000       0.724150       6      50
  325.000000       0.797350       6      55
  350.000000       0.869240       7      65
  375.000000       0.930530       7      70
  400.000000       0.976160       7      75
  425.000000       0.996310       7      75
  450.000000       0.997470       7      80
  500.000000       1.000000       7      80
