#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.101870       4      15
   50.000000       0.100460       4      15
  100.000000       0.096220       5      15
  125.000000       0.093040       5      15
  150.000000       0.089170       5      15
  175.000000       0.084600       5      15
  200.000000       0.079340       5      20
  225.000000       0.073390       5      20
  250.000000       0.066760       5      25
  275.000000       0.059460       5      25
  300.000000       0.051490       5      25
  325.000000       0.042860       5      30
  350.000000       0.033580       5      35
  375.000000       0.023660       5      35
  400.000000       0.013110       6      40
  425.000000       0.001950       6      45
  450.000000       0.009820       6      45
  500.000000       0.035120       6      50
