#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.216030       4      15
   50.000000       0.214570       4      15
  100.000000       0.210200       5      15
  125.000000       0.206910       5      15
  150.000000       0.202870       5      15
  175.000000       0.198090       5      15
  200.000000       0.192550       5      15
  225.000000       0.186250       5      15
  250.000000       0.179170       5      20
  275.000000       0.171300       5      20
  300.000000       0.162650       6      20
  325.000000       0.153180       6      25
  350.000000       0.142890       6      25
  375.000000       0.131750       6      25
  400.000000       0.119780       6      25
  425.000000       0.106900       6      30
  450.000000       0.093160       6      30
  500.000000       0.062910       6      35
