#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.101870       4      15
   50.000000       0.095860       5      15
  100.000000       0.077890       5      15
  125.000000       0.064460       5      20
  150.000000       0.048120       5      25
  175.000000       0.028900       5      25
  200.000000       0.006870       5      30
  225.000000       0.017910       5      35
  250.000000       0.045340       5      40
  275.000000       0.075310       5      40
  300.000000       0.107720       5      45
  325.000000       0.142410       6      50
  350.000000       0.179210       6      55
  375.000000       0.217930       6      60
  400.000000       0.258340       6      65
  425.000000       0.300180       6      70
  450.000000       0.343160       6      75
  500.000000       0.432230       6      90
