#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.059680       4      15
   50.000000       0.055660       4      15
  100.000000       0.043650       4      15
  125.000000       0.034680       4      15
  150.000000       0.023770       6      20
  175.000000       0.010940       6      20
  200.000000       0.003750       6      25
  225.000000       0.020280       6      25
  250.000000       0.038590       6      25
  275.000000       0.058620       6      25
  300.000000       0.080300       6      30
  325.000000       0.103550       6      30
  350.000000       0.128300       6      35
  375.000000       0.154450       6      35
  400.000000       0.181910       6      40
  425.000000       0.210530       6      40
  450.000000       0.240280       6      45
  500.000000       0.302440       6      50
