#    E0[MHz]    concurrence     n_q     n_c
    0.000000       0.347280       4      15
   50.000000       0.513650       5      15
  100.000000       0.915570       9      20
  125.000000       0.998440       9      20
  150.000000       0.990950      10      25
  175.000000       0.994590      11      25
  200.000000       0.994970      11      35
  225.000000       0.949430      13      65
