#    E0[MHz]    concurrence       pop_loss     n_q     n_c
    0.000000       0.205850   8.746337E-13       4      15
   50.000000       0.217370   1.685052E-06       5      15
  100.000000       0.251540   6.762144E-06       5      15
  125.000000       0.276750   1.061015E-05       5      15
  150.000000       0.307050   1.529463E-05       5      20
  175.000000       0.342120   2.098079E-05       5      20
  200.000000       0.381550   3.009353E-05       5      20
  225.000000       0.424870   3.496662E-05       5      25
  250.000000       0.471470   5.340436E-05       5      25
  275.000000       0.520760   5.367099E-05       5      30
  300.000000       0.571810   8.193041E-05       6      30
  325.000000       0.624080   7.780420E-05       6      35
  350.000000       0.676310   1.557521E-04       6      35
  375.000000       0.728030   1.208085E-04       6      40
  400.000000       0.777910   1.185088E-04       6      45
  425.000000       0.824780   1.965501E-04       6      45
  450.000000       0.868230   1.976406E-04       6      50
  500.000000       0.939420   3.782659E-04       6      55
