# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   1.9144144144144142E+00   4.1666490833328323E-04  -1.6233348198855146E-01
   1.9894894894894894E+00   4.2437746847124469E-04  -1.6149824025261061E-01
   2.0645645645645647E+00   4.3074589410506034E-04  -1.6065704997854985E-01
   2.1396396396396393E+00   4.3660795645881681E-04  -1.6044320651910429E-01
   2.2147147147147148E+00   4.4294425447797723E-04  -1.6105208557097597E-01
   2.2897897897897899E+00   4.5059174497833707E-04  -1.6231581215456184E-01
   2.3648648648648645E+00   4.6005665864721021E-04  -1.6385422937981262E-01
   2.4399399399399400E+00   4.7145789328653480E-04  -1.6525266011484002E-01
   2.5150150150150150E+00   4.8459041735329246E-04  -1.6620475931339798E-01
   2.5900900900900901E+00   4.9906074667694852E-04  -1.6657995875758866E-01
   2.6651651651651651E+00   5.1443424455315673E-04  -1.6641504651752792E-01
   2.7402402402402402E+00   5.3034837017062076E-04  -1.6585868499558429E-01
   2.8153153153153152E+00   5.4657197184529677E-04  -1.6510325163522335E-01
   2.8903903903903903E+00   5.6301313418653830E-04  -1.6432809307745319E-01
   2.9654654654654653E+00   5.7969083725223499E-04  -1.6366476269030714E-01
   3.0405405405405408E+00   5.9668967825191163E-04  -1.6318477573190832E-01
   3.1156156156156154E+00   6.1411511075771998E-04  -1.6290477727653102E-01
   3.1906906906906909E+00   6.3206159358210334E-04  -1.6280163415633719E-01
   3.2657657657657664E+00   6.5059957089098604E-04  -1.6282981744835257E-01
   3.3408408408408410E+00   6.6978085684910353E-04  -1.6293489076048145E-01
   3.4159159159159160E+00   6.8965695495283683E-04  -1.6305932325361941E-01
   3.4909909909909915E+00   7.1030168820780193E-04  -1.6313948491642116E-01
   3.5660660660660661E+00   7.3182819106046076E-04  -1.6309498786731300E-01
   3.6411411411411412E+00   7.5439044358819598E-04  -1.6281329374415912E-01
   3.7162162162162167E+00   7.7760218299016150E-04  -1.6244453419344201E-01
   3.7912912912912913E+00   8.0106828691656326E-04  -1.6218792444977068E-01
   3.8663663663663672E+00   8.2494141411523607E-04  -1.6201280452929509E-01
   3.9414414414414418E+00   8.4931634792197500E-04  -1.6189330995519285E-01
   4.0165165165165169E+00   8.7425160252756250E-04  -1.6181037353360658E-01
   4.0915915915915919E+00   8.9978448462328111E-04  -1.6175135371843535E-01
   4.1666666666666670E+00   9.2594110589812176E-04  -1.6170876286015715E-01
   4.2417417417417420E+00   9.5274277527336332E-04  -1.6167881250491739E-01
   4.3168168168168171E+00   9.8020987400647126E-04  -1.6166008144866631E-01
   4.3918918918918921E+00   1.0083639756147873E-03  -1.6165241648901552E-01
   4.4669669669669672E+00   1.0372287225306823E-03  -1.6165609543383702E-01
   4.5420420420420422E+00   1.0668298282355058E-03  -1.6167125117683451E-01
   4.6171171171171173E+00   1.0971945071790064E-03  -1.6169753957498084E-01
   4.6921921921921923E+00   1.1283506030133257E-03  -1.6173401933717435E-01
   4.7672672672672682E+00   1.1603256548433931E-03  -1.6177919824999076E-01
   4.8423423423423424E+00   1.1931460940886340E-03  -1.6183119045182118E-01
   4.9174174174174174E+00   1.2268366999421067E-03  -1.6188792745026095E-01
   4.9924924924924934E+00   1.2614203688399847E-03  -1.6194737202771770E-01
   5.0675675675675675E+00   1.2969181863749996E-03  -1.6200769732267936E-01
   5.1426426426426426E+00   1.3333497404307306E-03  -1.6206740974887526E-01
   5.2177177177177185E+00   1.3707335882335882E-03  -1.6212541021510507E-01
   5.2927927927927927E+00   1.4090877872449475E-03  -1.6218100033745855E-01
   5.3678678678678677E+00   1.4484304146976782E-03  -1.6223384746305292E-01
   5.4429429429429437E+00   1.4887800245997221E-03  -1.6228392437937264E-01
   5.5180180180180187E+00   1.5301560156413343E-03  -1.6233143778859502E-01
   5.5930930930930929E+00   1.5725789024249714E-03  -1.6237675578662678E-01
   5.6681681681681688E+00   1.6160704931082437E-03  -1.6242034045981157E-01
   5.7432432432432439E+00   1.6606539797559582E-03  -1.6246268853673743E-01
