# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]        phase(E) [rad/pi]
   3.7537537537537538E-02   0.0000000000000000E+00
   1.1261261261261260E-01  -4.9009402295097393E-05
   1.8768768768768770E-01  -5.0199839595369954E-04
   2.6276276276276278E-01  -1.9844842173114903E-03
   3.3783783783783783E-01  -5.1879705427135617E-03
   4.1291291291291293E-01  -1.0639379002699087E-02
   4.8798798798798793E-01  -1.8531437880594952E-02
   5.6306306306306297E-01  -2.8661706921612767E-02
   6.3813813813813813E-01  -4.0467599953786300E-02
   7.1321321321321318E-01  -5.3113466425061706E-02
   7.8828828828828834E-01  -6.5593088413058331E-02
   8.6336336336336339E-01  -7.6835930234499888E-02
   9.3843843843843844E-01  -8.5827510806231952E-02
   1.0135135135135136E+00  -9.1762260820584238E-02
   1.0885885885885886E+00  -9.4232269224182569E-02
   1.1636636636636639E+00  -9.3409823671003533E-02
   1.2387387387387387E+00  -9.0121351134042363E-02
   1.3138138138138138E+00  -8.5701084977383005E-02
   1.3888888888888891E+00  -8.1623620929849580E-02
   1.4639639639639641E+00  -7.9084584433822713E-02
   1.5390390390390392E+00  -7.8744109501536874E-02
   1.6141141141141142E+00  -8.0712022255628096E-02
   1.6891891891891890E+00  -8.4695784584580699E-02
   1.7642642642642643E+00  -9.0188894269481595E-02
   1.8393393393393391E+00  -9.6623511897033207E-02
   1.9144144144144142E+00  -1.0346665801174917E-01
   1.9894894894894894E+00  -1.1026862939216515E-01
   2.0645645645645647E+00  -1.1667949521494841E-01
   2.1396396396396393E+00  -1.2244731413223880E-01
   2.2147147147147148E+00  -1.2740767514911855E-01
   2.2897897897897899E+00  -1.3147078835205153E-01
   2.3648648648648645E+00  -1.3460976006744454E-01
   2.4399399399399400E+00  -1.3685151098096535E-01
   2.5150150150150150E+00  -1.3826991931977251E-01
   2.5900900900900901E+00  -1.3897942611772740E-01
   2.6651651651651651E+00  -1.3912688853321795E-01
   2.7402402402402402E+00  -1.3888009648073882E-01
   2.8153153153153152E+00  -1.3841285820140872E-01
   2.8903903903903903E+00  -1.3788827835345355E-01
   2.9654654654654653E+00  -1.3744301681545815E-01
   3.0405405405405408E+00  -1.3717541279855819E-01
   3.1156156156156154E+00  -1.3713941757423437E-01
   3.1906906906906909E+00  -1.3734481062301448E-01
   3.2657657657657664E+00  -1.3776282323797107E-01
   3.3408408408408410E+00  -1.3833548965567213E-01
   3.4159159159159160E+00  -1.3898686907438015E-01
   3.4909909909909915E+00  -1.3963455591302512E-01
   3.5660660660660661E+00  -1.4020036300945826E-01
   3.6411411411411412E+00  -1.4061951627433839E-01
   3.7162162162162167E+00  -1.4093366599770715E-01
   3.7912912912912913E+00  -1.4120210399313843E-01
   3.8663663663663672E+00  -1.4140825707520890E-01
   3.9414414414414418E+00  -1.4154484708505649E-01
   4.0165165165165169E+00  -1.4161370071957299E-01
   4.0915915915915919E+00  -1.4162418895235521E-01
   4.1666666666666670E+00  -1.4159087833082140E-01
   4.2417417417417420E+00  -1.4153090988499945E-01
   4.3168168168168171E+00  -1.4146151813534583E-01
   4.3918918918918921E+00  -1.4139798121192473E-01
   4.4669669669669672E+00  -1.4135216928522013E-01
   4.5420420420420422E+00  -1.4133174618034644E-01
   4.6171171171171173E+00  -1.4133998852954696E-01
   4.6921921921921923E+00  -1.4137612358142898E-01
   4.7672672672672682E+00  -1.4143605123221278E-01
   4.8423423423423424E+00  -1.4151330435958814E-01
   4.9174174174174174E+00  -1.4160010825055352E-01
   4.9924924924924934E+00  -1.4168841846403021E-01
   5.0675675675675675E+00  -1.4177084131155543E-01
   5.1426426426426426E+00  -1.4184136817602352E-01
   5.2177177177177185E+00  -1.4189588151855451E-01
   5.2927927927927927E+00  -1.4193241521965994E-01
