# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   3.7537537537537538E-02   3.4087592608722170E-04   0.0000000000000000E+00
   1.1261261261261260E-01   3.5246587709912694E-04  -4.9009402295097393E-05
   1.8768768768768770E-01   3.6563052552431930E-04  -5.0199839595369954E-04
   2.6276276276276278E-01   3.8085136284908122E-04  -1.9844842173114903E-03
   3.3783783783783783E-01   3.9818165785509261E-04  -5.1879705427135617E-03
   4.1291291291291293E-01   4.1717467928913864E-04  -1.0639379002699087E-02
   4.8798798798798793E-01   4.3694628303863025E-04  -1.8531437880594952E-02
   5.6306306306306297E-01   4.5634762317610486E-04  -2.8661706921612767E-02
   6.3813813813813813E-01   4.7419500130171254E-04  -4.0467599953786300E-02
   7.1321321321321318E-01   4.8950665135258039E-04  -5.3113466425061706E-02
   7.8828828828828834E-01   5.0171414193285078E-04  -6.5593088413058331E-02
   8.6336336336336339E-01   5.1083021485438102E-04  -7.6835930234499888E-02
   9.3843843843843844E-01   5.1755674071564362E-04  -8.5827510806231952E-02
   1.0135135135135136E+00   5.2330660899560348E-04  -9.1762260820584238E-02
   1.0885885885885886E+00   5.3009946612855450E-04  -9.4232269224182569E-02
   1.1636636636636639E+00   5.4029169223359784E-04  -9.3409823671003533E-02
   1.2387387387387387E+00   5.5614392765345583E-04  -9.0121351134042363E-02
   1.3138138138138138E+00   5.7932400169644484E-04  -8.5701084977383005E-02
   1.3888888888888891E+00   6.1053139621275389E-04  -8.1623620929849580E-02
   1.4639639639639641E+00   6.4940724063295905E-04  -7.9084584433822713E-02
   1.5390390390390392E+00   6.9474440894875178E-04  -7.8744109501536874E-02
   1.6141141141141142E+00   7.4486340999343418E-04  -8.0712022255628096E-02
   1.6891891891891890E+00   7.9798904533282921E-04  -8.4695784584580699E-02
   1.7642642642642643E+00   8.5252895984409046E-04  -9.0188894269481595E-02
   1.8393393393393391E+00   9.0723179038615040E-04  -9.6623511897033207E-02
   1.9144144144144142E+00   9.6124471635042504E-04  -1.0346665801174917E-01
   1.9894894894894894E+00   1.0141019113903257E-03  -1.1026862939216515E-01
   2.0645645645645647E+00   1.0656733103688954E-03  -1.1667949521494841E-01
   2.1396396396396393E+00   1.1160971960593085E-03  -1.2244731413223880E-01
   2.2147147147147148E+00   1.1657133156110478E-03  -1.2740767514911855E-01
   2.2897897897897899E+00   1.2150058586476579E-03  -1.3147078835205153E-01
   2.3648648648648645E+00   1.2645581390936344E-03  -1.3460976006744454E-01
   2.4399399399399400E+00   1.3150145720614481E-03  -1.3685151098096535E-01
   2.5150150150150150E+00   1.3670422220123340E-03  -1.3826991931977251E-01
   2.5900900900900901E+00   1.4212849173360757E-03  -1.3897942611772740E-01
   2.6651651651651651E+00   1.4783074377391723E-03  -1.3912688853321795E-01
   2.7402402402402402E+00   1.5385338408713924E-03  -1.3888009648073882E-01
   2.8153153153153152E+00   1.6021899034940859E-03  -1.3841285820140872E-01
   2.8903903903903903E+00   1.6692623502875099E-03  -1.3788827835345355E-01
   2.9654654654654653E+00   1.7394857835062640E-03  -1.3744301681545815E-01
   3.0405405405405408E+00   1.8123626708702600E-03  -1.3717541279855819E-01
   3.1156156156156154E+00   1.8872145725091763E-03  -1.3713941757423437E-01
   3.1906906906906909E+00   1.9632565232702119E-03  -1.3734481062301448E-01
   3.2657657657657664E+00   2.0396828591246734E-03  -1.3776282323797107E-01
   3.3408408408408410E+00   2.1157521933483519E-03  -1.3833548965567213E-01
   3.4159159159159160E+00   2.1908610456041980E-03  -1.3898686907438015E-01
   3.4909909909909915E+00   2.2645986836278406E-03  -1.3963455591302512E-01
   3.5660660660660661E+00   2.3367790124153281E-03  -1.4020036300945826E-01
   3.6411411411411412E+00   2.4074481415996989E-03  -1.4061951627433839E-01
   3.7162162162162167E+00   2.4780084349457633E-03  -1.4093366599770715E-01
   3.7912912912912913E+00   2.5498896723785357E-03  -1.4120210399313843E-01
   3.8663663663663672E+00   2.6232653505410286E-03  -1.4140825707520890E-01
   3.9414414414414418E+00   2.6983567954070521E-03  -1.4154484708505649E-01
   4.0165165165165169E+00   2.7754033768961663E-03  -1.4161370071957299E-01
   4.0915915915915919E+00   2.8546351535155964E-03  -1.4162418895235521E-01
   4.1666666666666670E+00   2.9362511604175269E-03  -1.4159087833082140E-01
   4.2417417417417420E+00   3.0204050618733943E-03  -1.4153090988499945E-01
   4.3168168168168171E+00   3.1071986167034433E-03  -1.4146151813534583E-01
   4.3918918918918921E+00   3.1966824009402547E-03  -1.4139798121192473E-01
   4.4669669669669672E+00   3.2888625209638103E-03  -1.4135216928522013E-01
   4.5420420420420422E+00   3.3837116320528304E-03  -1.4133174618034644E-01
   4.6171171171171173E+00   3.4811824252232140E-03  -1.4133998852954696E-01
   4.6921921921921923E+00   3.5812218116756346E-03  -1.4137612358142898E-01
   4.7672672672672682E+00   3.6837842596840983E-03  -1.4143605123221278E-01
   4.8423423423423424E+00   3.7888430626977629E-03  -1.4151330435958814E-01
   4.9174174174174174E+00   3.8963986865960011E-03  -1.4160010825055352E-01
   4.9924924924924934E+00   4.0064837174484053E-03  -1.4168841846403021E-01
   5.0675675675675675E+00   4.1191642808901035E-03  -1.4177084131155543E-01
   5.1426426426426426E+00   4.2345381134583516E-03  -1.4184136817602352E-01
   5.2177177177177185E+00   4.3527297255949006E-03  -1.4189588151855451E-01
   5.2927927927927927E+00   4.4738833000457700E-03  -1.4193241521965994E-01
   5.3678678678678677E+00   4.5981541138484863E-03  -1.4195117413428515E-01
   5.4429429429429437E+00   4.7256993527443249E-03  -1.4195433694173462E-01
   5.5180180180180187E+00   4.8566691997963549E-03  -1.4194568204188607E-01
   5.5930930930930929E+00   4.9911990232749601E-03  -1.4193008776752636E-01
   5.6681681681681688E+00   5.1294033646239450E-03  -1.4191296489449040E-01
   5.7432432432432439E+00   5.2713722436660984E-03  -1.4189968085279742E-01
   5.8183183183183180E+00   5.4171700701074101E-03  -1.4189503108864041E-01
   5.8933933933933940E+00   5.5668371989567632E-03  -1.4190280417471338E-01
   5.9684684684684690E+00   5.7203939176736062E-03  -1.4192547457903909E-01
   6.0435435435435441E+00   5.8778464301395715E-03  -1.4196404201197649E-01
   6.1186186186186191E+00   6.0391942291059602E-03  -1.4201802073854111E-01
   6.1936936936936942E+00   6.2044381403061552E-03  -1.4208556787192950E-01
   6.2687687687687692E+00   6.3735882852496463E-03  -1.4216372784022804E-01
   6.3438438438438443E+00   6.5466712444117491E-03  -1.4224876183906976E-01
   6.4189189189189193E+00   6.7237357991712741E-03  -1.4233652650253428E-01
   6.4939939939939944E+00   6.9048567753036381E-03  -1.4242286510740945E-01
   6.5690690690690685E+00   7.0901366865284464E-03  -1.4250397687817340E-01
   6.6441441441441436E+00   7.2797050670179442E-03  -1.4257673468978962E-01
   6.7192192192192195E+00   7.4737155721716431E-03  -1.4263892793261795E-01
   6.7942942942942937E+00   7.6723411051605617E-03  -1.4268941482607833E-01
   6.8693693693693687E+00   7.8757673828834824E-03  -1.4272817647061994E-01
   6.9444444444444446E+00   8.0841854807538818E-03  -1.4275627294006474E-01
   7.0195195195195188E+00   8.2977839835993612E-03  -1.4277570933192466E-01
   7.0945945945945939E+00   8.5167414127619388E-03  -1.4278922652031481E-01
   7.1696696696696698E+00   8.7412195910057926E-03  -1.4280003698615634E-01
   7.2447447447447439E+00   8.9713585430764697E-03  -1.4281153011191244E-01
   7.3198198198198190E+00   9.2072734107812443E-03  -1.4282697333747182E-01
   7.3948948948948949E+00   9.4490536931219095E-03  -1.4284923530773064E-01
   7.4699699699699700E+00   9.6967649168237316E-03  -1.4288055452732359E-01
   7.5450450450450441E+00   9.9504526193029061E-03  -1.4292237226135004E-01
   7.6201201201201201E+00   1.0210148307706286E-02  -1.4297524194551622E-01
   7.6951951951951951E+00   1.0475876868235997E-02  -1.4303881988758657E-01
   7.7702702702702693E+00   1.0747664760972161E-02  -1.4311193438000433E-01
   7.8453453453453452E+00   1.1025548262197454E-02  -1.4319272333164157E-01
   7.9204204204204212E+00   1.1309581015745383E-02  -1.4327882487416793E-01
   7.9954954954954944E+00   1.1599840224952727E-02  -1.4336760159540313E-01
   8.0705705705705704E+00   1.1896430947052861E-02  -1.4345637731970604E-01
   8.1456456456456454E+00   1.2199488126125091E-02  -1.4354266565091772E-01
   8.2207207207207205E+00   1.2509176200033884E-02  -1.4362437155854701E-01
   8.2957957957957955E+00   1.2825686322302646E-02  -1.4369995072622699E-01
   8.3708708708708706E+00   1.3149231435061031E-02  -1.4376851574084060E-01
   8.4459459459459456E+00   1.3480039600981795E-02  -1.4382988304233038E-01
   8.5210210210210207E+00   1.3818346140765736E-02  -1.4388455949561482E-01
   8.5960960960960957E+00   1.4164385221070370E-02  -1.4393367217423075E-01
   8.6711711711711708E+00   1.4518381590212279E-02  -1.4397884920541290E-01
   8.7462462462462458E+00   1.4880543160878166E-02  -1.4402206309913407E-01
   8.8213213213213209E+00   1.5251055087076784E-02  -1.4406545066612983E-01
   8.8963963963963959E+00   1.5630075875634638E-02  -1.4411112523209588E-01
   8.9714714714714709E+00   1.6017735913748700E-02  -1.4416099721783679E-01
   9.0465465465465460E+00   1.6414138592177292E-02  -1.4421661818546075E-01
   9.1216216216216210E+00   1.6819363973763657E-02  -1.4427906116384234E-01
   9.1966966966966961E+00   1.7233474720195055E-02  -1.4434884661747457E-01
   9.2717717717717711E+00   1.7656523770964137E-02  -1.4442591911380179E-01
   9.3468468468468462E+00   1.8088563092484820E-02  -1.4450967500150402E-01
   9.4219219219219212E+00   1.8529652703589958E-02  -1.4459903673321728E-01
   9.4969969969969981E+00   1.8979869150257955E-02  -1.4469256534728980E-01
   9.5720720720720713E+00   1.9439312651697061E-02  -1.4478859948594086E-01
   9.6471471471471464E+00   1.9908112265804124E-02  -1.4488540745811801E-01
   9.7222222222222232E+00   2.0386428609342016E-02  -1.4498133837221491E-01
   9.7972972972972965E+00   2.0874453895404904E-02  -1.4507495921388283E-01
   9.8723723723723715E+00   2.1372409293557441E-02  -1.4516516673031513E-01
   9.9474474474474484E+00   2.1880539852852508E-02  -1.4525126580997966E-01
   1.0022522522522522E+01   2.2399107434641716E-02  -1.4533300937678151E-01
   1.0097597597597597E+01   2.2928382265568453E-02  -1.4541059831535025E-01
   1.0172672672672673E+01   2.3468633831487572E-02  -1.4548464331438885E-01
   1.0247747747747747E+01   2.4020121884999496E-02  -1.4555609351912108E-01
   1.0322822822822822E+01   2.4583088331068707E-02  -1.4562613934243385E-01
   1.0397897897897899E+01   2.5157750687834032E-02  -1.4569609856884122E-01
   1.0472972972972972E+01   2.5744297696741397E-02  -1.4576729590946882E-01
   1.0548048048048047E+01   2.6342887484002521E-02  -1.4584094638019854E-01
   1.0623123123123124E+01   2.6953648464325977E-02  -1.4591805226873900E-01
   1.0698198198198197E+01   2.7576682942390972E-02  -1.4599932206863825E-01
   1.0773273273273272E+01   2.8212073126462518E-02  -1.4608511768712296E-01
   1.0848348348348349E+01   2.8859889043734217E-02  -1.4617543364227317E-01
   1.0923423423423422E+01   2.9520197661184005E-02  -1.4626990907598914E-01
   1.0998498498498497E+01   3.0193072389512583E-02  -1.4636787048641225E-01
   1.1073573573573574E+01   3.0878602096475739E-02  -1.4646840040304562E-01
   1.1148648648648647E+01   3.1576898787290794E-02  -1.4657042504340842E-01
   1.1223723723723724E+01   3.2288103222502515E-02  -1.4667281250099076E-01
   1.1298798798798799E+01   3.3012387927580031E-02  -1.4677447234202134E-01
   1.1373873873873872E+01   3.3749957286060325E-02  -1.4687444766721724E-01
   1.1448948948948949E+01   3.4501044676578288E-02  -1.4697199167389402E-01
   1.1524024024024024E+01   3.5265906888469520E-02  -1.4706662241263396E-01
   1.1599099099099098E+01   3.6044816305473973E-02  -1.4715815159828546E-01
   1.1674174174174174E+01   3.6838051559007108E-02  -1.4724668580170458E-01
   1.1749249249249250E+01   3.7645887501526698E-02  -1.4733260089462058E-01
   1.1824324324324323E+01   3.8468585421639216E-02  -1.4741649302156373E-01
   1.1899399399399400E+01   3.9306384406964379E-02  -1.4749911141730937E-01
   1.1974474474474475E+01   4.0159494657379405E-02  -1.4758127988949760E-01
   1.2049549549549550E+01   4.1028093367930625E-02  -1.4766381460245601E-01
   1.2124624624624625E+01   4.1912323554618075E-02  -1.4774744585257502E-01
   1.2199699699699700E+01   4.2812295912860024E-02  -1.4783275082247133E-01
   1.2274774774774775E+01   4.3728093508776961E-02  -1.4792010293471600E-01
   1.2349849849849850E+01   4.4659778839747394E-02  -1.4800964157318180E-01
   1.2424924924924925E+01   4.5607402591268137E-02  -1.4810126383734967E-01
   1.2500000000000000E+01   4.6571013281475074E-02  -1.4819463789891696E-01
   1.2575075075075075E+01   4.7550666930242402E-02  -1.4828923567316210E-01
   1.2650150150150150E+01   4.8546435911934603E-02  -1.4838438106649038E-01
   1.2725225225225225E+01   4.9558416235638336E-02  -1.4847930909351342E-01
   1.2800300300300300E+01   5.0586732626168029E-02  -1.4857323065824349E-01
   1.2875375375375375E+01   5.1631540937606864E-02  -1.4866539768515577E-01
   1.2950450450450450E+01   5.2693027609938950E-02  -1.4875516346418288E-01
   1.3025525525525527E+01   5.3771406077996416E-02  -1.4884203345992139E-01
   1.3100600600600600E+01   5.4866910265257654E-02  -1.4892570240781070E-01
   1.3175675675675677E+01   5.5979785546033209E-02  -1.4900607432151819E-01
   1.3250750750750752E+01   5.7110277830955763E-02  -1.4908326314812312E-01
   1.3325825825825826E+01   5.8258621698316686E-02  -1.4915757329837123E-01
   1.3400900900900902E+01   5.9425028715221054E-02  -1.4922946113860971E-01
   1.3475975975975977E+01   6.0609677213352031E-02  -1.4929948062326609E-01
   1.3551051051051051E+01   6.1812704751472713E-02  -1.4936821829775304E-01
   1.3626126126126128E+01   6.3034204277008191E-02  -1.4943622453824151E-01
   1.3701201201201203E+01   6.4274224594267085E-02  -1.4950394872983860E-01
   1.3776276276276276E+01   6.5532775203966415E-02  -1.4957168583042199E-01
   1.3851351351351353E+01   6.6809834986152269E-02  -1.4963954033935079E-01
   1.3926426426426428E+01   6.8105363669367397E-02  -1.4970741126751411E-01
   1.4001501501501501E+01   6.9419314672923602E-02  -1.4977499871896716E-01
   1.4076576576576578E+01   7.0751647802092629E-02  -1.4984182973829313E-01
   1.4151651651651653E+01   7.2102340434588644E-02  -1.4990729875945627E-01
   1.4226726726726726E+01   7.3471396208775894E-02  -1.4997071676513005E-01
   1.4301801801801803E+01   7.4858850699821927E-02  -1.5003136329493508E-01
   1.4376876876876878E+01   7.6264774012756428E-02  -1.5008853654489765E-01
   1.4451951951951951E+01   7.7689270510114691E-02  -1.5014159849688430E-01
   1.4527027027027028E+01   7.9132475963440752E-02  -1.5019001366890641E-01
   1.4602102102102103E+01   8.0594552293508023E-02  -1.5023338109892834E-01
   1.4677177177177180E+01   8.2075679848887542E-02  -1.5027145923426005E-01
   1.4752252252252253E+01   8.3576047024746677E-02  -1.5030418255188160E-01
   1.4827327327327328E+01   8.5095837099901886E-02  -1.5033166743607571E-01
   1.4902402402402405E+01   8.6635212561720187E-02  -1.5035420381115167E-01
   1.4977477477477478E+01   8.8194297872399879E-02  -1.5037222901909320E-01
   1.5052552552552553E+01   8.9773162452825531E-02  -1.5038628194204109E-01
   1.5127627627627630E+01   9.1371806366136663E-02  -1.5039693841399299E-01
   1.5202702702702704E+01   9.2990151486481293E-02  -1.5040473299157481E-01
   1.5277777777777779E+01   9.4628040617801182E-02  -1.5041007613616092E-01
   1.5352852852852855E+01   9.6285246015945472E-02  -1.5041317858040262E-01
   1.5427927927927930E+01   9.7961487203742620E-02  -1.5041399507775097E-01
   1.5503003003003004E+01   9.9656456187295045E-02  -1.5041219738084802E-01
   1.5578078078078081E+01   1.0136984663469890E-01  -1.5040718145606000E-01
   1.5653153153153156E+01   1.0310138270652087E-01  -1.5039810767956849E-01
   1.5728228228228229E+01   1.0485084331790280E-01  -1.5038396665127340E-01
   1.5803303303303306E+01   1.0661807868856442E-01  -1.5036365894798276E-01
   1.5878378378378381E+01   1.0840301782281664E-01  -1.5033607581620825E-01
   1.5953453453453454E+01   1.1020566754039170E-01  -1.5030016982393346E-01
   1.6028528528528533E+01   1.1202610524097401E-01  -1.5025500917548043E-01
   1.6103603603603606E+01   1.1386446822481536E-01  -1.5019981519787423E-01
   1.6178678678678679E+01   1.1572094189067197E-01  -1.5013398746209211E-01
   1.6253753753753756E+01   1.1759574766764973E-01  -1.5005712334608834E-01
   1.6328828828828829E+01   1.1948912966431673E-01  -1.4996903763988381E-01
   1.6403903903903906E+01   1.2140133751654264E-01  -1.4986978331733586E-01
   1.6478978978978983E+01   1.2333260253613926E-01  -1.4975966837260957E-01
   1.6554054054054056E+01   1.2528310544922808E-01  -1.4963925799199987E-01
   1.6629129129129129E+01   1.2725293669217402E-01  -1.4950934875015440E-01
   1.6704204204204206E+01   1.2924205375435169E-01  -1.4937090367799569E-01
   1.6779279279279280E+01   1.3125024333275701E-01  -1.4922494420329455E-01
   1.6854354354354356E+01   1.3327709787787537E-01  -1.4907240566199936E-01
   1.6929429429429433E+01   1.3532201552186932E-01  -1.4891397444462739E-01
   1.7004504504504506E+01   1.3738422908613201E-01  -1.4874993338329109E-01
   1.7079579579579580E+01   1.3946286439580555E-01  -1.4858004468491881E-01
   1.7154654654654657E+01   1.4155702178283866E-01  -1.4840349507921005E-01
   1.7229729729729730E+01   1.4366586917038535E-01  -1.4821891652744923E-01
   1.7304804804804807E+01   1.4578873214968618E-01  -1.4802448059330628E-01
   1.7379879879879883E+01   1.4792516700422448E-01  -1.4781804955023409E-01
   1.7454954954954957E+01   1.5007500669867324E-01  -1.4759735677859234E-01
   1.7530030030030030E+01   1.5223837631115572E-01  -1.4736018606085108E-01
   1.7605105105105107E+01   1.5441568128730182E-01  -1.4710452481508712E-01
   1.7680180180180180E+01   1.5660757702233266E-01  -1.4682867825209425E-01
   1.7755255255255257E+01   1.5881492990431281E-01  -1.4653134582414051E-01
   1.7830330330330334E+01   1.6103877747841799E-01  -1.4621167308582719E-01
