# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]        phase(E) [rad/pi]
   4.4669669669669672E+00  -1.6165609543383702E-01
   4.5420420420420422E+00  -1.6167125117683451E-01
   4.6171171171171173E+00  -1.6169753957498084E-01
   4.6921921921921923E+00  -1.6173401933717435E-01
   4.7672672672672682E+00  -1.6177919824999076E-01
   4.8423423423423424E+00  -1.6183119045182118E-01
   4.9174174174174174E+00  -1.6188792745026095E-01
   4.9924924924924934E+00  -1.6194737202771770E-01
   5.0675675675675675E+00  -1.6200769732267936E-01
   5.1426426426426426E+00  -1.6206740974887526E-01
   5.2177177177177185E+00  -1.6212541021510507E-01
   5.2927927927927927E+00  -1.6218100033745855E-01
   5.3678678678678677E+00  -1.6223384746305292E-01
   5.4429429429429437E+00  -1.6228392437937264E-01
   5.5180180180180187E+00  -1.6233143778859502E-01
   5.5930930930930929E+00  -1.6237675578662678E-01
   5.6681681681681688E+00  -1.6242034045981157E-01
   5.7432432432432439E+00  -1.6246268853673743E-01
   5.8183183183183180E+00  -1.6250428131239550E-01
   5.8933933933933940E+00  -1.6254554461366266E-01
   5.9684684684684690E+00  -1.6258681977477796E-01
   6.0435435435435441E+00  -1.6262834670951928E-01
   6.1186186186186191E+00  -1.6267025967686910E-01
   6.1936936936936942E+00  -1.6271259510386180E-01
   6.2687687687687692E+00  -1.6275530913069108E-01
   6.3438438438438443E+00  -1.6279830093781922E-01
   6.4189189189189193E+00  -1.6284143701221707E-01
   6.4939939939939944E+00  -1.6288457172923945E-01
   6.5690690690690685E+00  -1.6292756102812650E-01
   6.6441441441441436E+00  -1.6297026820254121E-01
   6.7192192192192195E+00  -1.6301256327117258E-01
   6.7942942942942937E+00  -1.6305431929921993E-01
   6.8693693693693687E+00  -1.6309540981403906E-01
   6.9444444444444446E+00  -1.6313571084460213E-01
   7.0195195195195188E+00  -1.6317510929196466E-01
   7.0945945945945939E+00  -1.6321351686968447E-01
   7.1696696696696698E+00  -1.6325088651546832E-01
   7.2447447447447439E+00  -1.6328722671925791E-01
   7.3198198198198190E+00  -1.6332260912898119E-01
   7.3948948948948949E+00  -1.6335716615739124E-01
   7.4699699699699700E+00  -1.6339107775216521E-01
   7.5450450450450441E+00  -1.6342454930252098E-01
   7.6201201201201201E+00  -1.6345778501370811E-01
   7.6951951951951951E+00  -1.6349096228886248E-01
   7.7702702702702693E+00  -1.6352421236071055E-01
   7.8453453453453452E+00  -1.6355761070549138E-01
   7.9204204204204212E+00  -1.6359117816063509E-01
   7.9954954954954944E+00  -1.6362489093023375E-01
   8.0705705705705704E+00  -1.6365869559868979E-01
   8.1456456456456454E+00  -1.6369252446572116E-01
   8.2207207207207205E+00  -1.6372630715406675E-01
   8.2957957957957955E+00  -1.6375997626748798E-01
   8.3708708708708706E+00  -1.6379346727121236E-01
   8.4459459459459456E+00  -1.6382671494476056E-01
   8.5210210210210207E+00  -1.6385965001427583E-01
   8.5960960960960957E+00  -1.6389219950453457E-01
   8.6711711711711708E+00  -1.6392429298333180E-01
   8.7462462462462458E+00  -1.6395587464438396E-01
   8.8213213213213209E+00  -1.6398691881215710E-01
   8.8963963963963959E+00  -1.6401744473023130E-01
   8.9714714714714709E+00  -1.6404752600245465E-01
   9.0465465465465460E+00  -1.6407729100589699E-01
   9.1216216216216210E+00  -1.6410691275290837E-01
   9.1966966966966961E+00  -1.6413658943333384E-01
   9.2717717717717711E+00  -1.6416651940839055E-01
   9.3468468468468462E+00  -1.6419687599757413E-01
   9.4219219219219212E+00  -1.6422778752306538E-01
   9.4969969969969981E+00  -1.6425932670536131E-01
   9.5720720720720713E+00  -1.6429151103689837E-01
   9.6471471471471464E+00  -1.6432431291994509E-01
   9.7222222222222232E+00  -1.6435767597049683E-01
   9.7972972972972965E+00  -1.6439153264518208E-01
   9.8723723723723715E+00  -1.6442581857435390E-01
   9.9474474474474484E+00  -1.6446048056124535E-01
   1.0022522522522522E+01  -1.6449547760318559E-01
   1.0097597597597597E+01  -1.6453077673061461E-01
   1.0172672672672673E+01  -1.6456634716604321E-01
   1.0247747747747747E+01  -1.6460215674013634E-01
   1.0322822822822822E+01  -1.6463817353553453E-01
   1.0397897897897899E+01  -1.6467437367821244E-01
   1.0472972972972972E+01  -1.6471075372892993E-01
   1.0548048048048047E+01  -1.6474734405345726E-01
   1.0623123123123124E+01  -1.6478421856915629E-01
   1.0698198198198197E+01  -1.6482149674414165E-01
   1.0773273273273272E+01  -1.6485933557808288E-01
   1.0848348348348349E+01  -1.6489791200265227E-01
   1.0923423423423422E+01  -1.6493739890586848E-01
   1.0998498498498497E+01  -1.6497793997168439E-01
   1.1073573573573574E+01  -1.6501962911566764E-01
   1.1148648648648647E+01  -1.6506249928023733E-01
   1.1223723723723724E+01  -1.6510652299908635E-01
   1.1298798798798799E+01  -1.6515162412120798E-01
   1.1373873873873872E+01  -1.6519769727399425E-01
   1.1448948948948949E+01  -1.6524462985461424E-01
   1.1524024024024024E+01  -1.6529232107388980E-01
   1.1599099099099098E+01  -1.6534069388243317E-01
   1.1674174174174174E+01  -1.6538969805538095E-01
   1.1749249249249250E+01  -1.6543930552974165E-01
   1.1824324324324323E+01  -1.6548950140169769E-01
   1.1899399399399400E+01  -1.6554027508917429E-01
   1.1974474474474475E+01  -1.6559161572054348E-01
   1.2049549549549550E+01  -1.6564351398133126E-01
   1.2124624624624625E+01  -1.6569597003447897E-01
   1.2199699699699700E+01  -1.6574900457896885E-01
   1.2274774774774775E+01  -1.6580266847170860E-01
   1.2349849849849850E+01  -1.6585704618116900E-01
   1.2424924924924925E+01  -1.6591224978506575E-01
   1.2500000000000000E+01  -1.6596840288242368E-01
