# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]            Re(ampl) [au]            Im(ampl) [au]                                                                                                                                                                                    
  3.75375375375375381E-02  3.40875926087221698E-04  0.00000000000000000E+00
  1.12612612612612600E-01  3.52465872921346257E-04 -5.42683172831813305E-08
  1.87687687687687704E-01  3.65630070832892917E-04 -5.76626329268776492E-07
  2.62762762762762780E-01  3.80843961359099328E-04 -2.37437998462340090E-06
  3.37837837837837829E-01  3.98128772382538387E-04 -6.48947250575589387E-06
  4.12912912912912933E-01  4.16941666468590539E-04 -1.39412984470700384E-05
  4.87987987987987926E-01  4.36206007554911033E-04 -2.54238713472138650E-05
  5.63063063063062974E-01  4.54498881664949501E-04 -4.10355911836350956E-05
  6.38138138138138133E-01  4.70368017799151564E-04 -6.01234321311434975E-05
  7.13213213213213182E-01  4.82707890730950124E-04 -8.13010082624677903E-05
  7.88288288288288341E-01  4.91099510905618208E-04 -1.02656468883744915E-04
  8.63363363363363390E-01  4.96019868059558583E-04 -1.22113876764072939E-04
  9.38438438438438438E-01  4.98856467775947313E-04 -1.37866618215959732E-04
  1.01351351351351360E+00  5.01712046086278860E-04 -1.48777786750566607E-04
  1.08858858858858865E+00  5.07039836747255612E-04 -1.54648142378416146E-04
  1.16366366366366392E+00  5.17194230561558136E-04 -1.56285765732144236E-04
  1.23873873873873874E+00  5.34002310993968317E-04 -1.55362801593281967E-04
  1.31381381381381379E+00  5.58453213090918162E-04 -1.54098370302907208E-04
  1.38888888888888906E+00  5.90568277354356903E-04 -1.54847329793580930E-04
  1.46396396396396411E+00  6.29466770993182241E-04 -1.59691416181116967E-04
  1.53903903903903916E+00  6.73594183118047651E-04 -1.70119576284096685E-04
  1.61411411411411421E+00  7.21045991269443826E-04 -1.86853359673600698E-04
  1.68918918918918903E+00  7.69907146020835085E-04 -2.09832082812073055E-04
  1.76426426426426430E+00  8.18536886987918577E-04 -2.38333782777377581E-04
  1.83933933933933913E+00  8.65753935067204794E-04 -2.71181941513276526E-04
  1.91441441441441418E+00  9.10908877421705374E-04 -3.06979513560656921E-04
  1.98948948948948945E+00  9.53858746041380610E-04 -3.44319879306840279E-04
  2.06456456456456472E+00  9.94876351303889848E-04 -3.81943255011603670E-04
  2.13963963963963932E+00  1.03453138526391300E-03 -4.18829039054576153E-04
  2.21471471471471482E+00  1.07357363179313558E-03 -4.54232530001318926E-04
  2.28978978978978986E+00  1.11283573229632358E-03 -4.87684190304173842E-04
  2.36486486486486447E+00  1.15315954269586151E-03 -5.18970477231053611E-04
  2.43993993993993996E+00  1.19534064415794707E-03 -5.48109541203232044E-04
  2.51501501501501501E+00  1.24008210652703003E-03 -5.75326694875097269E-04
  2.59009009009009006E+00  1.28795068942282368E-03 -6.01027318732092657E-04
  2.66516516516516511E+00  1.33933403643950546E-03 -6.25761311771204191E-04
  2.74024024024024015E+00  1.39440316034599322E-03 -6.50173981272386030E-04
  2.81531531531531520E+00  1.45308818301782177E-03 -6.74942382157435569E-04
  2.89039039039039025E+00  1.51507561164594055E-03 -7.00701566348370841E-04
