#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
       4.002001   3.0307291151291971E-04   9.9886959898701255E-01   2.7932414642240430E-05   2.5352950503957110E-04
       4.202101   3.6538257360457316E-04   9.9870454419285204E-01   2.6270292172842117E-06   2.9598089599829319E-04
       4.402201   4.3533386194041801E-04   9.9851764637716045E-01   4.4856062555529154E-06   3.3504839985862739E-04
       4.602301   5.1348092597575177E-04   9.9831787968942032E-01   3.3166099541057160E-05   3.6780723921673371E-04
       4.802401   6.0079878113701211E-04   9.9811544636825900E-01   8.6037604777689628E-05   3.9146526477748913E-04
       5.002501   6.9882059292036369E-04   9.9792038647862991E-01   1.5841129954477826E-04   4.0368715836486686E-04
       5.202601   8.0969494065324032E-04   9.9774108965840602E-01   2.4394924343660608E-04   4.0292363155799749E-04
       5.402701   9.3610082515409180E-04   9.9758291185983472E-01   3.3521822454071884E-04   3.8870878738779118E-04
       5.602801   1.0809648617016133E-03   9.9744710414079951E-01   4.2434157058610485E-04   3.6189084349794637E-04
       5.802901   1.2469476489337607E-03   9.9733023112643604E-01   5.0369048692310524E-04   3.2476938917010899E-04
       6.003002   1.4357153179834355E-03   9.9722419193000178E-01   5.6655013224175290E-04   2.8112179926285973E-04
       6.203102   1.6470915587232485E-03   9.9711684013398716E-01   6.0769637468462135E-04   2.3611418498553172E-04
       6.403202   1.8782652985849277E-03   9.9699303741218537E-01   6.2382843727399934E-04   1.9611410717259873E-04
       6.603302   2.1232600169433179E-03   9.9683582538155058E-01   6.1381987305103656E-04   1.6845036467976539E-04
       6.803402   2.3728325064821167E-03   9.9662733614009424E-01   5.7877190039892323E-04   1.6118530354226223E-04
       7.003502   2.6148877753251055E-03   9.9634911082542776E-01   5.2187384340344535E-04   1.8296527895114172E-04
       7.203602   2.8354056027021768E-03   9.9598163165707065E-01   4.4809128795154153E-04   2.4299640192237032E-04
       7.403702   3.0197846158993408E-03   9.9550305840976305E-01   3.6371245378300702E-04   3.5116397806194560E-04
       7.603802   3.1544329646742962E-03   9.9488736178432247E-01   2.7578876611524672E-04   5.1827916210351829E-04
       7.803902   3.2283977915703891E-03   9.9410222114347457E-01   1.9151003121519106E-04   7.5639578963247040E-04
       8.004002   3.2348433355882597E-03   9.9310715650756687E-01   1.1756107529853242E-04   1.0791004119262244E-03
       8.204102   3.1722400047363617E-03   9.9185237382375235E-01   5.9515458923703254E-05   1.5016515924227635E-03
