#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.0000000000000000E+00
       0.200100   3.6586322648153838E-12   1.7552690167750887E-06   2.0843644207158754E-06   9.9994031253635840E-01
       0.400200   1.4636663399621610E-11   3.5108552011575356E-06   4.1689512107196528E-06   9.9977840486093383E-01
       0.600300   3.2970609407867870E-11   5.2696680566995881E-06   6.2565918850956830E-06   9.9953942941328489E-01
       0.800400   5.8890005097382461E-11   7.0441912459964637E-06   8.3594820735959172E-06   9.9925551799007239E-01
       1.000500   9.3268548438280000E-11   8.8701120638329885E-06   1.0511680251622567E-05   9.9895463458852729E-01
       1.200600   1.3860070906197432E-10   1.0827766696488056E-05   1.2788260983963414E-05   9.9865079008282265E-01
       1.400700   2.0085105871203212E-10   1.3070899524990232E-05   1.5331626212022164E-05   9.9833896030464242E-01
       1.600800   2.9280107682343518E-10   1.5859460895158954E-05   1.8383506059299527E-05   9.9799643555243134E-01
       1.800900   4.4014355674001310E-10   1.9589800479767650E-05   2.2316459192959642E-05   9.9759013020471554E-01
       2.001001   6.9264838145341042E-10   2.4812711313254116E-05   2.7652472965877643E-05   9.9708735148973060E-01
       2.201101   1.1439087409793194E-09   3.2228642729550995E-05   3.5053506315603496E-05   9.9646635919482363E-01
       2.401201   1.9633706851769410E-09   4.2650997026591726E-05   4.5275455612981068E-05   9.9572313693643821E-01
       2.601301   3.4419360061297518E-09   5.6932950688115209E-05   5.9093958160920003E-05   9.9487210496118550E-01
       2.801401   6.0464964972167336E-09   7.5859997349477643E-05   7.7229264612622831E-05   9.9394058589932621E-01
       3.001501   1.0470563590299367E-08   1.0001786700742706E-04   1.0030370665254717E-04   9.9295898127794591E-01
       3.201601   1.7661160913679438E-08   1.2965171257187113E-04   1.2884984030275148E-04   9.9195009828921021E-01
       3.401701   2.8799982936457733E-08   1.6453622281118008E-04   1.6335661702892117E-04   9.9092137164995009E-01
       3.601801   4.5221195422622190E-08   2.0387775441674241E-04   2.0431551773209718E-04   9.8986273369151245E-01
       3.801901   6.8258969853048373E-08   2.4626909160588479E-04   2.5222835935698223E-04   9.8875092099526318E-01
       4.002001   9.9033972766244430E-08   2.8971400657188523E-04   3.0756718753797838E-04   9.8755874139497457E-01
       4.202101   1.3820775556480348E-07   3.3173085116462318E-04   3.7071880298122234E-04   9.8626605316092852E-01
       4.402201   1.8575303357622063E-07   3.6953312796852262E-04   4.4197658180054628E-04   9.8486855245139904E-01
       4.602301   2.4079776265200723E-07   4.0027456808119200E-04   5.2163836886355249E-04   9.8338115894414846E-01
       4.802401   3.0159023695607203E-07   4.2133941759277146E-04   6.1022508676355093E-04   9.8183460364251585E-01
       5.002501   3.6559681744714259E-07   4.3065388195394442E-04   7.0876751091052527E-04   9.8026614644491905E-01
       5.202601   4.2970263210367462E-07   4.2699011430739805E-04   8.1905305046350060E-04   9.7870738777494026E-01
       5.402701   4.9048139096523253E-07   4.1023168902582180E-04   9.4370767559271936E-04   9.7717317792626379E-01
       5.602801   5.4456828404611690E-07   3.8157151116328215E-04   1.0860094181581626E-03   9.7565531283567120E-01
       5.802901   5.8929901816352019E-07   3.4361732244927702E-04   1.2493725803871631E-03   9.7412316117837894E-01
       6.003002   6.2389758257500608E-07   3.0038391571981333E-04   1.4365030941866806E-03   9.7253112162943689E-01
       6.203102   6.5148886046958433E-07   2.5716040683889752E-04   1.6483150227565402E-03   9.7083057937994444E-01
       6.403202   6.8197422059197901E-07   2.2026462976072208E-04   1.8828064223044868E-03   9.6898251901981980E-01
       6.603302   7.3534597395106996E-07   1.9673250953200532E-04   2.1341785526062221E-03   9.6696666439313494E-01
       6.803402   8.4451215891654669E-07   1.9402001971351941E-04   2.3924984553148430E-03   9.6478410035952378E-01
       7.003502   1.0564367233820935E-06   2.1980090377004616E-04   2.6441265052375845E-03   9.6245246373682125E-01
       7.203602   1.4305781855642161E-06   2.8192190837010627E-04   2.8729637727744309E-03   9.5999525104921180E-01
       7.403702   2.0342289018346740E-06   3.8853803656383856E-04   3.0623594476606036E-03   9.5742872308807825E-01
       7.603802   2.9351831732709846E-06   5.4840263731313209E-04   3.1973326312935476E-03   9.5475061963426555E-01
       7.803902   4.1928704620390617E-06   7.7123869336926222E-04   3.2666836280069531E-03   9.5193418648471906E-01
       8.004002   5.8495209842067738E-06   1.0680797401805681E-03   3.2646164690854338E-03   9.4892913298574033E-01
       8.204102   7.9232222392588818E-06   1.4514534263211313E-03   3.1916192322711152E-03   9.4566877652709003E-01
       8.404202   1.0405138978157876E-05   1.9352903129153300E-03   3.0545057787813240E-03   9.4208064177578588E-01
       8.604302   1.3263838449039886E-05   2.5344665094464516E-03   2.8657120190114420E-03   9.3809685079413918E-01
       8.804402   1.6460522821029848E-05   3.2639222292688338E-03   2.6421621122864974E-03   9.3366105236282038E-01
       9.004502   1.9979778307275392E-05   4.1373372130344629E-03   2.4042123606558699E-03   9.2873021987063220E-01
       9.204602   2.3880735817302991E-05   5.1653861338389756E-03   2.1752218102258415E-03   9.2327186106945658E-01
       9.404702   2.8372557505307231E-05   6.3536368617661872E-03   1.9820680396789654E-03   9.1725932429719881E-01
       9.604802   3.3914791496934028E-05   7.7002023814852069E-03   1.8563894061035099E-03   9.1066921678966239E-01
