#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   1.0000000000000000E+00   0.0000000000000000E+00
       0.200100   1.7552661689136657E-06   1.4066954203099737E-05   9.9998417777184134E-01   2.7321910510254407E-12
       0.400200   3.5108119031820693E-06   5.5057256601027839E-05   9.9994143109406275E-01   2.9525804051971554E-10
       0.600300   5.2694933765266383E-06   1.1944363946842891E-04   9.9987527603899584E-01   3.8552341180055223E-09
       0.800400   7.0438724302116038E-06   2.0168562065630806E-04   9.9979120536576671E-01   2.3539187764181379E-08
       1.000500   8.8704420798548872E-06   2.9470580845568139E-04   9.9969616413600970E-01   9.5732964933575100E-08
       1.200600   1.0832585249748424E-05   3.9049777778444217E-04   9.9959787396087130E-01   3.0113561752196652E-07
       1.400700   1.3092209967464299E-05   4.8081291963717084E-04   9.9950406894620114E-01   7.9161754844735335E-07
       1.600800   1.5926915855105479E-05   5.5786720342387570E-04   9.9942172256431849E-01   1.8195549803179676E-06
       1.800900   1.9765547009863069E-05   6.1500770476235350E-04   9.9935635238208720E-01   3.7633760285878643E-06
       2.001001   2.5211300316312796E-05   6.4728292737678561E-04   9.9931148409697357E-01   7.1414241814843498E-06
       2.201101   3.3039823961262392E-05   6.5186963417093713E-04   9.9928833549031248E-01   1.2606788778958984E-05
       2.401201   4.4161305543585610E-05   6.2832096268664018E-04   9.9928574734498299E-01   2.0918927349605322E-05
       2.601301   5.9540839711641938E-05   5.7861486997324934E-04   9.9930034973621706E-01   3.2893191134134214E-05
       2.801401   8.0079599383836418E-05   5.0699749218520440E-04   9.9932691875994817E-01   4.9335322202580921E-05
       3.001501   1.0646850109217780E-04   4.1963211389626522E-04   9.9935886046626532E-01   7.0972585938385862E-05
       3.201601   1.3903345766546130E-04   3.2408041900452853E-04   9.9938876063242998E-01   9.8394846289524902E-05
       3.401701   1.7759500241237977E-04   2.2865751585342641E-04   9.9940895722419576E-01   1.3201778393424779E-04
       3.601801   2.2136499391910619E-04   1.4171448652533362E-04   9.9941211398543517E-01   1.7207817032377046E-04
       3.801901   2.6890020980034060E-04   7.0910407238829204E-05   9.9939178427668618E-01   2.1866815750175067E-04
       4.002001   3.1812701599092682E-04   2.2538637941221414E-05   9.9934294812126545E-01   2.7181088846103645E-04
       4.202101   3.6644276317464205E-04   9.6876196539323900E-07   9.9926248542124707E-01   3.3157388319387355E-04
       4.402201   4.1089012440672610E-04   8.2556413352952798E-06   9.9914952062444973E-01   3.9821240140565221E-04
       4.602301   4.4839401505785017E-04   4.3951507983689652E-05   9.9900554916935880E-01   4.7233209031747019E-04
       4.802401   4.7604805964890416E-04   1.0513764460516312E-04   9.9883425395170067E-01   5.5505286847916976E-04
       5.002501   4.9143514870403457E-04   1.8667124257719625E-04   9.9864096162774063E-01   6.4814075257164287E-04
       5.202601   4.9296108749962147E-04   2.8162298087531915E-04   9.9843177308732800E-01   7.5405772138438672E-04
       5.402701   4.8017351139904076E-04   3.8186449324731088E-04   9.9821250217917645E-01   8.7587130573926438E-04
       5.602801   4.5403380441590407E-04   4.7875426786711696E-04   9.9798763757092890E-01   1.0169681897429104E-03
       5.802901   4.1710717339743471E-04   5.6386611664859367E-04   9.9775957868464349E-01   1.1805327521569868E-03
       6.003002   3.7363411864603524E-04   6.2970494202093622E-04   9.9752836325712557E-01   1.3687957049486367E-03
       6.203102   3.2945261727299432E-04   6.7035770378470034E-04   9.9729198205578384E-01   1.5821370795157756E-03
       6.403202   2.9176645489414920E-04   6.8203067938101089E-04   9.9704718687631511E-01   1.8182144352684568E-03
       6.603302   2.6880027844108987E-04   6.6342676785122070E-04   9.9679051812808728E-01   2.0713303429286305E-03
