#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
       0.000000   1.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
       0.200100   9.9999999999470102E-01   2.7341593433797058E-12   2.5650146677331982E-12   7.0105249211591777E-24
       0.400200   9.9999999942676687E-01   2.9508564757303463E-10   2.7814753191634393E-10   8.2038642308567140E-20
       0.600300   9.9999999249415017E-01   3.8464793877806836E-09   3.6593706591105137E-09   1.4064316196659863E-17
       0.800400   9.9999995400318664E-01   2.3432154341220113E-08   2.2564658253945508E-08   5.2806698200364475E-16
       1.000500   9.9999981214422051E-01   9.5029390307392500E-08   9.2826371846300313E-08   8.8051779426213024E-15
       1.200600   9.9999940636486895E-01   2.9795743855279120E-07   2.9567751741441511E-07   8.7885361256437098E-14
       1.400700   9.9999843182128156E-01   7.8053630284891660E-07   7.8764119463331883E-07   6.1289710354166112E-13
       1.600800   9.9999637693156040E-01   1.7877173729746727E-06   1.8353445693571777E-06   3.2689183055496973E-12
       1.800900   9.9999246620202120E-01   3.6848570533307325E-06   3.8489129513680110E-06   1.4121498913541415E-11
       2.001001   9.9998562476089881E-01   6.9705595125619694E-06   7.4045782761684170E-06   5.1363188469990081E-11
       2.201101   9.9997448184552384E-01   1.2272162600094222E-05   1.3245674612292731E-05   1.6169058021540397E-10
       2.401201   9.9995742666363541E-01   2.0320221978324914E-05   2.2252237534275635E-05   4.4963338408954604E-10
       2.601301   9.9993272174320569E-01   3.1902780374546139E-05   3.5373303444185050E-05   1.1220389599594379E-09
       2.801401   9.9989866759516532E-01   4.7805206585107975E-05   5.3522308225518168E-05   2.5442595541647571E-09
       3.001501   9.9985380099146248E-01   6.8745446712868092E-05   7.7443463638421272E-05   5.2959862350436610E-09
       3.201601   9.9979710049468362E-01   9.5316437253406395E-05   1.0756376105602597E-04   1.0205961995652221E-08
       3.401701   9.9972816844990786E-01   1.2794732136129990E-04   1.4384978741280590E-04   1.8340387897645331E-08
       3.601801   9.9964735760472634E-01   1.6689407254239031E-04   1.8569060605569182E-04   3.0923943711379209E-08
       3.801901   9.9955581256787385E-01   2.1226813174408178E-04   2.3182788168414742E-04   4.9186818252030991E-08
       4.002001   9.9945540357629947E-01   2.6410731229229714E-04   2.8035148999839220E-04   7.4153122797108728E-08
       4.202101   9.9934854329454303E-01   3.2248684980544046E-04   3.2877195578075516E-04   1.0640752655746563E-07
       4.402201   9.9923789234882909E-01   3.8766296587991624E-04   3.7417159181858228E-04   1.4588847640674950E-07
       4.602301   9.9912597181539686E-01   4.6023702082718308E-04   4.1342799982523461E-04   1.9175220532384228E-07
       4.802401   9.9901471436718026E-01   5.4132013466530200E-04   4.4349831680355557E-04   2.4233128347826182E-07
       5.002501   9.9890500629930290E-01   6.3266286597126798E-04   4.6174736147314339E-04   2.9518063651496475E-07
       5.202601   9.9879629631889366E-01   7.3669855207154509E-04   4.6629513264592054E-04   3.4718108282869180E-07
       5.402701   9.9868636125988952E-01   8.5644189149106380E-04   4.5635179940416403E-04   3.9468463712027748E-07
       5.602801   9.9857131662558374E-01   9.9518916228857673E-04   4.3250566851397651E-04   4.3375617423219929E-07
       5.802901   9.9844593976359874E-01   1.1559855589137538E-03   3.9693052181807219E-04   4.6067622779633892E-07
       6.003002   9.9830432615755571E-01   1.3408707978788200E-03   3.5348035718184848E-04   4.7295678789317640E-07
       6.203102   9.9814081376415298E-01   1.5499924792027186E-03   3.0764697680065584E-04   4.7108606111942230E-07
       6.403202   9.9795100435038231E-01   1.7807599559946702E-03   2.6637902821219329E-04   4.6097542306988107E-07
       6.603302   9.9773263519236255E-01   2.0272498350112525E-03   2.3779894817265205E-04   4.5666116407887762E-07
       6.803402   9.9748605014129943E-01   2.2800443740485558E-03   2.3088899763909322E-04   4.8240064274027348E-07
       7.003502   9.9721408311185844E-01   2.5266071269503397E-03   2.5523055343997869E-04   5.7314024525554555E-07
       7.203602   9.9692127244791906E-01   2.7522062115425175E-03   3.2086892934605403E-04   7.7255805565905687E-07
       7.403702   9.9661245077279070E-01   2.9412969151158047E-03   4.3834758576743289E-04   1.1284436181760830E-06
       7.603802   9.9629088082723372E-01   3.0791872482914769E-03   6.1891684085958244E-04   1.6858576883227236E-06
       7.803902   9.9595619813441338E-01   3.1537650889475188E-03   8.7487630625271136E-04   2.4790796319800116E-06
