#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
         0   1.0218211164559190E+00  -1.9752172738114741E-02   3.0448077407937406E+00   1.1271594664252425E+00   1.4711582049887684E-01   2.4512018509151340E-01   9.6284948708390417E-01   9.8653245427078351E-01   1.3377487839643662E-02   8.1300329432454407E-03   8.4236221067400974E-02
         1   1.0202215937217254E+00  -1.9033784199960234E-02   3.0415559311625064E+00   1.1654919932380010E+00   1.4083732137593186E-01   2.4330278856213877E-01   9.1788744013625356E-01   9.8665953814771135E-01   1.3281438820107988E-02   8.1315202087808448E-03   8.3537699218597675E-02
         2   1.0188254499212031E+00  -1.8399018951025428E-02   3.0387133637815253E+00   1.1987646295936090E+00   1.3536826223625908E-01   2.4170789897199407E-01   8.7883322417245369E-01   9.8662699522416508E-01   1.3094248360414822E-02   8.0968367075699502E-03   8.3053548010147277E-02
         3   1.0175778966578526E+00  -1.7827851657662208E-02   3.0361698000399064E+00   1.2283025751658210E+00   1.3049462097285514E-01   2.4027541639215172E-01   8.4413293246005017E-01   9.8651457116434449E-01   1.2952277028035471E-02   7.9642638749747308E-03   8.2961042862169945E-02
         4   1.0164558705678777E+00  -1.7311761832635240E-02   3.0338789336659833E+00   1.2546142176532322E+00   1.2613278703095809E-01   2.3898093009318552E-01   8.1318119433177172E-01   9.8632521730859524E-01   1.3007376772880247E-02   7.5819188371152773E-03   8.3726344592600532E-02
         5   1.0154421845440433E+00  -1.6844115604094836E-02   3.0318063012063456E+00   1.2780819761137909E+00   1.2222042235568154E-01   2.3780657773149250E-01   7.8552338161817525E-01   9.8609688802534712E-01   1.3444737392140985E-02   6.7998936129438038E-03   8.5810143389755206E-02
         6   1.0145223031527966E+00  -1.6419096428939690E-02   3.0299227727947291E+00   1.2990419511273701E+00   1.1870345645805047E-01   2.3673730592498243E-01   7.6076251647204751E-01   9.8588978761259582E-01   1.4074275359412951E-02   5.8660094520914035E-03   8.8428526209549191E-02
         7   1.0136836887959180E+00  -1.6031534025605705E-02   3.0282032298950798E+00   1.3177950817052086E+00   1.1553398439686702E-01   2.3576009412770119E-01   7.3854531240141297E-01   9.8530915135415476E-01   1.4254259315113461E-02   5.0249754153511416E-03   9.0808469320174723E-02
         8   1.0129173327542427E+00  -1.5676868982973248E-02   3.0266296966766886E+00   1.3345620612803448E+00   1.1267726986317972E-01   2.3486574900489626E-01   7.1861343928675314E-01   9.8473962671808546E-01   1.4322601139862898E-02   4.3206604220654230E-03   9.2803922812635595E-02
         9   1.0122138676927697E+00  -1.5350702905460773E-02   3.0251834343409674E+00   1.3495855761604250E+00   1.1009532498488972E-01   2.3404435010244323E-01   7.0068529284141157E-01   9.8420849616735784E-01   1.4320158546615756E-02   3.7371351055794778E-03   9.4457548378615933E-02
        10   1.0115645557113309E+00  -1.5049136534335443E-02   3.0238469361798099E+00   1.3630981644468683E+00   1.0775182129139038E-01   2.3328645560693817E-01   6.8449214419248205E-01   9.8370795307973136E-01   1.4260557157563443E-02   3.2511406289687716E-03   9.5836522863388215E-02
        11   1.0109619243132586E+00  -1.4768796314730263E-02   3.0226052258775455E+00   1.3753025984692473E+00   1.0561514696142194E-01   2.3258389211220448E-01   6.6980032240622434E-01   9.8323875271097394E-01   1.4163072330803519E-02   2.8425861228118308E-03   9.6998860884429897E-02
        12   1.0103995808473745E+00  -1.4506769470743254E-02   3.0214454857685711E+00   1.3863751441133922E+00   1.0365785390373994E-01   2.3192958292470517E-01   6.5640716503417718E-01   9.8280620325680890E-01   1.4047632246105638E-02   2.4955113585367573E-03   9.7990343328827167E-02
        13   1.0098720545487829E+00  -1.4260545883684292E-02   3.0203567406844511E+00   1.3964686080176949E+00   1.0185615613887777E-01   2.3131740132675949E-01   6.4413730190415475E-01   9.8241351967935775E-01   1.3928786151245161E-02   2.1974475453543163E-03   9.8846452544725655E-02
        14   1.0093746618594206E+00  -1.4027966291610719E-02   3.0193295886035103E+00   1.4057151447977667E+00   1.0018947740824113E-01   2.3074204414719368E-01   6.3283928016777669E-01   9.8205945015204377E-01   1.3814089681242637E-02   1.9386348292193619E-03   9.9594754329259225E-02
        15   1.0089033914781074E+00  -1.3807176322493364E-02   3.0183559709016605E+00   1.4142288121966935E+00   9.8640045583744396E-02   2.3019892224503932E-01   6.2238252659469628E-01   9.8173978216139757E-01   1.3706232296608205E-02   1.7113789060685491E-03   1.0025684644804475E-01
        16   1.0084548061900596E+00  -1.3596585871988044E-02   3.0174289762371851E+00   1.4221078735294856E+00   9.7192531110328551E-02   2.2968406535224428E-01   6.1265463450562363E-01   9.8144932801926166E-01   1.3605487940769330E-02   1.5095656450790542E-03   1.0084981663139819E-01
        17   1.0080259590025797E+00  -1.3394833343128654E-02   3.0165426730790892E+00   1.4294368550840388E+00   9.5833726400874286E-02   2.2919403926919074E-01   6.0355895669989490E-01   9.8118306145952938E-01   1.3511192614558989E-02   1.3283018041116601E-03   1.0138731100389725E-01
        18   1.0076143214989179E+00  -1.3200754279206505E-02   3.0156919666752557E+00   1.4362883716029793E+00   9.4552262915833962E-02   2.2872587378454851E-01   5.9501248207338575E-01   9.8093655299209315E-01   1.3422430127924441E-02   1.1636482551527199E-03   1.0188031847216847E-01
        19   1.0072177226382286E+00  -1.3013353941888500E-02   3.0148724768994768E+00   1.4427247362397391E+00   9.3338362597365387E-02   2.2827699996160278E-01   5.8694397181262525E-01   9.8070605588628756E-01   1.3338303864743011E-02   1.0124196918283321E-03   1.0233775255879680E-01
