#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
         0   7.0392079431000998E-01  -6.5951421159038917E-02   2.3362671524494059E+00   8.2099280643561634E-01   3.8380291900326879E-02   1.1664154335385585E-01   1.2683566049585426E-01   8.7615258100899562E-01   1.0703866095996178E-01   9.0809812423876368E-02   6.6339738625940448E-01
         1   6.9053135179785130E-01  -6.9615922133299452E-02   2.3030430980917438E+00   7.8978858529441265E-01   3.6927448148082798E-02   1.1221356186271578E-01   1.1806485306236669E-01   8.7576946710762849E-01   1.1129130673646714E-01   9.5019939376383200E-02   6.7422416535050622E-01
         2   6.7711010805136940E-01  -7.3373454729773108E-02   2.2694566072471858E+00   7.5804502148867592E-01   3.5739476166624096E-02   1.0797003069882928E-01   1.1051270781618072E-01   8.7541140709244725E-01   1.1545188765983189E-01   9.9157445465203775E-02   6.8463980585037576E-01
         3   6.6375841048645456E-01  -7.7157736490444315E-02   2.2357499406928474E+00   7.2691300270446091E-01   3.4562892309753956E-02   1.0379790334922466E-01   1.0331910380113163E-01   8.7506207137259651E-01   1.1948857072805980E-01   1.0319825255039039E-01   6.9461781573964165E-01
         4   6.5055951824290537E-01  -8.0943935972764017E-02   2.2021257638172842E+00   6.9663381723940976E-01   3.3389200971809418E-02   9.9713662598569452E-02   9.6466986885655581E-02   8.7472176709526639E-01   1.2339119199284665E-01   1.0712797234959037E-01   7.0414481729764944E-01
         5   6.3758149732792579E-01  -8.4710824897584441E-02   2.1687551538134500E+00   6.6736866518082094E-01   3.2218166345581500E-02   9.5733216229105453E-02   8.9959180223942781E-02   8.7284120846786517E-01   1.2560387520844474E-01   1.1093750340175262E-01   7.1321717427881459E-01
         6   6.2487808426067237E-01  -8.8438737240835646E-02   2.1357804425079094E+00   6.3922710544138461E-01   3.1051308636276254E-02   9.1868888316787092E-02   8.3797388435603137E-02   8.6922891621107268E-01   1.2593194947276357E-01   1.1462116357729962E-01   7.2183930007236796E-01
         7   6.1248954268752720E-01  -9.2109941794673481E-02   2.1033160449983517E+00   6.1227467399239299E-01   2.9891304664882989E-02   8.8129641597633993E-02   7.7981048064986735E-02   8.6576539244920392E-01   1.2625583417890265E-01   1.1817582401065055E-01   7.3002249009848252E-01
         8   6.0044398698490953E-01  -9.5708993367183776E-02   2.0714501983268092E+00   5.8654037694417271E-01   2.8741612972952746E-02   8.4521489370074740E-02   7.2507085667852467E-02   8.6244584067845109E-01   1.2657384288641615E-01   1.2159978566235992E-01   7.3778462983935633E-01
         9   5.8875901989026380E-01  -9.9222907537453442E-02   2.0402475637828190E+00   5.6202424865053346E-01   2.7606126741495318E-02   8.1047938932399144E-02   6.7369889667820537E-02   8.5926624883338687E-01   1.2688786399325225E-01   1.2489218820321607E-01   7.4514890959706748E-01
