#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
        10   9.6340905791950038E-01  -6.2207088991099814E-02   2.9128383536723197E+00   1.2133391913832932E+00   1.1083229972290698E-01   2.2108298888894562E-01   6.3535051403766996E-01   9.4619858087305664E-01   4.1409541738423233E-02   3.9149433236781786E-02   2.9467371539668336E-01
        11   9.6355127352874670E-01  -6.1030514652277740E-02   2.9133942984484076E+00   1.2222803517086920E+00   1.0933730250469620E-01   2.2063160742509580E-01   6.2699856351628724E-01   9.4656853720636602E-01   4.1379499938200871E-02   3.8735893624773782E-02   2.9347264888009889E-01
        12   9.6369532730416529E-01  -5.9889364059362939E-02   2.9139471904855676E+00   1.2310337235525679E+00   1.0787756566226303E-01   2.2019318145129352E-01   6.1884566201611158E-01   9.4693268844939960E-01   4.1351000718360779E-02   3.8328947405140437E-02   2.9229319432021134E-01
        13   9.6384093019505612E-01  -5.8782276274337984E-02   2.9144966310361680E+00   1.2396038093676347E+00   1.0645209059503313E-01   2.1976726247229331E-01   6.1088576997177046E-01   9.4729115591674318E-01   4.1324062997408414E-02   3.7928373344212826E-02   2.9113507077979384E-01
        14   9.6398781414622314E-01  -5.7707951615853167E-02   2.9150422602624499E+00   1.2479950144662340E+00   1.0505990734057291E-01   2.1935341805313902E-01   6.0311306070821014E-01   9.4764405854249278E-01   4.1298701216196755E-02   3.7533961079327674E-02   2.8999798990777859E-01
        15   9.6413573053509372E-01  -5.6665148566087759E-02   2.9155837539255334E+00   1.2562116472781224E+00   1.0370007393058911E-01   2.1895123126534244E-01   5.9552191130459065E-01   9.4799151288135119E-01   4.1274922955243210E-02   3.7145513337925436E-02   2.8888164879304490E-01
        16   9.6428444871834962E-01  -5.5652680845934548E-02   2.9161208203297164E+00   1.2642579197341175E+00   1.0237167574346517E-01   2.1856030014253042E-01   5.8810689399666860E-01   9.4833363311541963E-01   4.1252726961689141E-02   3.6762847751339575E-02   2.8778572401852087E-01
        17   9.6443375467967651E-01  -5.4669414648429560E-02   2.9166531975011933E+00   1.2721379478187291E+00   1.0107382484526961E-01   2.1818023714261559E-01   5.8086276802078463E-01   9.4867053106607335E-01   4.1232101817490582E-02   3.6385798031753208E-02   2.8670986761848238E-01
        18   9.6458344977096999E-01  -5.3714266021154089E-02   2.9171806505821629E+00   1.2798557522252305E+00   9.9805659333039531E-02   2.1781066862225862E-01   5.7378447191704485E-01   9.4900231621019127E-01   4.1213025423443309E-02   3.6014214337627984E-02   2.8565370547219898E-01
        19   9.6473334953972667E-01  -5.2786198388887498E-02   2.9177029694224461E+00   1.2874152591829513E+00   9.8566342666279505E-02   2.1745123431794669E-01   5.6686711617623697E-01   9.4932909570015733E-01   4.1195465380541682E-02   3.5647962746254452E-02   2.8461683838716273E-01
