#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
         0   5.0599956943881164E-01  -1.4011820259318614E-01   1.7800739289757679E+00   2.6165146806139250E-01   8.9231558567219649E-02   1.0647354951663694E-01   1.6696181482754513E-01   8.0788112903284559E-01   1.3193694000051165E-01   1.1620714818478756E-01   8.5108655037833736E-01
         1   4.9933024944224486E-01  -1.4356793565701248E-01   1.7706675936416463E+00   2.9350641714667475E-01   6.9062622972565046E-02   9.1507002389976028E-02   1.2713114393542707E-01   8.1159294972069018E-01   1.3508908469276731E-01   1.1955732567558636E-01   8.5016209674551479E-01
         2   4.9088155530992317E-01  -1.4542517620428702E-01   1.7531625160629392E+00   3.0488438440835219E-01   5.6480348601215313E-02   8.1320752181928996E-02   1.0180050638116744E-01   8.1391298702908998E-01   1.3830887241844353E-01   1.2297115184517754E-01   8.5164698873073130E-01
         3   4.8145996784952616E-01  -1.4690653761130737E-01   1.7303171271332716E+00   3.0384887140830230E-01   4.8738988813396888E-02   7.4249977072887427E-02   8.5687552291768720E-02   8.1528482173059791E-01   1.4150842786892631E-01   1.2637769172471303E-01   8.5464238186172437E-01
         4   4.7155441345131588E-01  -1.4861770739627933E-01   1.7039365758563270E+00   2.9593402217803200E-01   4.3872281501274535E-02   6.9078455568950287E-02   7.4971285504337626E-02   8.1603527714306834E-01   1.4466199830088283E-01   1.2974990440080592E-01   8.5853787473355880E-01
         5   4.6144919611945845E-01  -1.5075197778657332E-01   1.6752552073464972E+00   2.8453530780973646E-01   4.0622969080996274E-02   6.5014202953870295E-02   6.7267820554333335E-02   8.1638386992883372E-01   1.4775830201407297E-01   1.3307418112205854E-01   8.6293198906772384E-01
         6   4.5130725573261554E-01  -1.5330448350376308E-01   1.6451289194208778E+00   2.7156916477954496E-01   3.8262562644236442E-02   6.1593222857767298E-02   6.1248878057942990E-02   8.1647276175676198E-01   1.5079072320364817E-01   1.3634196822318218E-01   8.6756790825989338E-01
         7   4.4122204190339892E-01  -1.5619247350085641E-01   1.6141570845444886E+00   2.5806914705423928E-01   3.6392696385672441E-02   5.8560341452529127E-02   5.6218787554194072E-02   8.1639261146401465E-01   1.5375431138199513E-01   1.3954678390983655E-01   8.7228362733759013E-01
         8   4.3124720299480407E-01  -1.5931475088542063E-01   1.5827600313628316E+00   2.4457867542024242E-01   3.4802323634956167E-02   5.5779958813484798E-02   5.1822703225898659E-02   8.1620068359456099E-01   1.5664511427557859E-01   1.4268341438706683E-01   8.7697845986901579E-01
         9   4.2141260114171958E-01  -1.6257771989084124E-01   1.5512288721491432E+00   2.3137707718754669E-01   3.3381078216850879E-02   5.3180678113920465E-02   4.7878433268232268E-02   8.1593251092345587E-01   1.5946021949366651E-01   1.4574784676248925E-01   8.8159184982472605E-01
