#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
         0   8.9241937527525195E-01  -6.6247778978218957E-02   2.7610846054893936E+00   1.0783184651987043E+00   1.0113566794972295E-01   1.9885394767462111E-01   5.0008750513907352E-01   9.2507211291011626E-01   7.0144185292124184E-02   4.9519990108173942E-02   4.4014249183589532E-01
         1   8.9324414792530915E-01  -6.5257410369737895E-02   2.7631006982138766E+00   1.0873811780371869E+00   9.9761397317352563E-02   1.9852337538933601E-01   4.9407596064014203E-01   9.2548418999204185E-01   6.9774338567780189E-02   4.9430831930979399E-02   4.3793541858143059E-01
         2   8.9404667069263344E-01  -6.4299740117963203E-02   2.7650602486421616E+00   1.0962212697654881E+00   9.8424605912881824E-02   1.9820427229814247E-01   4.8821013727941398E-01   9.2588560195432756E-01   6.9412972685147428E-02   4.9344276134281197E-02   4.3577984060829772E-01
         3   8.9482777844920125E-01  -6.3373216970161544E-02   2.7669654602457756E+00   1.1048487831880411E+00   9.7123377731553995E-02   1.9789591827720271E-01   4.8248257260932548E-01   9.2627675669822718E-01   6.9059814011828688E-02   4.9260212373820854E-02   4.3367402992739429E-01
         4   8.9558824351916511E-01  -6.2476431230351417E-02   2.7688183725232558E+00   1.1132721665992846E+00   9.5856099648977566E-02   1.9759770634400828E-01   4.7688721648068144E-01   9.2665801927530989E-01   6.8714607517523729E-02   4.9178533773765923E-02   4.3161641771683806E-01
         5   8.9632878546585892E-01  -6.1608086524588601E-02   2.7706208866908497E+00   1.1214987191481525E+00   9.4621378223307184E-02   1.9730911231579173E-01   4.7141901517873175E-01   9.2702972085243418E-01   6.8377113326470632E-02   4.9099137275915007E-02   4.2960556076977319E-01
         6   8.9705007844527007E-01  -6.0766979686731767E-02   2.7723747848766171E+00   1.1295349004183617E+00   9.3417981797669469E-02   1.9702967365973870E-01   4.6607362376845562E-01   9.2739216523491064E-01   6.8047104373967132E-02   4.9021923764642199E-02   4.2764011767959204E-01
         7   8.9775275684138889E-01  -5.9951986228466828E-02   2.7740817447566553E+00   1.1373865458889143E+00   9.2244800120145243E-02   1.9675897469702214E-01   4.6084720722345185E-01   9.2774563363826279E-01   6.7724364769056758E-02   4.8946798037077736E-02   4.2571883176912773E-01
         8   8.9843741967721813E-01  -5.9162049656229086E-02   2.7757433509659832E+00   1.1450590171359298E+00   9.1100816104156213E-02   1.9649663620733360E-01   4.5573630302737389E-01   9.2809038820520517E-01   6.7408688609390560E-02   4.8873668670275226E-02   4.2384051869660605E-01
         9   8.9910463414361008E-01  -5.8396173445783628E-02   2.7773611042030399E+00   1.1525573069109543E+00   8.9985085979800372E-02   1.9624230807291576E-01   4.5073772618941799E-01   9.2842667462408313E-01   6.7099879086755687E-02   4.8802447823137293E-02   4.2200405731108631E-01
        10   8.9975493848289456E-01  -5.7653414862557935E-02   2.7789364286610247E+00   1.1598861130240277E+00   8.8896725246416564E-02   1.9599566402417767E-01   4.4584850349145555E-01   9.2875472410287041E-01   6.6797747781700501E-02   4.8733050999844152E-02   4.2020838277649442E-01
        11   9.0038884439308942E-01  -5.6932880072472901E-02   2.7804706782262976E+00   1.1670498907014266E+00   8.7834898629419844E-02   1.9575639783662052E-01   4.4106582781850090E-01   9.2907475487996893E-01   6.6502114083107605E-02   4.8665396793530956E-02   4.1845248128745272E-01
        12   9.0100683906878110E-01  -5.6233720164615413E-02   2.7819651417501050E+00   1.1740528900102569E+00   8.6798812820268356E-02   1.9552422053926721E-01   4.3638702634447757E-01   9.2938697340032783E-01   6.6212804692732982E-02   4.8599406622878497E-02   4.1673538591253989E-01
        13   9.0160938696107673E-01  -5.5555127827022439E-02   2.7834210476093144E+00   1.1808991830443589E+00   8.5787711125285937E-02   1.9529885831719324E-01   4.3180953813615275E-01   9.2969157524793933E-01   6.5929653189719606E-02   4.8535004469600018E-02   4.1505617324565719E-01
        14   9.0219693131550016E-01  -5.4896334498479187E-02   2.7848395677088589E+00   1.1875926839283339E+00   8.4800869460374573E-02   1.9508005090717051E-01   4.2733089830079651E-01   9.2998874589919456E-01   6.5652499639312453E-02   4.8472116622085656E-02   4.1341396064523450E-01
        15   9.0276989553072717E-01  -5.4256607874734457E-02   2.7862218210361567E+00   1.1941371639001517E+00   8.3837593269634803E-02   1.9486755033268649E-01   4.2294872654882887E-01   9.3027866134259996E-01   6.5381190235731385E-02   4.8410671427961988E-02   4.1180790390943472E-01
        16   9.0332868436970537E-01  -5.3635249685711206E-02   2.7875688768477169E+00   1.2005362629209300E+00   8.2897215100939725E-02   1.9466111988293877E-01   4.1866071881852085E-01   9.3056148859704113E-01   6.5115576972944483E-02   4.8350599056735874E-02   4.1023719528287195E-01
        17   9.0387368504691257E-01  -5.3031593685309616E-02   2.7888817575477001E+00   1.2067934988487479E+00   8.1979092645786400E-02   1.9446053326608254E-01   4.1446464099677971E-01   9.3083738615138567E-01   6.4855517338839486E-02   4.8291831272980673E-02   4.0870106172119719E-01
        18   9.0440526821009171E-01  -5.2445003813097614E-02   2.7901614413041029E+00   1.2129122748870143E+00   8.1082607111327976E-02   1.9426557388889659E-01   4.1035832407955464E-01   9.3110650434168585E-01   6.4600874029857619E-02   4.8234301219570327E-02   4.0719876336225597E-01
        19   9.0492378883050717E-01  -5.1874872498885900E-02   2.7914088644372588E+00   1.2188958858205075E+00   8.0207161828157569E-02   1.9407603422739256E-01   4.0633966029908219E-01   9.3136898567744875E-01   6.4351514683892330E-02   4.8177943210221313E-02   4.0572959216780929E-01
        20   9.0542958701340293E-01  -5.1320619089060208E-02   2.7926249236092056E+00   1.2247475233130483E+00   7.9352181044754611E-02   1.9389171527158400E-01   4.0240659997742345E-01   9.3162496512549575E-01   6.4107311629650804E-02   4.8122692530340822E-02   4.0429287070891656E-01
        21   9.1090793532087322E-01  -4.5528942454970314E-02   2.8056489114703251E+00   1.2953113310651245E+00   6.8763831557435706E-02   1.9141858150820459E-01   3.5265890152324075E-01   9.3419509313367066E-01   6.1248225083428809E-02   4.7457692710724420E-02   3.8863454982065793E-01
        22   9.1710400888079413E-01  -3.9526897393056301E-02   2.8202471510814564E+00   1.3647236949999804E+00   5.9099511332408428E-02   1.8966192969916565E-01   3.0703343209695599E-01   9.3723672139735870E-01   5.7984946542318075E-02   4.6823541630487353E-02   3.7030908357221581E-01
        23   9.2291518225233171E-01  -3.3933135848715108E-02   2.8339352662126598E+00   1.4273528090689971E+00   5.0756665177917104E-02   1.8841627956702511E-01   2.6698114725212452E-01   9.4023188521730017E-01   5.4815031049839313E-02   4.6238599123712656E-02   3.5224949662474053E-01
        24   9.2758411756244741E-01  -2.9256533905550268E-02   2.8449842347936305E+00   1.4787971162093880E+00   4.4010480256833739E-02   1.8748914385208917E-01   2.3389326080038531E-01   9.4271315435179603E-01   5.2162533043258977E-02   4.5685727942404601E-02   3.3710985248860914E-01
        25   9.3077324670183470E-01  -2.5775293378466121E-02   2.8526104977293243E+00   1.5166543057162829E+00   3.8986540545246418E-02   1.8675331706235007E-01   2.0872385276441696E-01   9.4438564970206429E-01   5.0286826770780023E-02   4.5139835940721823E-02   3.2659460830527964E-01
        26   9.3247708897486570E-01  -2.3521197496078977E-02   2.8567960679711168E+00   1.5406667109025771E+00   3.5637500708146752E-02   1.8614042172758982E-01   1.9160042753771167E-01   9.4517155960648069E-01   4.9259732036767839E-02   4.4590350219748928E-02   3.2120594548221409E-01
        27   9.3288172579375062E-01  -2.2348508456512917E-02   2.8579734341450558E+00   1.5522770221641737E+00   3.3761319807529278E-02   1.8561289004319373E-01   1.8175739745380060E-01   9.4515638865999063E-01   4.8992851065573439E-02   4.4048840236266831E-02   3.2045697819034663E-01
        28   9.3224508380282267E-01  -2.2028498022980274E-02   2.8567469968113914E+00   1.5538724854944379E+00   3.3061823620133657E-02   1.8514288980756410E-01   1.7781417121895382E-01   9.4449936820560343E-01   4.9316147294153581E-02   4.3528069522549027E-02   3.2337279266073921E-01
        29   9.3082226010031377E-01  -2.2322957488576052E-02   2.8537158271546890E+00   1.5480705302842654E+00   3.3218962931488294E-02   1.8470411966676603E-01   1.7817318217506140E-01   9.4336894479334443E-01   5.0055519257492354E-02   4.3024908316259540E-02   3.2892570946203703E-01
        30   9.2882987996794364E-01  -2.3023326886729940E-02   2.8493888521079915E+00   1.5372440187360490E+00   3.3940929452610291E-02   1.8427123838095419E-01   1.8133654026592316E-01   9.4190860624313355E-01   5.1065917169196326E-02   4.2523915514006444E-02   3.3624586171663212E-01
        31   9.2643446656589890E-01  -2.3963457500137179E-02   2.8441581135884522E+00   1.5232978118030327E+00   3.4990604454166130E-02   1.8382132518905278E-01   1.8607514996243590E-01   9.4022529644820063E-01   5.2240073215334103E-02   4.2002800844389093E-02   3.4468650125362699E-01
        32   9.2375232078520741E-01  -2.5018363630597156E-02   2.8382999006957919E+00   1.5076192593246225E+00   3.6191932697550611E-02   1.8333466536025783E-01   1.9147595531555428E-01   9.3839029307400434E-01   5.3506309128017376E-02   4.1436134948767633E-02   3.5381576642783780E-01
        33   9.2085372014249467E-01  -2.6097584948294745E-02   2.8319860408828972E+00   1.4911212437929517E+00   3.7424662739161452E-02   1.8279432084454050E-01   1.9691700699670500E-01   9.3644443234252150E-01   5.4822152641371504E-02   4.0797342133346300E-02   3.6338114733659688E-01
        34   9.1776832180145662E-01  -2.7137290560406029E-02   2.8252976636427305E+00   1.4743234177943814E+00   3.8613890986170407E-02   1.8218484366699150E-01   2.0201024097441522E-01   9.3440398418235016E-01   5.6167102356215179E-02   4.0059587280798087E-02   3.7326891036097842E-01
        35   9.1449082998138698E-01  -2.8092490480180542E-02   2.8182391695335878E+00   1.4574427467282596E+00   3.9718212016582766E-02   1.8149066548775045E-01   2.0653605690781074E-01   9.3226608086538754E-01   5.7535681616431036E-02   3.9196273724963135E-02   3.8346579855882068E-01
        36   9.1098685400220458E-01  -2.8929584399714197E-02   2.8107522558718672E+00   1.4404801072377251E+00   4.0718451793455790E-02   1.8069461733788272E-01   2.1038218314654200E-01   9.3001358667111789E-01   5.8931037376483295E-02   3.8181577872140889E-02   3.9402438164468290E-01
