#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
         0   7.9947641699655847E-01  -2.2464067378440603E-02   2.5826368802764046E+00   1.1255713338239206E+00   3.2997123719278432E-02   1.4225454472974267E-01   1.4052445577319506E-01   8.9907969121855513E-01   8.4608542904754780E-02   6.8336879413904345E-02   5.5041070052347418E-01
         1   7.8402539499162371E-01  -2.7025046576952691E-02   2.5444343768680464E+00   1.1001977644550864E+00   2.7265296047512044E-02   1.3455854288826949E-01   1.1186278073850453E-01   8.9961927923450513E-01   9.1001884496197755E-02   7.4726067732989260E-02   5.6567055696799440E-01
         2   7.6728279122781007E-01  -3.2198993597723734E-02   2.5030729723040275E+00   1.0650258903590086E+00   2.2852146866731093E-02   1.2706952121595885E-01   8.9946504463305099E-02   9.0002300452310502E-01   9.7428956461503291E-02   8.1178983077677347E-02   5.8117276962397058E-01
         3   7.4941505452535906E-01  -3.7760857420509532E-02   2.4589163983195310E+00   1.0227091955717944E+00   1.9394623015166479E-02   1.1972608027082927E-01   7.2962475190944787E-02   8.9617144954529604E-01   9.9682503628209962E-02   8.7652153719087744E-02   5.9667301604353151E-01
         4   7.3064564166756329E-01  -4.3570810820100399E-02   2.4124296346517990E+00   9.7510996818022200E-01   1.6741932752450284E-02   1.1257873629522747E-01   6.0006880456139999E-02   8.8986085104210155E-01   9.9489095979000353E-02   9.4090318631314784E-02   6.1198381147120906E-01
         5   7.1123063536228814E-01  -4.9501382976027845E-02   2.3641535846494528E+00   9.2399686380132007E-01   1.4765338146213391E-02   1.0568849071172406E-01   5.0298619437929126E-02   8.8370249600762163E-01   1.0046095120003995E-01   9.9377724042376880E-02   6.2954446436854705E-01
         6   6.9143269160480691E-01  -5.5442277058710389E-02   2.3146487919389833E+00   8.7099931548489484E-01   1.3342325333443705E-02   9.9108024348588827E-02   4.3128616588672175E-02   8.7774250031121737E-01   1.0670717152896830E-01   9.9355129054805813E-02   6.5886857428996515E-01
         7   6.7149343229062997E-01  -6.1309431285867452E-02   2.2644316585089199E+00   8.1750968208085439E-01   1.2357564140066946E-02   9.2872775934145696E-02   3.7872569518950350E-02   8.7201376267943198E-01   1.1274007628222543E-01   9.9473920281689332E-02   6.8620866954231896E-01
         8   6.5160810341780173E-01  -6.7051651500709519E-02   2.2139125830403965E+00   7.6461153909969093E-01   1.1705110380863415E-02   8.6995753252746180E-02   3.4001331000844015E-02   8.6653561745473984E-01   1.1855952163600264E-01   9.9718587940526071E-02   7.1158844224833573E-01
         9   6.3190496144420605E-01  -7.2654683591683353E-02   2.1633410443900796E+00   7.1304470154734689E-01   1.1290099091885164E-02   8.1465559337431340E-02   3.1082489104446109E-02   8.6131136613876702E-01   1.2416108742776133E-01   1.0010164396432325E-01   7.3506785213156478E-01
