#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
         0   7.1857924618786051E-01  -1.7319333533373371E-01   2.3212199651681256E+00   6.0715959935937713E-01   1.1104726049869007E-01   1.6065849438475877E-01   3.9000556034098277E-01   8.6218517131291572E-01   1.2185007940992768E-01   6.2853977865909336E-02   7.2824758564731973E-01
         1   7.1527912889593170E-01  -1.6352623135447414E-01   2.3160912935825215E+00   6.2949286628440126E-01   1.0180557923352707E-01   1.5457430793861449E-01   3.5462210987164844E-01   8.6185718447806514E-01   1.2215471089947744E-01   6.2115843077320265E-02   7.2960815973511817E-01
         2   7.1225469474059988E-01  -1.5458925529016782E-01   2.3114371697627938E+00   6.4878055071279461E-01   9.3583433828314133E-02   1.4910314551676218E-01   3.2362761440523413E-01   8.6153685083635145E-01   1.2246205807889532E-01   6.1431535997779632E-02   7.3095526652535814E-01
         3   7.0945434967145993E-01  -1.4633153257088896E-01   2.3071615802894017E+00   6.6542425158865004E-01   8.6268576834588329E-02   1.4418414430999449E-01   2.9640222586701481E-01   8.6121849996572708E-01   1.2277220413851611E-01   6.0793280710874378E-02   7.3230127698440539E-01
         4   7.0683644692813496E-01  -1.3871128088280443E-01   2.3031747681128785E+00   6.7968402898397628E-01   7.9779778993545492E-02   1.3977020399258858E-01   2.7249866362934716E-01   8.6089826033892769E-01   1.2308754590873520E-01   6.0196397986388872E-02   7.3365955637451385E-01
         5   7.0436591558756412E-01  -1.3168849180041647E-01   2.2993975972131357E+00   6.9177247101979722E-01   7.4044629904483794E-02   1.3581741401601516E-01   2.5154197168301007E-01   8.6057311139608972E-01   1.2341077491674626E-01   5.9637090295873899E-02   7.3504216880416329E-01
         6   7.0201304825972566E-01  -1.2522339370772465E-01   2.2957628239504038E+00   7.0188534672284308E-01   6.8993335917255316E-02   1.3228253699781409E-01   2.3319656648349252E-01   8.6024066010839917E-01   1.2374420512310566E-01   5.9111873463280645E-02   7.3645893165314968E-01
         7   6.9975286206951537E-01  -1.1927664670919684E-01   2.2922148001058935E+00   7.1020931631846118E-01   6.4558056598662095E-02   1.2912318257064201E-01   2.1715675173031479E-01   8.5989908678438176E-01   1.2408960810160596E-01   5.8617486805755542E-02   7.3791719917600684E-01
         8   6.9756457532979710E-01  -1.1380990230838667E-01   2.2887084685940939E+00   7.1692233433811736E-01   6.0673752565542638E-02   1.2629861074280013E-01   2.0314437260924367E-01   8.5954710279066027E-01   1.2444822303698427E-01   5.8150910320488886E-02   7.3942199475072257E-01
         9   6.9543109879828857E-01  -1.0878631497027312E-01   2.2852080905456300E+00   7.2219230981682236E-01   5.7279155865830766E-02   1.2377047126092994E-01   1.9090805116310117E-01   8.5918389192579470E-01   1.2482082077827719E-01   5.7709386076107275E-02   7.4097629190627834E-01
        10   6.9333853839563953E-01  -1.0417091001183063E-01   2.2816859224671600E+00   7.2617580514117763E-01   5.4317468779335631E-02   1.2150330241551983E-01   1.8022235283186516E-01   8.5880904039630845E-01   1.2520778026571341E-01   5.7290423670659285E-02   7.4258134377803087E-01
        11   6.9127572491105660E-01  -9.9930809170642149E-02   2.2781209526846689E+00   7.2901722874085451E-01   5.1736739996824932E-02   1.1946478887122790E-01   1.7088654281088855E-01   8.5842246442527059E-01   1.2560916300127109E-01   5.6891791540070638E-02   7.4423701093138428E-01
        12   6.8923378379614675E-01  -9.6035339967817102E-02   2.2744977499627410E+00   7.3084854644059793E-01   4.9489969946794332E-02   1.1762582759617470E-01   1.6272298025571841E-01   8.5802434188747922E-01   1.2602478049469201E-01   5.6511499619910241E-02   7.4594206313800804E-01
        13   6.8720575210331614E-01  -9.2456057498393737E-02   2.2708054463635343E+00   7.3178941589024404E-01   4.7535016748842085E-02   1.1596045666298230E-01   1.5557528354328554E-01   8.5761505135653460E-01   1.2645425297941257E-01   5.6147777944077118E-02   7.4769444439888555E-01
        14   6.8518624449780496E-01  -8.9166703606568323E-02   2.2670368587365481E+00   7.3194763047426648E-01   4.5834367586977565E-02   1.1444569387570647E-01   1.4930639278421998E-01   8.5719511984322239E-01   1.2689705912886662E-01   5.5799054178310242E-02   7.4949149812288196E-01
        15   6.8317116680317158E-01  -8.6143123526699852E-02   2.2631877430850142E+00   7.3141977083929055E-01   4.4354827483657600E-02   1.1306132181922091E-01   1.4379662783138891E-01   8.5676517925327744E-01   1.2735257721828841E-01   5.5463931813408515E-02   7.5133015359178801E-01
        16   6.8115747349795341E-01  -8.3363155486737756E-02   2.2592561705747030E+00   7.3029198241615012E-01   4.3067164259597557E-02   1.1178964607525281E-01   1.3894181016825069E-01   8.5632593092925469E-01   1.2782011854272216E-01   5.5141169896152364E-02   7.5320707704683776E-01
        17   6.7914296456708212E-01  -8.0806504877196136E-02   2.2552420114378622E+00   7.2864081626833888E-01   4.1945737527320115E-02   1.1061524540142199E-01   1.3465149307969959E-01   8.5587811733997088E-01   1.2829895406201253E-01   5.4829664663439331E-02   7.5511879171138530E-01
        18   6.7712611678382517E-01  -7.8454611436447441E-02   2.2511465123932606E+00   7.2653408759709426E-01   4.0968130693463278E-02   1.0952472638382638E-01   1.3084732556131784E-01   8.5542249989151053E-01   1.2878833527352787E-01   5.4528433155837087E-02   7.5706177130539287E-01
        19   6.7510594459349593E-01  -7.6290515425255806E-02   2.2469719537017383E+00   7.2403171962267554E-01   4.0114798343449110E-02   1.0850649047137176E-01   1.2746156202727943E-01   8.5495984186051754E-01   1.2928751026565083E-01   5.4236598734471619E-02   7.5903251142856587E-01
        20   6.7308188610968278E-01  -7.4298726865589471E-02   2.2427213731063800E+00   7.2118655135837417E-01   3.9368736426880879E-02   1.0755051792003020E-01   1.2443572022949612E-01   8.5449089553697821E-01   1.2979573581483919E-01   5.3953378353680193E-02   7.6102758278861804E-01
        21   6.5253439824738102E-01  -6.0120554059379869E-02   2.1946556992202435E+00   6.6910186307237152E-01   3.8900419361326821E-02   1.0192056373243129E-01   1.1651748546202145E-01   8.4918233350726879E-01   1.3497550046217924E-01   5.2398949604318311E-02   7.8198596716732904E-01
        22   6.3996527084047916E-01  -5.2980593443745616E-02   2.1646192053818729E+00   6.3446562015834751E-01   3.9994599997109637E-02   9.9441702013233421E-02   1.1558922302165220E-01   8.4593981667195994E-01   1.3817368085502307E-01   5.1501089198581138E-02   7.9443683434943269E-01
        23   6.3003851434014424E-01  -5.0236088767113413E-02   2.1398633778893710E+00   6.0816158503157902E-01   4.0691748665171557E-02   9.7438732301812311E-02   1.1427514233834701E-01   8.4335727973915109E-01   1.4075775378362737E-01   5.0933313202285231E-02   8.0418983211510719E-01
        24   6.2035433690930430E-01  -5.0422662100763738E-02   2.1148409302416256E+00   5.8410102163039679E-01   4.0982041871747921E-02   9.5293939847612807E-02   1.1182195614161272E-01   8.4087910993422510E-01   1.4326074581667347E-01   5.0774179068515987E-02   8.1339219369176829E-01
        25   6.0204063851533340E-01  -5.7860649928367841E-02   2.0658807736061391E+00   5.4092349474915680E-01   4.1399766278225503E-02   9.1352139125318643E-02   1.0651086540260746E-01   8.3657663115684200E-01   1.4758411920655473E-01   5.2849865788597856E-02   8.2885548816095400E-01
        26   5.4484527440737462E-01  -8.8791474267093301E-02   1.9075036024415446E+00   4.1746422192051047E-01   4.2593442923840263E-02   8.0080520823507279E-02   9.0695208079762502E-02   8.2401132532366039E-01   1.6011077169840665E-01   6.3403846403529460E-02   8.7033765007554098E-01
        27   4.9708140635997766E-01  -1.0231436611585207E-01   1.7803312331158323E+00   3.4276267115530767E-01   3.5226845504649162E-02   6.5980428069715019E-02   6.3677363050287150E-02   8.1416410119317573E-01   1.6990027281857253E-01   7.0030565766005040E-02   8.9904264307906501E-01
        28   4.9218618690857008E-01  -9.0954766415860047E-02   1.7783593174576600E+00   3.5246519406987187E-01   2.5576033566982126E-02   5.8264949617271106E-02   4.5452565753206886E-02   8.1324327597984625E-01   1.7057226064098349E-01   6.7097779563214680E-02   9.0122242166790034E-01
        29   4.6006942820757724E-01  -1.0062285117592785E-01   1.6863329086969958E+00   2.9350842614688144E-01   2.5647626015160463E-02   5.2433706028332562E-02   4.0591559825135182E-02   8.0576470597582750E-01   1.7780673297431754E-01   7.0066452817720032E-02   9.2028351307917566E-01
        30   4.5432010727705019E-01  -9.5073211309404992E-02   1.6753616525795336E+00   2.8999449452143344E-01   2.1502400389904253E-02   4.8351609803057180E-02   3.3323373999213479E-02   8.0433575778243327E-01   1.7912899936278670E-01   6.8137584006338361E-02   9.2363076532521882E-01
        31   4.3499724169887627E-01  -9.8813821241311800E-02   1.6190575929900459E+00   2.5593406809469404E-01   2.1736895822735081E-02   4.5156613049930981E-02   3.1296821782913264E-02   7.9974487148838203E-01   1.8377188895241731E-01   6.9074599833418723E-02   9.3435919057087680E-01
        32   4.2732946563400309E-01  -9.6708000499517999E-02   1.5988350138666383E+00   2.4481264049786355E-01   2.0298996607749142E-02   4.2750360996760592E-02   2.8364624595654031E-02   7.9789597783509381E-01   1.8579202550736382E-01   6.8112565275237458E-02   9.3862125553487630E-01
        33   4.1562865615443689E-01  -9.7174532936153871E-02   1.5647112614039547E+00   2.2528943630949549E-01   2.0225437285080194E-02   4.0731837187521727E-02   2.6959017465440827E-02   7.9510646480684366E-01   1.8883259631126789E-01   6.7993914736486666E-02   9.4478147643207355E-01
        34   4.0672130256443145E-01  -9.6731740823627524E-02   1.5388526058458267E+00   2.1092763243104856E-01   2.0000567564175675E-02   3.9093274050862964E-02   2.5693142356920662E-02   7.9299573338593521E-01   1.9124573807298448E-01   6.7608223074829624E-02   9.4934324670093484E-01
        35   3.9921822076610747E-01  -9.5811978675629780E-02   1.5170073813518841E+00   1.9904485456184895E-01   1.9733288973598606E-02   3.7664445532423638E-02   2.4551363628005030E-02   7.9119945826909510E-01   1.9336379170521284E-01   6.7029504464985221E-02   9.5313566213931533E-01
        36   3.9073325556663652E-01  -9.5756965491652385E-02   1.4914496878184416E+00   1.8545212078253948E-01   1.9864457737477470E-02   3.6423224041983671E-02   2.3818499918895397E-02   7.8917942333017210E-01   1.9571882068981517E-01   6.6781345442454038E-02   9.5720385791752349E-01
        37   3.8482701189512092E-01  -9.4687143112318711E-02   1.4739620479335580E+00   1.7637807877896061E-01   1.9638601685698420E-02   3.5312549395024644E-02   2.2933124696087104E-02   7.8775311215422439E-01   1.9747557313298705E-01   6.6140619359439393E-02   9.6005006427862838E-01
        38   3.7784094004522173E-01  -9.4346741242814294E-02   1.4525813688110065E+00   1.6554478061837041E-01   1.9722240998640950E-02   3.4304494960613899E-02   2.2310495509002104E-02   7.8606286832556760E-01   1.9948838501132093E-01   6.5769089648938919E-02   9.6324040627036944E-01
