#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
         0   8.0409624912803768E-01  -1.6416055973566858E-02   2.5856166542872137E+00   1.2145353150245755E+00   1.4638687113224136E-02   1.3462834990435926E-01   6.0886319227281049E-02   8.9235646376850541E-01   9.3378065485644229E-02   3.7107043734501639E-02   5.9037872537426428E-01
         1   8.0048604958028380E-01  -1.6470830343698034E-02   2.5777794575067481E+00   1.2028063503322710E+00   1.4685932243390654E-02   1.3349797405227870E-01   6.0620858905408581E-02   8.9122336521726542E-01   9.4368319028949432E-02   3.7039802777167036E-02   5.9574965379023836E-01
         2   7.9685205154895300E-01  -1.6544597863278620E-02   2.5698718085785570E+00   1.1909304542515828E+00   1.4760501263417325E-02   1.3237749656223388E-01   6.0466453133719344E-02   8.9009112958143488E-01   9.5360915407449259E-02   3.6968964598749841E-02   6.0109778805314762E-01
         3   7.9319650638593575E-01  -1.6636364230205751E-02   2.5618992542151307E+00   1.1789820625172620E+00   1.4847208179832316E-02   1.3126069361357529E-01   6.0357879533668890E-02   8.8896108121751627E-01   9.6355142621120035E-02   3.6896250939889283E-02   6.0641774727358710E-01
         4   7.8952131529116110E-01  -1.6745304167811392E-02   2.5538658479925154E+00   1.1669940367089762E+00   1.4940073185453429E-02   1.3014546953780570E-01   6.0269633984354920E-02   8.8783401885224833E-01   9.7350542840741794E-02   3.6822512997584461E-02   6.1170619277519900E-01
         5   7.8582838519482678E-01  -1.6870717848059165E-02   2.5457754084123541E+00   1.1549841402573477E+00   1.5036569020836277E-02   1.2903132614448742E-01   6.0191030035177451E-02   8.8671056448287899E-01   9.8346732018099375E-02   3.6748198403843080E-02   6.1696047146256738E-01
         6   7.8211971840415317E-01  -1.7011984194709884E-02   2.5376318967471350E+00   1.1429648150197904E+00   1.5135443784017211E-02   1.2791838090759453E-01   6.0116855271939218E-02   8.8559128646790441E-01   9.9343341839770935E-02   3.6673554994417421E-02   6.2217815531400078E-01
         7   7.7839741413076535E-01  -1.7168523970700001E-02   2.5294394879696100E+00   1.1309466780633848E+00   1.5235910235978367E-02   1.2680698701871901E-01   6.0043921643354481E-02   8.8447673821583184E-01   1.0034000321630010E-01   3.6598725311414240E-02   6.2735690270793298E-01
         8   7.7466364621313033E-01  -1.7339773993654446E-02   2.5212025466712480E+00   1.1189397011357838E+00   1.5337351291230594E-02   1.2569758627568592E-01   5.9969822231429215E-02   8.8336746711471781E-01   1.0133634339808359E-01   3.6523793423093885E-02   6.3249442949855106E-01
         9   7.7092063833785596E-01  -1.7525170486128623E-02   2.5129255817821612E+00   1.1069535598301561E+00   1.5439217455358811E-02   1.2459065169283853E-01   5.9892500370930524E-02   8.8226401400728105E-01   1.0233198722010126E-01   3.6448809590645885E-02   6.3758851380625958E-01
